2H chemical shift (ppm),FA_20240215_2H_yeast_1.3.ser#1,FA_20240215_2H_yeast_1.3.ser#2,FA_20240215_2H_yeast_1.3.ser#3,FA_20240215_2H_yeast_1.3.ser#4,FA_20240215_2H_yeast_1.3.ser#5,FA_20240215_2H_yeast_1.3.ser#6,FA_20240215_2H_yeast_1.3.ser#7,FA_20240215_2H_yeast_1.3.ser#8,FA_20240215_2H_yeast_1.3.ser#9,FA_20240215_2H_yeast_1.3.ser#10,FA_20240215_2H_yeast_1.3.ser#11,FA_20240215_2H_yeast_1.3.ser#12,FA_20240215_2H_yeast_1.3.ser#13,FA_20240215_2H_yeast_1.3.ser#14,FA_20240215_2H_yeast_1.3.ser#15,FA_20240215_2H_yeast_1.3.ser#16,FA_20240215_2H_yeast_1.3.ser#17,FA_20240215_2H_yeast_1.3.ser#18,FA_20240215_2H_yeast_1.3.ser#19,FA_20240215_2H_yeast_1.3.ser#20,FA_20240215_2H_yeast_1.3.ser#21,FA_20240215_2H_yeast_1.3.ser#22,FA_20240215_2H_yeast_1.3.ser#23,FA_20240215_2H_yeast_1.3.ser#24,FA_20240215_2H_yeast_1.3.ser#25,FA_20240215_2H_yeast_1.3.ser#26,FA_20240215_2H_yeast_1.3.ser#27,FA_20240215_2H_yeast_1.3.ser#28,FA_20240215_2H_yeast_1.3.ser#29,FA_20240215_2H_yeast_1.3.ser#30,FA_20240215_2H_yeast_1.3.ser#31,FA_20240215_2H_yeast_1.3.ser#32,FA_20240215_2H_yeast_1.3.ser#33,FA_20240215_2H_yeast_1.3.ser#34,FA_20240215_2H_yeast_1.3.ser#35,FA_20240215_2H_yeast_1.3.ser#36,FA_20240215_2H_yeast_1.3.ser#37,FA_20240215_2H_yeast_1.3.ser#38,FA_20240215_2H_yeast_1.3.ser#39,FA_20240215_2H_yeast_1.3.ser#40,FA_20240215_2H_yeast_1.3.ser#41,FA_20240215_2H_yeast_1.3.ser#42,FA_20240215_2H_yeast_1.3.ser#43,FA_20240215_2H_yeast_1.3.ser#44,FA_20240215_2H_yeast_1.3.ser#45,FA_20240215_2H_yeast_1.3.ser#46,FA_20240215_2H_yeast_1.3.ser#47,FA_20240215_2H_yeast_1.3.ser#48,FA_20240215_2H_yeast_1.3.ser#49,FA_20240215_2H_yeast_1.3.ser#50,FA_20240215_2H_yeast_1.3.ser#51,FA_20240215_2H_yeast_1.3.ser#52,FA_20240215_2H_yeast_1.3.ser#53,FA_20240215_2H_yeast_1.3.ser#54,FA_20240215_2H_yeast_1.3.ser#55,FA_20240215_2H_yeast_1.3.ser#56,FA_20240215_2H_yeast_1.3.ser#57,FA_20240215_2H_yeast_1.3.ser#58,FA_20240215_2H_yeast_1.3.ser#59,FA_20240215_2H_yeast_1.3.ser#60,FA_20240215_2H_yeast_1.3.ser#61,FA_20240215_2H_yeast_1.3.ser#62,FA_20240215_2H_yeast_1.3.ser#63,FA_20240215_2H_yeast_1.3.ser#64,FA_20240215_2H_yeast_1.3.ser#65,FA_20240215_2H_yeast_1.3.ser#66,FA_20240215_2H_yeast_1.3.ser#67,FA_20240215_2H_yeast_1.3.ser#68,FA_20240215_2H_yeast_1.3.ser#69,FA_20240215_2H_yeast_1.3.ser#70,FA_20240215_2H_yeast_1.3.ser#71,FA_20240215_2H_yeast_1.3.ser#72,FA_20240215_2H_yeast_1.3.ser#73,FA_20240215_2H_yeast_1.3.ser#74,FA_20240215_2H_yeast_1.3.ser#75,FA_20240215_2H_yeast_1.3.ser#76,FA_20240215_2H_yeast_1.3.ser#77,FA_20240215_2H_yeast_1.3.ser#78,FA_20240215_2H_yeast_1.3.ser#79,FA_20240215_2H_yeast_1.3.ser#80,FA_20240215_2H_yeast_1.3.ser#81,FA_20240215_2H_yeast_1.3.ser#82,FA_20240215_2H_yeast_1.3.ser#83,FA_20240215_2H_yeast_1.3.ser#84,FA_20240215_2H_yeast_1.3.ser#85,FA_20240215_2H_yeast_1.3.ser#86,FA_20240215_2H_yeast_1.3.ser#87,FA_20240215_2H_yeast_1.3.ser#88,FA_20240215_2H_yeast_1.3.ser#89,FA_20240215_2H_yeast_1.3.ser#90,FA_20240215_2H_yeast_1.3.ser#91,FA_20240215_2H_yeast_1.3.ser#92,FA_20240215_2H_yeast_1.3.ser#93,FA_20240215_2H_yeast_1.3.ser#94,FA_20240215_2H_yeast_1.3.ser#95,FA_20240215_2H_yeast_1.3.ser#96,FA_20240215_2H_yeast_1.3.ser#97,FA_20240215_2H_yeast_1.3.ser#98,FA_20240215_2H_yeast_1.3.ser#99,FA_20240215_2H_yeast_1.3.ser#100,FA_20240215_2H_yeast_1.3.ser#101,FA_20240215_2H_yeast_1.3.ser#102,FA_20240215_2H_yeast_1.3.ser#103,FA_20240215_2H_yeast_1.3.ser#104,FA_20240215_2H_yeast_1.3.ser#105,FA_20240215_2H_yeast_1.3.ser#106,FA_20240215_2H_yeast_1.3.ser#107,FA_20240215_2H_yeast_1.3.ser#108,FA_20240215_2H_yeast_1.3.ser#109,FA_20240215_2H_yeast_1.3.ser#110,FA_20240215_2H_yeast_1.3.ser#111,FA_20240215_2H_yeast_1.3.ser#112,FA_20240215_2H_yeast_1.3.ser#113,FA_20240215_2H_yeast_1.3.ser#114,FA_20240215_2H_yeast_1.3.ser#115,FA_20240215_2H_yeast_1.3.ser#116,FA_20240215_2H_yeast_1.3.ser#117,FA_20240215_2H_yeast_1.3.ser#118,FA_20240215_2H_yeast_1.3.ser#119,FA_20240215_2H_yeast_1.3.ser#120,FA_20240215_2H_yeast_1.3.ser#121,FA_20240215_2H_yeast_1.3.ser#122,FA_20240215_2H_yeast_1.3.ser#123,FA_20240215_2H_yeast_1.3.ser#124,FA_20240215_2H_yeast_1.3.ser#125,FA_20240215_2H_yeast_1.3.ser#126,FA_20240215_2H_yeast_1.3.ser#127,FA_20240215_2H_yeast_1.3.ser#128,FA_20240215_2H_yeast_1.3.ser#129,FA_20240215_2H_yeast_1.3.ser#130
0.656014,-34.7848,169.03,-61.3496,2.47702,105.353,-237.012,34.9154,-38.2265,-308.338,-15.6799,-8.48982,-44.9928,11.0176,-90.3028,-231.294,182.186,144.94,-6.44942,71.0714,-25.5801,-78.8528,13.5217,-48.3458,-55.2138,-68.7455,-156.278,110.582,30.1462,33.9408,-115.526,152.392,161.575,80.9251,151.073,39.6435,148.383,337.593,-8.95724,103.342,-75.0319,129.567,181.615,368.638,350.774,42.3772,18.8472,1.25882,13.0984,338.216,-29.1403,71.1279,198.357,73.4135,151.304,40.4753,99.1109,338.77,196.887,-93.8301,-71.5868,68.041,6.75934,259.366,-212.114,241.124,-312.317,107.417,70.0739,278.742,282.906,191.04,-23.288,241.104,-64.6773,78.6275,545.718,61.0088,48.5578,36.8573,109.457,110.938,24.6942,210.686,174.2,157.178,40.7825,-157.441,126.769,67.0215,-46.8902,170.512,340.803,-77.7265,106.917,153.525,-43.4937,163.393,77.3949,-73.2107,-1.966,160.935,-127.23,21.1655,-217.406,202.453,147.965,-37.3608,-102.684,-126.206,290.793,96.5305,-62.7196,63.495,97.2825,391.694,-157.506,-46.2402,224.987,51.0497,-63.285,141.877,-34.8776,90.6267,37.5859,-95.6351,-21.9534,92.3032,-79.4169,342.587,135.745
0.660086,-41.0843,184.397,-81.863,-21.3266,110.895,-273.357,45.1492,-23.4232,-290.128,14.2511,-7.01727,-38.4951,14.3308,-49.5266,-230.004,177.347,127.347,14.3941,66.7795,-31.5274,-87.7615,28.1212,-46.2688,-75.7036,-66.0621,-134.543,100.332,20.7752,30.7481,-117.382,143.422,154.218,90.2643,143.594,41.2209,145.46,322.079,-13.7947,116.502,-85.057,134.545,161.161,362.56,363.535,34.9975,38.6341,-12.9823,6.26005,343.52,-43.268,83.697,179.695,69.0325,149.064,32.669,146.858,347.739,196.455,-78.0277,-78.6861,16.79,-18.144,277.626,-215.396,255.62,-322.212,119.855,49.9802,290.085,285.741,173.363,-32.7101,246.222,-60.6263,55.429,540.604,88.4555,40.655,32.2391,96.0045,137.775,-4.59577,199.047,160.167,148.252,63.6183,-180.373,146.05,58.3991,-51.8859,137.02,373.042,-78.0182,109.464,174.232,-51.009,146.626,67.5889,-79.2541,-9.62574,155.849,-113.945,-11.1554,-240.02,192.36,125.008,-26.551,-113.433,-135.772,280.891,107.399,-42.1465,62.2496,65.9276,375.537,-153.083,-51.2222,258.052,22.178,-59.4856,190.212,-47.6631,103.669,62.8209,-103.731,11.6494,68.1532,-78.1088,326.485,143.523
0.664159,-48.135,190.582,-105,-49.9965,113.414,-302.376,50.2237,-9.8789,-275.348,38.6674,-7.52636,-36.0476,26.9503,-16.4547,-228.429,188.607,105.27,36.9422,58.2778,-35.8442,-94.13,41.7406,-50.9049,-90.8409,-59.5724,-107.313,89.6538,8.72796,33.726,-117.079,130.883,146.232,98.8796,141.354,41.4111,141.806,313.941,-19.4118,127.118,-99.2352,132.089,140.954,347.571,370.84,26.7879,58.7459,-17.1283,2.83114,345.705,-50.5466,101.456,157.566,61.6907,143.039,26.3759,188.431,352.956,188.406,-64.7159,-82.9078,-29.4537,-41.4653,293.867,-216.64,265.547,-325.752,130.656,36.4629,288.846,283.53,156.871,-42.5465,250.505,-57.4266,33.0177,534.736,104.888,34.7325,18.0656,82.2644,164.684,-36.8967,179.371,145.742,134.843,83.2078,-198.917,166.379,55.2146,-54.8323,97.2328,400.4,-73.8018,103.651,185.184,-63.3664,129.669,44.962,-87.3268,-18.4316,158.838,-96.9076,-47.8953,-259.809,183.034,101.294,-17.7857,-124.715,-143.691,268.138,121.888,-17.2645,73.1425,33.3001,353.358,-147.626,-58.4985,287.946,-5.11421,-49.6331,230.355,-63.2583,110.276,82.2731,-108.137,40.3353,51.7814,-80.3525,307.783,147.659
0.668231,-56.0218,185.663,-127.113,-79.7968,111.312,-322.171,48.4266,-0.167386,-264.609,55.9366,-10.782,-37.75,48.3133,8.32001,-227.109,215.789,82.762,57.9166,45.2906,-39.1548,-99.2026,54.4465,-61.1944,-101.223,-51.4561,-78.3969,78.6915,-7.29791,41.752,-113.117,115.005,136.722,107.854,144.201,40.8054,138.24,314.462,-24.835,134.82,-114.087,123.424,123.515,324.622,373.407,20.1003,76.1029,-11.5424,3.33891,345.493,-51.9572,125.763,135.586,55.0476,132.096,21.4289,220.376,351.785,174.7,-51.7555,-83.0996,-69.0393,-59.8336,304.957,-217.53,271.863,-325.345,138.749,29.6423,275.561,276.044,143.73,-52.9767,254.03,-55.0988,14.8558,528.714,110.58,29.3668,-2.33002,68.7744,188.793,-68.8963,154.478,133.259,117.952,96.7343,-210.072,185.314,54.2338,-56.9331,53.6984,422.5,-65.805,87.9635,181.481,-76.4176,114.493,12.9189,-95.9002,-28.4009,165.331,-76.4272,-86.8503,-277.14,172.712,77.89,-7.83029,-136.684,-148.089,251.427,137.214,11.0865,94.6811,5.29268,328.814,-141.948,-66.6203,312.317,-28.4421,-32.4187,262.288,-81.1265,108.697,93.3927,-107.069,63.8179,41.6264,-85.432,289.549,147.993
0.672304,-64.2452,169.717,-145.288,-107.329,102.958,-332.076,39.5573,3.27196,-257.007,66.125,-15.8741,-44.8455,75.7697,25.4755,-227.323,254.775,63.2006,72.379,29.9748,-42.6609,-102.909,66.6577,-74.674,-105.477,-42.5748,-50.688,67.5882,-28.4668,54.0051,-102.914,96.2453,125.843,117.257,151.414,39.1641,134.98,322.488,-27.9742,140.743,-126.915,109.885,110.395,296.29,372.381,16.3962,87.2351,1.97805,6.82732,343.383,-49.849,155.125,117.821,52.978,115.52,18.705,242.297,341.555,157.642,-38.244,-79.6727,-104.093,-71.6759,307.775,-219.697,274.294,-322.14,143.542,29.2471,252.387,264.026,133.869,-64.6653,255.771,-53.5667,3.0426,522.985,106.769,23.0155,-25.8179,57.5661,207.559,-96.3739,128.017,123.798,99.887,101.668,-211.654,201.568,52.6049,-58.2854,8.59469,440.739,-56.0144,62.6486,161.469,-86.6058,102.288,-24.5591,-103.583,-38.7179,170.651,-53.8755,-124.908,-290.848,160.633,56.0192,5.28607,-149.756,-148.931,229.891,151.677,40.9792,123.132,-13.6291,304.741,-137.479,-73.5509,329.427,-44.976,-7.09256,287.646,-100.822,98.6542,95.7313,-99.9292,84.288,35.9109,-91.8829,273.56,144.74
0.676376,-71.3961,145.426,-158.065,-130.39,87.8995,-332.391,25.7967,-1.2146,-250.925,70.8199,-20.8956,-59.5263,105.208,35.7839,-230.243,298.285,48.3481,75.3853,15.9576,-47.179,-103.373,78.909,-88.4017,-100.935,-32.8855,-25.0896,56.7857,-54.6713,70.0026,-84.4281,75.6341,115.035,125.996,161.785,35.5656,131.776,334.492,-27.0376,147.225,-136.797,92.9319,101.241,265.803,368.098,15.5619,89.5872,20.0736,11.0192,340.144,-45.799,187.309,107.442,57.4387,93.481,19.5868,255.654,321.384,137.986,-24.494,-74.3074,-138.597,-77.1567,300.107,-223.469,272.316,-315.235,145.065,35.6159,222.817,248.235,125.686,-78.4202,254.054,-52.1243,-1.92978,517.737,96.4708,15.2062,-50.3198,50.881,219.326,-115.194,103.53,117.085,83.8027,96.6871,-202.767,214.97,48.7243,-57.7717,-36.7642,456.694,-47.0986,30.3873,127.536,-92.3048,93.5595,-63.4524,-109.934,-46.9103,172.585,-31.0283,-159.396,-297.794,147.821,36.5442,20.6369,-163.959,-147.598,204.463,164.861,70.0692,153.645,-22.2383,283.448,-135.398,-77.9623,338.752,-52.6059,25.2318,307.997,-122.162,81.2943,90.5243,-87.5449,105.498,33.1403,-97.7358,259.324,138.145
0.680449,-75.3863,117.926,-164.939,-147.625,67.373,-323.816,10.999,-13.6575,-245.509,71.9971,-23.7761,-83.8731,131.891,39.5571,-235.818,337.656,38.6383,64.7727,6.3795,-52.5817,-98.4974,91.711,-100.108,-85.2899,-22.2858,-0.897549,47.3221,-83.571,88.8878,-57.7735,55.1472,106.711,132.511,173.825,29.5042,127.802,345.469,-21.7031,157.131,-144.185,74.4058,93.5047,236.382,359.862,16.1531,83.071,38.7415,12.7839,337.229,-39.7641,221.146,105.652,67.143,67.5346,24.9431,261.984,293.462,114.935,-11.2153,-68.8473,-175.377,-77.8997,281.679,-227.141,266.123,-302.443,144.384,49.1435,191.089,228.767,117.514,-94.7943,247.766,-49.5103,-0.434381,513.238,84.9914,6.9013,-74.8942,50.0863,223.798,-122.774,83.7942,111.793,72.0807,82.3254,-184.676,225.322,42.5034,-53.2177,-81.6547,471.061,-41.3934,-4.85583,85.2597,-93.2512,88.13,-99.9697,-115.743,-49.7919,171.837,-9.61731,-189.111,-294.316,136.396,20.1455,34.9005,-178.459,-145.448,178.252,176.588,96.4996,181.735,-22.4361,266.809,-135.67,-79.851,341.488,-50.9389,61.0274,323.779,-144.854,58.6657,80.0504,-72.192,130.885,31.9664,-101.401,244.645,128.367
0.684521,-74.1936,93.3538,-165.431,-157.728,44.1387,-307.242,-1.12422,-31.9297,-241.439,70.788,-22.9213,-118.456,151.999,37.1617,-242.191,365.383,33.87,42.4108,2.17966,-57.8635,-87.864,105.546,-108.842,-58.0773,-11.4045,23.1171,40.2498,-110.749,108.492,-25.7838,37.7233,103.825,136.058,185.929,21.7911,121.499,350.311,-13.2939,172.947,-149.868,56.3944,83.3435,210.822,346.705,16.505,70.2984,54.5069,9.04227,335.979,-30.5624,256.654,111.439,77.9402,40.9976,34.5942,262.081,262.589,87.5258,1.23343,-64.698,-214.511,-76.6644,254.328,-227.689,256.914,-282.045,143.194,68.923,161.272,205.317,108.683,-113.455,237.34,-44.7804,7.18087,510.085,78.5747,-0.0329669,-98.847,55.5327,221.941,-119.115,70.9182,106.147,64.6465,60.711,-161.402,231.3,34.7985,-41.6599,-125.016,483.73,-39.9326,-39.8649,41.6119,-89.2268,85.2229,-130.75,-122.768,-45.5563,170.475,9.23083,-213.802,-278.555,128.103,7.9519,44.6262,-191.714,-142.797,155.66,185.827,118.895,204.295,-17.4329,255.794,-136.875,-79.9032,340.448,-41.5108,95.5514,334.595,-167.633,32.9204,67.1025,-56.8964,161.859,30.9196,-102.662,226.842,115.257
0.688594,-66.8791,76.4253,-158.938,-159.513,21.9408,-284.177,-8.57247,-52.1578,-240.1,67.3747,-17.5109,-161.292,164.154,29.7831,-246.074,377.412,33.315,12.4365,1.60845,-61.6389,-73.3895,120.802,-114.84,-21.3267,-1.95208,47.8,35.495,-131.474,125.442,6.8808,26.3831,109.287,137.596,196.234,14.2498,110.864,345.129,-4.05811,195.945,-154.454,40.3922,67.365,191.252,328.21,15.9872,55.182,64.9216,-1.91407,336.617,-16.8608,293.85,122.201,85.0969,18.7888,47.7423,256.242,234.416,56.0642,12.9363,-62.8024,-253.805,-76.4154,221.416,-222.799,246.323,-254.368,142.63,92.0695,136.334,177.998,99.6442,-132.865,224.597,-37.9264,20.864,508.857,81.5278,-3.98119,-120.656,66.5977,215.477,-106.68,66.9836,99.0291,58.8119,34.6554,-139.191,230.759,26.4878,-20.5157,-164.669,494.461,-41.9906,-73.0351,3.05991,-79.4872,83.7204,-153.038,-132.915,-35.1339,170.04,25.518,-232.937,-251.937,123.327,1.65551,48.3943,-202.163,-139.001,141.125,190.729,135.755,220.104,-9.91166,250.148,-136.996,-78.5839,338.739,-27.265,124.873,340.395,-187.942,5.69159,54.4638,-43.5447,197.093,28.4008,-103.029,203.829,98.3504
0.692666,-54.3643,68.1952,-145.517,-153.148,4.8072,-257.001,-11.6567,-69.9854,-241.932,61.8127,-7.46148,-207.724,169.632,19.4733,-243.981,373.698,35.2495,-21.807,1.35516,-62.6758,-58.7906,137.338,-118.7,20.7546,3.9996,73.016,31.4271,-142.748,136.723,35.7758,22.6807,124.801,139.327,202.496,8.78704,94.4275,328.225,3.65,225.607,-158.245,26.6176,44.207,178.989,305.261,15.3986,40.9947,68.5054,-19.4191,338.171,1.83559,331.718,134.904,86.1604,6.15908,64.0567,244.793,213.52,22.7194,24.0891,-63.1094,-290.186,-78.6813,187.082,-212.421,235.303,-221.983,142.346,114.484,117.753,147.726,91.6453,-150.763,211.558,-29.5966,40.6042,509.687,94.1187,-4.68064,-137.887,81.6129,206.516,-89.2113,74.1244,91.0127,50.9384,6.80575,-124.641,222.273,17.9215,10.5731,-197.303,503.432,-45.5161,-103.435,-25.7423,-63.3585,82.3388,-164.873,-147.073,-21.6349,170.801,39.98,-245.134,-218.881,121.105,2.38862,47.4101,-209.021,-132.832,137.817,189.614,145.45,229.876,-1.4068,248.596,-134.374,-75.889,337.741,-11.8289,146.862,342.343,-203.066,-21.9175,44.5668,-30.9355,233.045,23.4955,-104.841,174.967,77.3639
