,FA_20231113_2H_yeast_1.5.ser#1,FA_20231113_2H_yeast_1.5.ser#2,FA_20231113_2H_yeast_1.5.ser#3,FA_20231113_2H_yeast_1.5.ser#4,FA_20231113_2H_yeast_1.5.ser#5,FA_20231113_2H_yeast_1.5.ser#6,FA_20231113_2H_yeast_1.5.ser#7,FA_20231113_2H_yeast_1.5.ser#8,FA_20231113_2H_yeast_1.5.ser#9,FA_20231113_2H_yeast_1.5.ser#10,FA_20231113_2H_yeast_1.5.ser#11,FA_20231113_2H_yeast_1.5.ser#12,FA_20231113_2H_yeast_1.5.ser#13,FA_20231113_2H_yeast_1.5.ser#14,FA_20231113_2H_yeast_1.5.ser#15,FA_20231113_2H_yeast_1.5.ser#16,FA_20231113_2H_yeast_1.5.ser#17,FA_20231113_2H_yeast_1.5.ser#18,FA_20231113_2H_yeast_1.5.ser#19,FA_20231113_2H_yeast_1.5.ser#20,FA_20231113_2H_yeast_1.5.ser#21,FA_20231113_2H_yeast_1.5.ser#22,FA_20231113_2H_yeast_1.5.ser#23,FA_20231113_2H_yeast_1.5.ser#24,FA_20231113_2H_yeast_1.5.ser#25,FA_20231113_2H_yeast_1.5.ser#26,FA_20231113_2H_yeast_1.5.ser#27,FA_20231113_2H_yeast_1.5.ser#28,FA_20231113_2H_yeast_1.5.ser#29,FA_20231113_2H_yeast_1.5.ser#30,FA_20231113_2H_yeast_1.5.ser#31,FA_20231113_2H_yeast_1.5.ser#32,FA_20231113_2H_yeast_1.5.ser#33,FA_20231113_2H_yeast_1.5.ser#34,FA_20231113_2H_yeast_1.5.ser#35,FA_20231113_2H_yeast_1.5.ser#36,FA_20231113_2H_yeast_1.5.ser#37,FA_20231113_2H_yeast_1.5.ser#38,FA_20231113_2H_yeast_1.5.ser#39,FA_20231113_2H_yeast_1.5.ser#40,FA_20231113_2H_yeast_1.5.ser#41,FA_20231113_2H_yeast_1.5.ser#42,FA_20231113_2H_yeast_1.5.ser#43,FA_20231113_2H_yeast_1.5.ser#44,FA_20231113_2H_yeast_1.5.ser#45,FA_20231113_2H_yeast_1.5.ser#46,FA_20231113_2H_yeast_1.5.ser#47,FA_20231113_2H_yeast_1.5.ser#48,FA_20231113_2H_yeast_1.5.ser#49,FA_20231113_2H_yeast_1.5.ser#50,FA_20231113_2H_yeast_1.5.ser#51,FA_20231113_2H_yeast_1.5.ser#52,FA_20231113_2H_yeast_1.5.ser#53,FA_20231113_2H_yeast_1.5.ser#54,FA_20231113_2H_yeast_1.5.ser#55,FA_20231113_2H_yeast_1.5.ser#56,FA_20231113_2H_yeast_1.5.ser#57,FA_20231113_2H_yeast_1.5.ser#58,FA_20231113_2H_yeast_1.5.ser#59,FA_20231113_2H_yeast_1.5.ser#60,FA_20231113_2H_yeast_1.5.ser#61,FA_20231113_2H_yeast_1.5.ser#62,FA_20231113_2H_yeast_1.5.ser#63,FA_20231113_2H_yeast_1.5.ser#64,FA_20231113_2H_yeast_1.5.ser#65,FA_20231113_2H_yeast_1.5.ser#66,FA_20231113_2H_yeast_1.5.ser#67,FA_20231113_2H_yeast_1.5.ser#68,FA_20231113_2H_yeast_1.5.ser#69,FA_20231113_2H_yeast_1.5.ser#70,FA_20231113_2H_yeast_1.5.ser#71,FA_20231113_2H_yeast_1.5.ser#72,FA_20231113_2H_yeast_1.5.ser#73,FA_20231113_2H_yeast_1.5.ser#74,FA_20231113_2H_yeast_1.5.ser#75,FA_20231113_2H_yeast_1.5.ser#76,FA_20231113_2H_yeast_1.5.ser#77,FA_20231113_2H_yeast_1.5.ser#78,FA_20231113_2H_yeast_1.5.ser#79,FA_20231113_2H_yeast_1.5.ser#80,FA_20231113_2H_yeast_1.5.ser#81,FA_20231113_2H_yeast_1.5.ser#82,FA_20231113_2H_yeast_1.5.ser#83,FA_20231113_2H_yeast_1.5.ser#84,FA_20231113_2H_yeast_1.5.ser#85,FA_20231113_2H_yeast_1.5.ser#86,FA_20231113_2H_yeast_1.5.ser#87,FA_20231113_2H_yeast_1.5.ser#88,FA_20231113_2H_yeast_1.5.ser#89,FA_20231113_2H_yeast_1.5.ser#90,FA_20231113_2H_yeast_1.5.ser#91,FA_20231113_2H_yeast_1.5.ser#92,FA_20231113_2H_yeast_1.5.ser#93,FA_20231113_2H_yeast_1.5.ser#94,FA_20231113_2H_yeast_1.5.ser#95,FA_20231113_2H_yeast_1.5.ser#96,FA_20231113_2H_yeast_1.5.ser#97,FA_20231113_2H_yeast_1.5.ser#98,FA_20231113_2H_yeast_1.5.ser#99,FA_20231113_2H_yeast_1.5.ser#100,FA_20231113_2H_yeast_1.5.ser#101,FA_20231113_2H_yeast_1.5.ser#102,FA_20231113_2H_yeast_1.5.ser#103,FA_20231113_2H_yeast_1.5.ser#104,FA_20231113_2H_yeast_1.5.ser#105,FA_20231113_2H_yeast_1.5.ser#106,FA_20231113_2H_yeast_1.5.ser#107,FA_20231113_2H_yeast_1.5.ser#108,FA_20231113_2H_yeast_1.5.ser#109,FA_20231113_2H_yeast_1.5.ser#110,FA_20231113_2H_yeast_1.5.ser#111,FA_20231113_2H_yeast_1.5.ser#112,FA_20231113_2H_yeast_1.5.ser#113,FA_20231113_2H_yeast_1.5.ser#114,FA_20231113_2H_yeast_1.5.ser#115,FA_20231113_2H_yeast_1.5.ser#116,FA_20231113_2H_yeast_1.5.ser#117,FA_20231113_2H_yeast_1.5.ser#118,FA_20231113_2H_yeast_1.5.ser#119,FA_20231113_2H_yeast_1.5.ser#120,FA_20231113_2H_yeast_1.5.ser#121,FA_20231113_2H_yeast_1.5.ser#122,FA_20231113_2H_yeast_1.5.ser#123,FA_20231113_2H_yeast_1.5.ser#124,FA_20231113_2H_yeast_1.5.ser#125,FA_20231113_2H_yeast_1.5.ser#126,FA_20231113_2H_yeast_1.5.ser#127,FA_20231113_2H_yeast_1.5.ser#128,FA_20231113_2H_yeast_1.5.ser#129,FA_20231113_2H_yeast_1.5.ser#130
-0.875290,-228.308,-221.791,273.276,-51.5868,-121.183,204.981,99.0784,-56.1330,36.8234,246.018,61.0383,-91.0011,-41.6361,259.717,99.9158,49.2620,-215.045,-77.6375,-237.790,55.7632,247.404,19.0583,-163.125,5.55212,-69.8690,197.083,111.221,-114.966,280.371,-105.114,12.6480,-54.0953,46.1094,-339.084,113.309,-135.787,-131.592,-18.5885,-26.8276,5.84546,28.6516,-15.9607,49.8611,-94.8699,-258.188,198.560,7.71265,361.918,60.1212,-65.0354,294.244,109.572,-113.867,-190.860,197.625,241.724,393.062,-104.546,-107.880,-62.1511,-91.5009,88.2478,37.3501,204.959,29.9995,24.5144,230.502,151.187,-187.916,-76.1555,-251.365,215.235,166.913,7.62195,-83.8956,277.357,219.412,23.9117,-98.1873,110.746,82.6805,-23.4938,46.9446,-101.878,-38.0340,-198.630,-33.2934,-102.030,-152.035,265.246,-217.215,235.264,-205.200,-220.434,-129.248,1.39759,-82.9033,-160.445,-190.038,146.397,48.6136,56.8851,-184.619,16.6677,-16.7884,-58.1257,147.601,190.187,-54.7526,-40.9699,-119.292,-59.8047,16.3538,-348.181,31.4083,156.453,194.325,-133.116,113.516,-27.4275,101.687,68.0404,17.3976,-261.254,-350.736,-205.871,-66.7216,-20.9271,-132.078,-179.451
-0.871218,-253.764,-248.717,280.791,-65.3569,-140.719,216.274,108.973,-67.8758,23.7266,245.011,55.9070,-124.923,-31.4449,258.802,109.706,57.7501,-229.201,-87.2094,-218.226,63.2403,221.843,13.0575,-156.037,45.6005,-89.9256,222.560,106.869,-117.752,267.350,-100.116,-0.0996560,-58.9026,44.5612,-310.058,105.797,-124.869,-128.727,-20.7095,-4.61785,26.8022,-28.7597,-14.1885,66.5545,-144.470,-260.916,214.031,30.1252,331.089,39.0418,-71.5240,281.962,99.4108,-143.492,-189.364,189.642,217.075,409.133,-95.8939,-101.709,-69.7509,-94.1716,38.9716,56.1047,222.625,16.8393,6.99835,238.157,148.328,-173.456,-28.7316,-248.312,244.116,119.509,15.2243,-111.704,273.431,206.707,34.6668,-113.324,117.892,92.7958,-23.1234,48.6436,-107.459,-71.6928,-209.305,-9.34087,-84.7406,-152.307,262.575,-204.238,236.919,-223.301,-229.816,-156.962,11.4105,-93.3093,-140.532,-193.878,138.655,33.0961,38.8240,-216.936,42.9918,-24.3067,-55.5119,152.803,189.157,-47.7004,-8.22272,-118.790,-50.4082,22.2253,-354.236,57.1187,159.333,187.168,-132.925,110.237,-5.02911,88.9581,59.1063,11.5755,-242.119,-325.324,-219.807,-59.5056,-29.7109,-163.031,-185.996
-0.867145,-279.425,-269.568,279.494,-77.3692,-163.852,219.093,121.288,-85.9456,14.2080,243.825,48.9623,-155.128,-23.4849,260.319,122.870,67.1430,-242.288,-102.689,-195.525,65.6973,191.375,12.4145,-146.792,85.3658,-109.909,250.907,101.543,-134.244,257.838,-94.4865,-9.62681,-64.0105,35.6308,-284.796,102.387,-109.132,-118.664,-14.4549,14.1920,37.0362,-85.6425,-13.5199,80.8900,-187.424,-257.342,218.084,53.8386,290.599,24.7103,-75.1755,256.100,86.9612,-175.307,-187.990,172.353,193.300,416.673,-83.2295,-98.1773,-70.8500,-92.6693,-19.1966,69.3363,237.181,3.20669,-16.8651,242.339,141.472,-164.857,19.6587,-239.772,268.386,80.8570,23.2949,-138.315,268.395,194.977,38.9934,-123.553,119.888,104.693,-16.0261,50.7830,-106.017,-97.8280,-227.280,14.7003,-63.1399,-153.818,245.772,-188.787,241.098,-232.058,-236.195,-176.779,25.1091,-96.8181,-118.018,-193.676,127.425,24.7574,14.3323,-243.316,60.3801,-29.7999,-48.8893,158.165,188.364,-39.4569,20.4186,-119.563,-31.6403,33.0391,-365.155,82.8862,157.208,177.278,-133.509,103.569,16.3252,77.8874,50.2940,7.33075,-215.100,-302.808,-227.559,-58.2599,-43.1255,-199.709,-183.916
-0.863073,-300.171,-283.392,269.586,-84.6215,-189.054,216.680,135.127,-107.184,9.63045,241.384,40.0207,-179.040,-16.6261,263.385,139.664,77.0796,-254.715,-121.917,-171.643,64.9198,159.218,16.1071,-135.531,121.154,-125.926,280.520,97.4307,-163.267,256.520,-91.4012,-16.2006,-65.5105,19.5514,-265.512,103.759,-89.5496,-102.930,-4.49324,25.8905,35.2856,-140.047,-16.1876,93.1419,-219.315,-249.845,209.436,77.3152,243.057,17.9371,-77.1157,218.189,74.3397,-205.185,-187.106,148.321,174.496,411.800,-67.4436,-94.7855,-65.8612,-87.3956,-81.5370,76.4813,246.566,-7.26915,-46.5343,244.721,126.986,-163.345,63.3767,-227.451,285.539,54.6466,28.4220,-164.631,262.445,182.404,38.1879,-129.258,114.919,118.802,-4.70174,55.5118,-98.6773,-114.068,-248.986,34.3155,-38.5420,-155.691,217.618,-171.667,248.777,-230.909,-239.289,-188.297,39.1047,-94.0819,-92.9652,-193.822,115.775,23.9467,-16.3145,-262.635,67.0806,-35.3368,-37.8360,163.806,183.344,-34.9959,42.8408,-124.455,-3.79544,46.6908,-380.707,104.253,148.963,168.111,-136.631,94.1077,34.0818,71.1179,41.6916,6.29008,-183.274,-288.209,-227.879,-66.5592,-59.6309,-238.572,-174.064
-0.859000,-311.655,-289.948,253.935,-84.6852,-213.691,213.345,147.317,-129.412,8.05188,237.422,29.5903,-195.012,-11.4070,265.542,159.400,86.6883,-266.087,-141.202,-147.852,63.4963,128.226,22.2028,-121.433,148.275,-136.015,309.268,96.1804,-200.931,264.420,-94.6219,-20.4996,-60.8363,-1.95197,-252.523,111.309,-68.3860,-83.3297,3.70926,26.6280,21.6260,-189.448,-24.7976,103.313,-238.767,-242.195,188.870,98.4054,192.307,17.8716,-78.4980,170.945,63.1731,-229.510,-187.298,121.148,163.774,392.622,-49.1310,-88.8086,-55.7484,-77.6300,-142.657,78.4871,249.195,-11.9452,-80.5505,246.924,102.745,-167.362,97.2635,-210.289,294.380,41.6834,28.8495,-191.632,255.120,168.049,32.2509,-131.270,101.189,135.524,8.08932,62.0074,-87.9670,-120.325,-269.558,45.7606,-13.5398,-156.567,182.571,-154.029,260.513,-221.097,-239.318,-194.321,50.4688,-86.1728,-67.1706,-198.184,105.984,29.7095,-50.1499,-276.630,64.6456,-43.7181,-22.3821,170.121,170.627,-36.6944,59.4547,-135.184,28.9891,61.3196,-399.357,117.508,134.781,162.276,-143.087,82.3182,46.4590,70.2741,32.4483,10.7777,-148.671,-284.292,-222.333,-85.5227,-76.8774,-274.754,-158.084
-0.854928,-311.550,-289.529,235.920,-77.4569,-234.844,212.149,154.310,-150.735,5.73305,233.181,18.8794,-201.821,-10.5878,263.082,179.861,95.6994,-275.045,-156.122,-124.522,63.0084,100.110,28.7668,-103.727,162.696,-140.712,334.136,98.2145,-241.376,279.233,-107.173,-22.6246,-49.4779,-26.3220,-244.734,126.501,-48.3201,-61.5161,5.90924,14.2408,-2.77427,-230.779,-40.7960,111.905,-247.127,-237.732,159.531,114.891,142.939,22.6355,-79.3556,117.571,53.5171,-245.769,-190.041,94.8601,161.702,360.084,-28.0433,-78.8312,-42.5855,-61.9008,-196.893,78.1880,244.736,-10.6553,-116.479,249.383,69.5564,-173.823,118.125,-185.430,294.824,39.6210,25.8523,-219.466,245.527,152.097,20.0617,-130.786,78.5629,154.302,19.2160,66.5800,-76.6612,-117.672,-284.597,47.2604,7.92649,-154.880,145.517,-136.668,275.755,-205.711,-236.168,-199.159,57.3463,-73.8523,-43.2095,-208.240,98.3965,40.2122,-82.1571,-288.600,56.8125,-56.6724,-3.80188,178.192,149.380,-43.7003,71.4879,-151.567,61.2981,74.8526,-418.766,120.781,116.360,160.098,-151.874,67.9076,52.7350,75.7460,21.7680,22.3133,-112.160,-290.433,-214.636,-113.533,-92.7911,-303.589,-138.209
-0.850855,-299.657,-282.814,217.818,-65.1719,-249.899,214.361,154.196,-168.975,-0.0864739,230.782,9.00699,-199.049,-17.6255,252.501,197.900,104.965,-280.011,-162.569,-101.903,62.8650,75.1738,34.3383,-82.4971,163.320,-142.414,351.535,102.513,-278.020,297.015,-130.028,-21.4045,-32.6593,-51.1275,-240.041,149.660,-31.3172,-38.6796,0.826296,-10.4178,-35.3658,-260.602,-63.2304,120.382,-246.856,-238.518,126.132,125.336,99.6258,30.3357,-77.8895,61.4389,44.0084,-252.961,-197.235,73.2551,165.946,318.168,-3.76651,-65.3963,-29.1930,-38.9548,-239.571,79.3555,234.329,-5.88202,-150.617,250.722,31.1495,-179.642,125.631,-150.595,287.554,43.9687,23.1587,-246.600,233.029,135.580,0.689347,-129.011,49.6415,172.606,25.3282,64.4067,-66.7586,-107.430,-291.694,39.3094,21.8588,-149.321,110.952,-119.429,292.370,-188.864,-229.223,-205.572,58.8192,-57.8476,-23.0546,-222.301,91.3590,53.1452,-107.281,-300.951,48.0239,-73.3362,15.4079,189.514,121.581,-53.4143,79.4174,-171.559,89.2278,85.0725,-435.884,114.940,97.0688,160.101,-160.380,50.0681,52.7928,87.1843,9.26849,40.3921,-73.9780,-302.043,-209.374,-146.706,-106.152,-322.108,-117.153
-0.846783,-277.419,-270.350,200.593,-50.9864,-256.878,219.963,147.439,-182.234,-9.01130,231.921,0.612897,-188.259,-33.9032,232.204,210.756,115.359,-280.072,-157.671,-81.3627,60.6746,52.9142,37.6972,-58.8040,152.830,-143.911,358.951,106.958,-305.127,314.110,-161.571,-15.0835,-12.3952,-74.4597,-236.155,179.142,-17.9445,-15.5352,-9.62196,-43.2996,-71.8354,-275.749,-88.3863,130.478,-240.323,-245.093,93.4082,129.415,66.0728,39.5809,-71.2068,5.84111,33.1899,-251.410,-210.008,59.2703,172.422,272.819,22.7060,-50.2601,-18.0020,-9.02235,-268.294,84.9954,219.830,-1.43600,-177.951,248.072,-7.18855,-182.695,121.789,-106.131,273.979,50.0788,24.5419,-269.863,217.857,120.107,-25.2874,-126.895,18.9818,186.059,23.9834,52.0280,-59.0253,-91.4226,-291.004,24.1615,25.9802,-139.127,82.1478,-101.418,307.143,-174.249,-217.858,-212.658,54.7866,-39.5592,-7.36453,-236.715,82.4310,65.8964,-122.331,-313.408,41.7951,-90.0241,32.3571,204.743,90.7006,-63.4530,82.9246,-192.352,110.776,89.8350,-447.362,103.089,81.3222,160.739,-165.273,28.5380,46.8453,104.101,-5.20473,62.3654,-34.1122,-311.645,-210.267,-180.550,-116.170,-329.584,-97.7443
-0.842710,-247.431,-251.954,184.510,-37.8673,-254.861,227.817,136.098,-189.797,-17.7961,236.775,-5.67880,-173.226,-57.2112,203.232,216.933,126.327,-275.463,-140.493,-65.8888,53.9262,32.8241,37.3804,-34.4196,135.827,-146.904,356.779,109.343,-319.423,328.026,-198.026,-2.86993,9.48748,-94.8084,-231.762,211.724,-7.34736,7.34962,-21.6820,-78.2106,-106.509,-274.463,-110.803,142.689,-229.810,-256.212,64.3206,127.586,44.0033,49.2187,-57.1147,-46.3414,20.8019,-241.999,-228.165,54.5168,177.163,229.844,48.1052,-35.3034,-10.3579,25.4114,-283.056,96.0789,202.667,-0.590861,-192.964,238.369,-40.6463,-182.230,109.619,-55.6394,256.411,54.9996,31.3866,-285.881,201.079,107.757,-55.4884,-125.248,-9.23379,190.047,15.1729,29.1226,-53.1069,-72.9321,-284.774,5.12273,20.6187,-124.350,60.1910,-81.9964,316.882,-163.743,-202.116,-216.619,46.2381,-21.1774,4.51473,-248.099,69.9438,76.1011,-126.423,-323.268,39.4074,-101.831,44.8255,222.954,60.0076,-72.6255,81.8888,-211.711,124.371,86.9417,-450.826,88.7631,72.9084,161.380,-163.513,4.46354,35.4965,125.932,-21.5956,84.4992,7.18047,-311.603,-218.495,-211.779,-121.920,-326.962,-82.2127
-0.838638,-213.031,-226.761,169.881,-28.5309,-244.427,235.666,122.511,-192.107,-23.0270,243.727,-8.75945,-158.072,-82.4424,168.610,216.288,135.662,-267.563,-112.332,-59.0166,41.7280,14.7129,31.7404,-11.5925,115.855,-151.186,348.436,108.772,-320.900,337.372,-234.616,14.2899,31.7379,-110.907,-227.013,243.747,2.06550,29.0897,-31.5743,-108.671,-133.733,-257.252,-125.378,155.605,-217.951,-268.825,38.9809,120.640,32.7002,57.9581,-35.5558,-92.8525,8.15382,-225.680,-250.403,59.2104,178.029,193.276,68.0275,-22.2864,-6.63298,60.2892,-285.357,111.153,183.484,-4.57373,-191.635,219.812,-66.5354,-178.767,92.3593,-5.24489,238.071,58.1899,42.4302,-292.931,183.885,100.832,-86.3715,-125.039,-33.0686,181.920,1.85502,-1.33352,-47.9436,-56.9458,-276.135,-14.0791,8.10487,-106.380,43.9861,-61.5714,319.323,-156.925,-183.318,-213.759,35.5637,-4.82943,14.1333,-254.705,53.5188,82.3933,-120.057,-327.525,39.6659,-105.423,51.8323,242.458,31.6123,-80.7439,76.9184,-228.324,127.957,74.0063,-445.963,74.1039,73.5730,161.975,-153.291,-20.0736,19.5464,151.416,-39.0708,103.293,48.5283,-296.998,-232.151,-238.817,-122.523,-315.897,-71.6133
