2H chemical shift (ppm),FA_20231122_2H_yeast_1.3.ser#1,FA_20231122_2H_yeast_1.3.ser#2,FA_20231122_2H_yeast_1.3.ser#3,FA_20231122_2H_yeast_1.3.ser#4,FA_20231122_2H_yeast_1.3.ser#5,FA_20231122_2H_yeast_1.3.ser#6,FA_20231122_2H_yeast_1.3.ser#7,FA_20231122_2H_yeast_1.3.ser#8,FA_20231122_2H_yeast_1.3.ser#9,FA_20231122_2H_yeast_1.3.ser#10,FA_20231122_2H_yeast_1.3.ser#11,FA_20231122_2H_yeast_1.3.ser#12,FA_20231122_2H_yeast_1.3.ser#13,FA_20231122_2H_yeast_1.3.ser#14,FA_20231122_2H_yeast_1.3.ser#15,FA_20231122_2H_yeast_1.3.ser#16,FA_20231122_2H_yeast_1.3.ser#17,FA_20231122_2H_yeast_1.3.ser#18,FA_20231122_2H_yeast_1.3.ser#19,FA_20231122_2H_yeast_1.3.ser#20,FA_20231122_2H_yeast_1.3.ser#21,FA_20231122_2H_yeast_1.3.ser#22,FA_20231122_2H_yeast_1.3.ser#23,FA_20231122_2H_yeast_1.3.ser#24,FA_20231122_2H_yeast_1.3.ser#25,FA_20231122_2H_yeast_1.3.ser#26,FA_20231122_2H_yeast_1.3.ser#27,FA_20231122_2H_yeast_1.3.ser#28,FA_20231122_2H_yeast_1.3.ser#29,FA_20231122_2H_yeast_1.3.ser#30,FA_20231122_2H_yeast_1.3.ser#31,FA_20231122_2H_yeast_1.3.ser#32,FA_20231122_2H_yeast_1.3.ser#33,FA_20231122_2H_yeast_1.3.ser#34,FA_20231122_2H_yeast_1.3.ser#35,FA_20231122_2H_yeast_1.3.ser#36,FA_20231122_2H_yeast_1.3.ser#37,FA_20231122_2H_yeast_1.3.ser#38,FA_20231122_2H_yeast_1.3.ser#39,FA_20231122_2H_yeast_1.3.ser#40,FA_20231122_2H_yeast_1.3.ser#41,FA_20231122_2H_yeast_1.3.ser#42,FA_20231122_2H_yeast_1.3.ser#43,FA_20231122_2H_yeast_1.3.ser#44,FA_20231122_2H_yeast_1.3.ser#45,FA_20231122_2H_yeast_1.3.ser#46,FA_20231122_2H_yeast_1.3.ser#47,FA_20231122_2H_yeast_1.3.ser#48,FA_20231122_2H_yeast_1.3.ser#49,FA_20231122_2H_yeast_1.3.ser#50,FA_20231122_2H_yeast_1.3.ser#51,FA_20231122_2H_yeast_1.3.ser#52,FA_20231122_2H_yeast_1.3.ser#53,FA_20231122_2H_yeast_1.3.ser#54,FA_20231122_2H_yeast_1.3.ser#55,FA_20231122_2H_yeast_1.3.ser#56,FA_20231122_2H_yeast_1.3.ser#57,FA_20231122_2H_yeast_1.3.ser#58,FA_20231122_2H_yeast_1.3.ser#59,FA_20231122_2H_yeast_1.3.ser#60,FA_20231122_2H_yeast_1.3.ser#61,FA_20231122_2H_yeast_1.3.ser#62,FA_20231122_2H_yeast_1.3.ser#63,FA_20231122_2H_yeast_1.3.ser#64,FA_20231122_2H_yeast_1.3.ser#65,FA_20231122_2H_yeast_1.3.ser#66,FA_20231122_2H_yeast_1.3.ser#67,FA_20231122_2H_yeast_1.3.ser#68,FA_20231122_2H_yeast_1.3.ser#69,FA_20231122_2H_yeast_1.3.ser#70,FA_20231122_2H_yeast_1.3.ser#71,FA_20231122_2H_yeast_1.3.ser#72,FA_20231122_2H_yeast_1.3.ser#73,FA_20231122_2H_yeast_1.3.ser#74,FA_20231122_2H_yeast_1.3.ser#75,FA_20231122_2H_yeast_1.3.ser#76,FA_20231122_2H_yeast_1.3.ser#77,FA_20231122_2H_yeast_1.3.ser#78,FA_20231122_2H_yeast_1.3.ser#79,FA_20231122_2H_yeast_1.3.ser#80,FA_20231122_2H_yeast_1.3.ser#81,FA_20231122_2H_yeast_1.3.ser#82,FA_20231122_2H_yeast_1.3.ser#83,FA_20231122_2H_yeast_1.3.ser#84,FA_20231122_2H_yeast_1.3.ser#85,FA_20231122_2H_yeast_1.3.ser#86,FA_20231122_2H_yeast_1.3.ser#87,FA_20231122_2H_yeast_1.3.ser#88,FA_20231122_2H_yeast_1.3.ser#89,FA_20231122_2H_yeast_1.3.ser#90,FA_20231122_2H_yeast_1.3.ser#91,FA_20231122_2H_yeast_1.3.ser#92,FA_20231122_2H_yeast_1.3.ser#93,FA_20231122_2H_yeast_1.3.ser#94,FA_20231122_2H_yeast_1.3.ser#95,FA_20231122_2H_yeast_1.3.ser#96,FA_20231122_2H_yeast_1.3.ser#97,FA_20231122_2H_yeast_1.3.ser#98,FA_20231122_2H_yeast_1.3.ser#99,FA_20231122_2H_yeast_1.3.ser#100,FA_20231122_2H_yeast_1.3.ser#101,FA_20231122_2H_yeast_1.3.ser#102,FA_20231122_2H_yeast_1.3.ser#103,FA_20231122_2H_yeast_1.3.ser#104,FA_20231122_2H_yeast_1.3.ser#105,FA_20231122_2H_yeast_1.3.ser#106,FA_20231122_2H_yeast_1.3.ser#107,FA_20231122_2H_yeast_1.3.ser#108,FA_20231122_2H_yeast_1.3.ser#109,FA_20231122_2H_yeast_1.3.ser#110,FA_20231122_2H_yeast_1.3.ser#111,FA_20231122_2H_yeast_1.3.ser#112,FA_20231122_2H_yeast_1.3.ser#113,FA_20231122_2H_yeast_1.3.ser#114,FA_20231122_2H_yeast_1.3.ser#115,FA_20231122_2H_yeast_1.3.ser#116,FA_20231122_2H_yeast_1.3.ser#117,FA_20231122_2H_yeast_1.3.ser#118,FA_20231122_2H_yeast_1.3.ser#119,FA_20231122_2H_yeast_1.3.ser#120,FA_20231122_2H_yeast_1.3.ser#121,FA_20231122_2H_yeast_1.3.ser#122,FA_20231122_2H_yeast_1.3.ser#123,FA_20231122_2H_yeast_1.3.ser#124,FA_20231122_2H_yeast_1.3.ser#125,FA_20231122_2H_yeast_1.3.ser#126,FA_20231122_2H_yeast_1.3.ser#127,FA_20231122_2H_yeast_1.3.ser#128,FA_20231122_2H_yeast_1.3.ser#129,FA_20231122_2H_yeast_1.3.ser#130
-1.48619,203.113,-70.8581,-143.657,133.671,-166.271,-147.685,-132.714,-224.299,80.7262,-87.0405,132.776,-96.8609,-25.4761,-53.3677,-1.53747,-5.32144,2.44432,-27.457,-242.137,200.416,-116.399,-197.646,11.6052,-86.7291,68.5742,-74.9952,-308.208,-77.5113,-26.6131,-60.8489,207.098,-150.625,61.9213,89.7495,-105.772,-162.772,89.9178,41.6572,-153.153,-187.816,47.9134,-390.238,-62.7103,-282.548,-55.3494,74.3491,-199.132,-71.1728,-91.1341,-268.981,-166.403,-97.6282,-222.534,116.43,32.7192,-203.923,-65.5429,-150.203,-39.1275,-39.0247,317.591,-9.17486,-41.0479,34.8044,-121.214,208.198,-22.7078,-92.3078,49.3433,198.417,-309.569,22.9272,-195.832,-20.3888,-174.143,-313.848,-97.259,-83.9233,155.346,-194.003,-290.483,96.1362,-175.731,-213.448,-49.5502,-136.02,-92.93,37.4486,-136.932,-169.127,-114.311,30.5728,23.3985,-257.892,-72.2397,230.145,-48.0492,-287.499,47.3761,134.081,81.9384,-205.933,-71.8881,-114.369,126.974,-7.31007,-195.472,-276.844,23.5903,27.5712,120.925,129.49,-112.655,-10.9212,127.69,-21.8409,-131.189,53.533,22.4777,181.152,-353.117,-7.77671,217.888,267.575,-55.0397,147.585,-325.907,29.6039,-72.8725,-140.745
-1.48211,200.38,-68.2167,-131.555,133.931,-180.371,-174.341,-106.561,-234.835,94.6094,-79.6277,122.208,-92.1978,-10.2896,-34.4479,-13.6783,0.658907,-22.1309,-9.6616,-257.291,196.694,-135.05,-147.234,19.2904,-88.868,60.4887,-64.8822,-298.47,-90.2755,19.9793,-94.5663,189.664,-147.434,76.8247,95.016,-138.663,-188.451,57.9289,31.1955,-142.669,-154.08,81.4381,-394.244,-51.4133,-283.228,-58.0998,105.401,-167.534,-89.8061,-80.3262,-246.614,-172.469,-96.6172,-238.612,136.881,36.8731,-162.765,-77.1811,-156.26,-47.2299,-24.8764,280.794,34.0082,-88.7188,61.0133,-128.606,206.001,-42.913,-126.146,38.1177,179.31,-290.227,44.8205,-214.922,-14.6274,-122.552,-329.446,-106.739,-117.474,151.163,-211.662,-271.705,79.3644,-153.102,-234.854,-41.2418,-119.615,-116.436,60.9728,-113.297,-176.317,-94.3122,44.3369,36.5725,-293.234,-57.3619,214.97,-62.1799,-274.641,47.7674,126.01,56.0895,-230.8,-39.2053,-115.006,73.8359,-32.7247,-195.954,-289.566,19.9458,11.8672,183.988,139.733,-120.914,-3.10544,145.872,-10.9875,-138.325,85.3985,21.0279,193.928,-345.011,28.7623,193.532,277.103,-21.0555,145.194,-296.679,52.8904,-79.6362,-100.551
-1.47804,194.301,-61.3437,-120.128,135.837,-191.776,-202.809,-82.0662,-241.437,105.606,-80.094,106.036,-91.1115,11.3858,-14.5221,-23.2744,12.4795,-41.8936,5.69699,-270.15,193.943,-149.148,-90.6568,28.9975,-78.3332,50.5032,-49.6995,-287.686,-105.522,54.6553,-128.371,175.742,-144.274,82.9409,93.8613,-164.015,-209.084,20.7505,31.1117,-134.38,-116.906,119.765,-393.024,-42.2716,-282.191,-62.4639,141.958,-128.188,-107.823,-70.4808,-217.819,-179.519,-95.2911,-251.777,150.363,40.9768,-124.985,-84.9411,-160.084,-55.2975,-20.1734,245.324,75.3217,-122.573,82.0474,-137.468,204.717,-63.1933,-159.854,33.602,159.706,-273.537,58.717,-234.894,-10.3912,-72.3006,-340.512,-117.166,-147.883,147.564,-228.442,-244.909,61.6586,-127.262,-253.986,-21.8732,-102.451,-139.981,77.9081,-85.6887,-178.481,-60.9653,67.1064,41.5988,-322.374,-38.054,188.776,-75.0692,-258.065,50.2639,115.9,32.1193,-247.741,-12.0339,-104.484,25.9303,-55.6167,-196.039,-303.975,6.418,-1.2131,245.262,141.003,-114.041,3.27634,155.974,6.3982,-144.889,121.675,16.094,192.704,-328.883,62.3719,165.824,280.343,5.8591,140.866,-274.7,67.8182,-79.9721,-63.2974
-1.47397,185.327,-51.524,-108.314,139.434,-199.964,-229.322,-59.5752,-244.963,108.921,-87.6743,86.3833,-92.232,36.9683,3.04987,-31.2575,28.9421,-55.0609,19.3792,-280.39,192.569,-159.459,-35.6783,39.6366,-57.5718,41.3111,-30.6896,-274.692,-123.832,75.3404,-157.917,163.25,-143.635,80.953,86.332,-180.736,-223.645,-16.8632,40.158,-127.18,-83.1681,163.546,-386.36,-41.0635,-280.866,-69.858,180.352,-83.4999,-122.218,-65.3601,-186.879,-187.72,-92.8855,-259.648,154.161,44.897,-92.3224,-83.9376,-165.217,-65.5129,-23.9126,215.148,109.374,-141.499,97.7944,-143.832,202.087,-80.708,-195.047,37.0813,139.06,-259.799,63.6527,-253.844,-7.49336,-28.6705,-345.232,-128.599,-174.112,141.185,-244.257,-209.283,45.3516,-99.5175,-267.441,7.38983,-83.6498,-166.014,90.2279,-56.6335,-173.262,-16.2667,95.1186,39.2326,-342.101,-13.9883,152.688,-84.8033,-238.605,54.5404,102.937,10.1566,-256.364,7.80653,-86.1329,-12.8034,-75.8126,-197.258,-317.344,-15.2666,-10.6857,296.97,134.007,-93.6099,8.9131,156.138,27.3509,-150.124,160.545,8.41023,178.512,-307.278,90.8902,136.215,277.377,22.9088,136.735,-263.375,76.2865,-71.8102,-33.0125
-1.4699,174.019,-40.2692,-93.2407,145.036,-205.139,-249.228,-38.4295,-245.952,101.523,-100.379,65.5677,-91.9594,64.1399,13.3812,-38.2951,46.2807,-61.0737,30.7253,-287.281,190.697,-166.579,9.69383,48.7345,-30.7002,32.7179,-10.519,-259.08,-145.193,82.8818,-180.656,150.699,-146.863,72.8176,73.5771,-188.148,-231.014,-50.5559,55.7112,-118.66,-59.2923,211.787,-375.036,-50.8764,-280.552,-81.3623,216.003,-37.1873,-131.761,-67.3601,-157.702,-196.442,-89.3271,-262.175,146.815,47.8855,-65.7559,-72.0337,-173.19,-77.4432,-32.7456,194.113,131.177,-146.324,108.035,-147.028,195.84,-93.893,-231.983,48.6049,116.227,-249.293,61.7422,-269.71,-5.78931,5.63655,-341.807,-140.563,-194.663,130.149,-257.322,-165.1,31.713,-71.5068,-272.684,43.4848,-62.5674,-195.723,100.008,-28.0784,-159.501,36.5578,123.707,31.2741,-350.633,13.0601,109.711,-89.7509,-217.349,59.1253,87.8496,-11.048,-257.997,21.2194,-64.9185,-41.2069,-93.4416,-201.271,-326.262,-41.615,-17.6004,334.55,121.081,-63.9581,14.8877,145.803,47.4885,-152.73,199.571,-2.3251,154.277,-283.692,112.766,105.988,268.191,29.6986,134.907,-263.071,80.1122,-53.8116,-11.5318
-1.46582,159.364,-28.7886,-71.2671,153.504,-207.934,-259.1,-18.5964,-245.24,83.7333,-115.689,45.6825,-86.3821,91.5093,11.6495,-44.5995,59.6178,-60.6538,37.9462,-289.971,185.394,-170.263,39.3274,53.8969,-2.29153,22.4102,6.5856,-242.782,-168.299,80.6074,-196.253,138.089,-154.568,61.5355,57.3089,-185.832,-230.473,-78.0921,73.2412,-106.641,-49.2574,260.939,-360.619,-70.5261,-281.887,-96.6121,244.692,6.40495,-137.758,-76.6001,-132.317,-203.824,-85.4514,-260.291,128.544,48.5283,-45.2331,-50.6392,-182.434,-88.6706,-42.5864,184.654,137.608,-138.916,111.597,-149.57,184.643,-101.978,-268.911,67.5582,90.7268,-242.104,57.0008,-280.733,-5.79383,30.5293,-328.575,-152.212,-208.708,114.099,-264.661,-114.691,21.8314,-45.3454,-269.248,82.0135,-39.4192,-228.314,108.249,-1.283,-137.399,94.2189,149.206,20.6338,-347.848,38.539,63.4959,-88.1886,-196.015,62.3088,72.7068,-32.8847,-255.309,31.4936,-45.4962,-61.5853,-108.644,-208.481,-328.239,-67.6984,-24.1361,357.653,106.09,-30.7336,22.4599,126.961,62.2483,-150.984,235.621,-16.8531,124.282,-262.536,126.447,76.4818,252.599,28.4248,136.051,-271.099,80.1048,-26.482,1.47005
-1.46175,138.514,-18.0801,-40.2258,165.314,-209.147,-258.774,-0.991905,-244.351,59.284,-130.798,28.3357,-73.1103,118.653,-4.72919,-50.1873,65.4077,-55.011,39.9762,-287.7,174.385,-169.71,50.4742,53.8026,23.379,8.22389,15.8441,-229.694,-190.121,73.266,-206.119,126.485,-166.888,50.519,39.4988,-173.721,-222.265,-100.105,86.9403,-90.5969,-53.7628,304.958,-345.304,-95.2423,-284.173,-113.517,263.822,42.8284,-143.298,-91.0995,-110.801,-207.279,-82.1723,-254.242,101.542,45.683,-29.5969,-23.8537,-189.135,-96.3237,-50.3462,186.787,129.063,-121.231,106.996,-155.053,168.01,-104.385,-303.071,92.4303,63.0279,-237.948,53.119,-285.88,-9.39882,47.7448,-304.443,-162.727,-216.886,93.4418,-263.745,-62.6578,16.973,-23.2331,-259.041,118.143,-15.5957,-261.59,114.774,22.8694,-108.527,154.053,169.879,11.0823,-335.034,56.5345,17.2173,-78.2607,-176.694,63.5204,59.9749,-55.6954,-251.109,42.4168,-30.5051,-78.3972,-121.254,-217.6,-322.7,-88.0734,-31.9099,369.265,93.3128,1.34465,32.4798,104.064,68.8167,-143.802,265.426,-35.1442,93.1872,-248.338,130.022,48.4122,230.519,22.6153,139.381,-282.904,75.9125,7.77363,7.94697
-1.45768,108.503,-9.52383,-0.92961,179.574,-209.666,-251.735,13.5113,-245.009,33.6593,-142.694,14.5427,-51.8029,145.877,-34.7057,-55.0562,63.3614,-44.9555,38.0955,-279.994,157.02,-164.476,44.1547,48.1294,42.9834,-9.60448,13.9337,-223.371,-206.275,65.4857,-212.434,116.964,-182.998,42.9728,22.3244,-152.511,-207.876,-119.223,92.0312,-72.4472,-70.7676,337.098,-331.791,-119.325,-285.338,-129.289,272.895,68.4619,-151.435,-107.869,-92.3555,-205.01,-79.8229,-243.421,69.5646,39.6192,-17.2917,3.48092,-189.209,-98.4801,-54.7402,198.271,109.9,-95.0291,94.0537,-165.209,145.377,-100.576,-332.046,120.316,34.201,-236.085,51.8379,-284.941,-19.4109,59.6215,-269.333,-171.343,-221.381,68.923,-254.26,-14.8077,17.4111,-6.54939,-245.39,147.636,6.83072,-292.969,118.671,43.6817,-75.7217,213.469,185.791,6.08929,-314.049,62.5501,-26.9655,-58.5679,-160.839,63.8998,51.2026,-78.1688,-246.836,55.8369,-20.4758,-95.8157,-130.745,-226.54,-310.655,-97.951,-40.7954,373.307,85.2484,29.6541,44.6649,82.571,67.5142,-132.217,286.555,-55.6669,65.0514,-244.33,122.135,21.4207,202.482,15.5575,143.907,-294.055,66.5748,45.0487,10.6842
-1.45361,68.7682,-5.35277,43.2125,193.906,-210.469,-243.381,24.9299,-248.017,11.994,-148.878,4.65142,-23.6842,173.698,-74.4128,-59.3252,56.4246,-30.4914,35.8797,-266.745,133.853,-155.363,24.2525,37.1611,54.5889,-27.8649,0.605626,-224.563,-212.596,60.3338,-217.025,110.016,-200.485,41.054,7.91419,-123.874,-189.876,-137.82,87.094,-56.0421,-96.9473,352.845,-322.491,-138.643,-282.913,-141.729,273.348,81.8368,-163.56,-123.952,-76.2877,-197.384,-78.2193,-227.603,36.9794,32.0526,-7.6508,27.5289,-180.319,-94.6982,-55.883,215.803,86.7012,-62.0302,74.887,-177.964,115.721,-90.4811,-354.251,147.344,5.55563,-235.554,52.7276,-278.444,-37.8172,67.8124,-224.295,-176.791,-225.476,41.7452,-238.866,23.5156,21.0404,4.933,-231.4,167.725,26.2003,-320.405,118.854,60.5248,-42.9783,268.736,197.927,7.352,-286.433,55.9331,-67.8724,-29.1927,-148.379,65.532,46.0363,-97.24,-242.004,70.699,-14.7184,-115.634,-136.597,-233.633,-293.569,-94.2254,-49.3281,372.302,81.0179,53.1058,57.8935,67.1268,61.4283,-120.117,298.269,-75.6154,42.3949,-251.039,103.47,-5.24672,170.065,9.4521,149.477,-301.784,51.4824,80.8066,12.0281
-1.44953,22.6484,-8.44411,87.7218,205.149,-212.396,-238.395,34.1473,-252.388,-2.50521,-148.315,-1.8137,9.01415,201.894,-119.283,-63.4823,48.8807,-11.1516,37.8538,-248.23,105.651,-144.624,-4.31665,21.6661,57.4689,-41.9936,-21.3438,-230.737,-206.951,58.5871,-220.498,105.746,-215.479,45.0092,-2.46732,-90.1985,-171.225,-155.927,74.4881,-45.3724,-129.079,351.871,-318.135,-151.293,-275.428,-149.868,268.116,84.2564,-178.701,-136.84,-62.1598,-186.771,-77.1012,-207.854,7.90833,25.2603,-1.46222,46.2371,-163.086,-85.4559,-54.2186,236.337,65.2886,-23.7479,53.2629,-187.968,78.7263,-75.2861,-368.726,169.967,-21.7231,-235.611,53.9202,-267.654,-64.3349,72.5693,-171.463,-176.844,-232.652,13.6787,-222.14,48.6884,23.67,13.1115,-218.574,177.396,42.029,-342.982,114.6,72.489,-15.2905,314.489,206.876,14.0665,-253.207,40.3107,-104.997,7.62448,-138.014,70.2224,42.5795,-108.569,-234.959,84.2453,-11.8652,-136.476,-138.772,-238.373,-272.652,-76.2061,-56.2885,366.573,76.9754,71.0248,71.1791,60.4385,54.7127,-113.258,301.639,-91.7593,25.6673,-265.948,77.0911,-31.8259,135.995,5.30774,156.598,-304.993,31.1242,111.493,12.5303
