2H chemical shift (ppm),FA_20231123_2H_yeast_1.12.ser#1,FA_20231123_2H_yeast_1.12.ser#2,FA_20231123_2H_yeast_1.12.ser#3,FA_20231123_2H_yeast_1.12.ser#4,FA_20231123_2H_yeast_1.12.ser#5,FA_20231123_2H_yeast_1.12.ser#6,FA_20231123_2H_yeast_1.12.ser#7,FA_20231123_2H_yeast_1.12.ser#8,FA_20231123_2H_yeast_1.12.ser#9,FA_20231123_2H_yeast_1.12.ser#10,FA_20231123_2H_yeast_1.12.ser#11,FA_20231123_2H_yeast_1.12.ser#12,FA_20231123_2H_yeast_1.12.ser#13,FA_20231123_2H_yeast_1.12.ser#14,FA_20231123_2H_yeast_1.12.ser#15,FA_20231123_2H_yeast_1.12.ser#16,FA_20231123_2H_yeast_1.12.ser#17,FA_20231123_2H_yeast_1.12.ser#18,FA_20231123_2H_yeast_1.12.ser#19,FA_20231123_2H_yeast_1.12.ser#20,FA_20231123_2H_yeast_1.12.ser#21,FA_20231123_2H_yeast_1.12.ser#22,FA_20231123_2H_yeast_1.12.ser#23,FA_20231123_2H_yeast_1.12.ser#24,FA_20231123_2H_yeast_1.12.ser#25,FA_20231123_2H_yeast_1.12.ser#26,FA_20231123_2H_yeast_1.12.ser#27,FA_20231123_2H_yeast_1.12.ser#28,FA_20231123_2H_yeast_1.12.ser#29,FA_20231123_2H_yeast_1.12.ser#30,FA_20231123_2H_yeast_1.12.ser#31,FA_20231123_2H_yeast_1.12.ser#32,FA_20231123_2H_yeast_1.12.ser#33,FA_20231123_2H_yeast_1.12.ser#34,FA_20231123_2H_yeast_1.12.ser#35,FA_20231123_2H_yeast_1.12.ser#36,FA_20231123_2H_yeast_1.12.ser#37,FA_20231123_2H_yeast_1.12.ser#38,FA_20231123_2H_yeast_1.12.ser#39,FA_20231123_2H_yeast_1.12.ser#40,FA_20231123_2H_yeast_1.12.ser#41,FA_20231123_2H_yeast_1.12.ser#42,FA_20231123_2H_yeast_1.12.ser#43,FA_20231123_2H_yeast_1.12.ser#44,FA_20231123_2H_yeast_1.12.ser#45,FA_20231123_2H_yeast_1.12.ser#46,FA_20231123_2H_yeast_1.12.ser#47,FA_20231123_2H_yeast_1.12.ser#48,FA_20231123_2H_yeast_1.12.ser#49,FA_20231123_2H_yeast_1.12.ser#50,FA_20231123_2H_yeast_1.12.ser#51,FA_20231123_2H_yeast_1.12.ser#52,FA_20231123_2H_yeast_1.12.ser#53,FA_20231123_2H_yeast_1.12.ser#54,FA_20231123_2H_yeast_1.12.ser#55,FA_20231123_2H_yeast_1.12.ser#56,FA_20231123_2H_yeast_1.12.ser#57,FA_20231123_2H_yeast_1.12.ser#58,FA_20231123_2H_yeast_1.12.ser#59,FA_20231123_2H_yeast_1.12.ser#60,FA_20231123_2H_yeast_1.12.ser#61,FA_20231123_2H_yeast_1.12.ser#62,FA_20231123_2H_yeast_1.12.ser#63,FA_20231123_2H_yeast_1.12.ser#64,FA_20231123_2H_yeast_1.12.ser#65,FA_20231123_2H_yeast_1.12.ser#66,FA_20231123_2H_yeast_1.12.ser#67,FA_20231123_2H_yeast_1.12.ser#68,FA_20231123_2H_yeast_1.12.ser#69,FA_20231123_2H_yeast_1.12.ser#70,FA_20231123_2H_yeast_1.12.ser#71,FA_20231123_2H_yeast_1.12.ser#72,FA_20231123_2H_yeast_1.12.ser#73,FA_20231123_2H_yeast_1.12.ser#74,FA_20231123_2H_yeast_1.12.ser#75,FA_20231123_2H_yeast_1.12.ser#76,FA_20231123_2H_yeast_1.12.ser#77,FA_20231123_2H_yeast_1.12.ser#78,FA_20231123_2H_yeast_1.12.ser#79,FA_20231123_2H_yeast_1.12.ser#80,FA_20231123_2H_yeast_1.12.ser#81,FA_20231123_2H_yeast_1.12.ser#82,FA_20231123_2H_yeast_1.12.ser#83,FA_20231123_2H_yeast_1.12.ser#84,FA_20231123_2H_yeast_1.12.ser#85,FA_20231123_2H_yeast_1.12.ser#86,FA_20231123_2H_yeast_1.12.ser#87,FA_20231123_2H_yeast_1.12.ser#88,FA_20231123_2H_yeast_1.12.ser#89,FA_20231123_2H_yeast_1.12.ser#90,FA_20231123_2H_yeast_1.12.ser#91,FA_20231123_2H_yeast_1.12.ser#92,FA_20231123_2H_yeast_1.12.ser#93,FA_20231123_2H_yeast_1.12.ser#94,FA_20231123_2H_yeast_1.12.ser#95,FA_20231123_2H_yeast_1.12.ser#96,FA_20231123_2H_yeast_1.12.ser#97,FA_20231123_2H_yeast_1.12.ser#98,FA_20231123_2H_yeast_1.12.ser#99,FA_20231123_2H_yeast_1.12.ser#100,FA_20231123_2H_yeast_1.12.ser#101,FA_20231123_2H_yeast_1.12.ser#102,FA_20231123_2H_yeast_1.12.ser#103,FA_20231123_2H_yeast_1.12.ser#104,FA_20231123_2H_yeast_1.12.ser#105,FA_20231123_2H_yeast_1.12.ser#106,FA_20231123_2H_yeast_1.12.ser#107,FA_20231123_2H_yeast_1.12.ser#108,FA_20231123_2H_yeast_1.12.ser#109,FA_20231123_2H_yeast_1.12.ser#110,FA_20231123_2H_yeast_1.12.ser#111,FA_20231123_2H_yeast_1.12.ser#112,FA_20231123_2H_yeast_1.12.ser#113,FA_20231123_2H_yeast_1.12.ser#114,FA_20231123_2H_yeast_1.12.ser#115,FA_20231123_2H_yeast_1.12.ser#116,FA_20231123_2H_yeast_1.12.ser#117,FA_20231123_2H_yeast_1.12.ser#118,FA_20231123_2H_yeast_1.12.ser#119,FA_20231123_2H_yeast_1.12.ser#120,FA_20231123_2H_yeast_1.12.ser#121,FA_20231123_2H_yeast_1.12.ser#122,FA_20231123_2H_yeast_1.12.ser#123,FA_20231123_2H_yeast_1.12.ser#124,FA_20231123_2H_yeast_1.12.ser#125,FA_20231123_2H_yeast_1.12.ser#126,FA_20231123_2H_yeast_1.12.ser#127,FA_20231123_2H_yeast_1.12.ser#128,FA_20231123_2H_yeast_1.12.ser#129,FA_20231123_2H_yeast_1.12.ser#130
0.175438,235.589,-142.421,186.824,-240.664,101.407,-8.01266,159.296,-187.514,165.162,-53.7368,96.4842,146.39,-345.417,357.797,28.852,-16.6843,-71.2449,-174.567,-327.937,-265.35,49.9117,-17.4938,-156.294,-58.9177,124.492,-87.2374,-1.9577,117.801,88.1795,-59.6858,-242.128,62.8941,-58.268,-114.232,-18.4925,192.784,49.7516,-160.572,-39.3197,-82.0144,-82.0831,-62.6603,22.8035,150.392,7.86893,57.294,154.838,247.763,88.7068,39.0031,-189.625,-139.259,-103.366,235.801,-39.5891,264.164,-220.551,-232.491,79.7211,-107.389,-16.8764,-116.832,-91.6653,-91.4581,-47.6978,-131.311,-39.2902,-14.9659,336.649,-281.21,191.958,271.534,-163.775,-144.275,-13.4287,-1.44119,-78.2158,69.0534,-39.5664,-2.93534,-172.66,41.5932,-41.2891,-122.019,212.997,-328.371,-235.641,-184.296,73.4124,88.8137,1.80666,-295.088,-153.462,-88.8036,-119.938,-176.381,-89.7727,47.177,9.67083,-28.2568,-197.292,-203.168,-132.49,-279.395,-71.2916,-248.717,-52.7359,228,57.4905,-2.90564,-83.2351,-261.137,320.261,-144.223,29.4404,22.5176,-197.756,-97.7886,-306.562,124.659,53.0116,-46.6442,103.924,-117.352,-45.1414,-437.214,141.588,-72.3242,-219.829,-59.4559
0.179511,266.25,-146.333,184.41,-265.38,92.9464,-8.89097,154.005,-184.499,180.289,-63.1624,132.897,137.162,-349.227,368.407,32.6239,13.9658,-80.9424,-191.317,-315.808,-279.191,35.3119,-23.1945,-166.265,-64.0897,120.489,-88.4023,4.25921,91.708,81.549,-54.5119,-230.293,67.6378,-46.5829,-100.732,-29.4897,140.937,7.84061,-163.78,-27.8539,-88.6623,-67.6215,-77.4267,18.9566,122.417,17.4029,66.1733,170.223,242.587,73.7324,54.2128,-200.601,-158.718,-114.866,248.846,-21.9651,263.16,-208.285,-219.004,86.3791,-124.268,12.424,-117.878,-126.572,-102.88,-49.5583,-118.072,-51.0375,0.796163,353.801,-270.036,213.831,263.236,-157.128,-150.03,-2.37202,-31.0302,-84.4313,60.5895,-44.5608,-21.5951,-168.415,-5.74817,-39.8561,-92.673,231.438,-312.79,-218.473,-207.508,65.1758,104.249,-36.4984,-304.435,-131.543,-77.3899,-126.927,-191.292,-71.4394,52.7697,28.707,-35.9423,-176.187,-198.086,-133.014,-263.239,-47.3945,-235.531,-30.0675,207.984,47.9951,1.25445,-66.4252,-257.269,321.127,-125.768,13.0165,29.1859,-187.633,-79.6504,-291.254,108.138,58.6428,-31.0491,94.7768,-127.025,-55.0382,-452.019,117.374,-65.3244,-225.692,-49.6652
0.183583,287.465,-151.628,177.984,-292.162,76.7626,-5.28661,149.525,-178.643,189.246,-70.3481,167.751,118.919,-345.653,372.53,38.2844,48.4071,-95.5222,-199.519,-306.569,-292.675,20.8197,-33.4549,-175.783,-78.6176,109.031,-89.3946,8.38324,65.5513,69.6937,-50.569,-220.081,81.6157,-32.1236,-85.5621,-35.6942,86.2385,-26.0747,-171.219,-23.9119,-86.0988,-55.2559,-92.7846,14.8083,93.6853,25.5864,76.9788,179.723,234.463,59.066,66.8448,-208.906,-169.491,-115.94,254.61,-6.741,259.382,-190.282,-204.212,88.4199,-141.807,48.0693,-114.852,-160.531,-112.626,-46.5942,-106.785,-55.6916,16.3999,362.773,-247.951,235.704,241.562,-143.959,-152.134,8.73335,-59.1739,-83.8884,52.2123,-47.5,-41.0187,-170.199,-47.2642,-35.3298,-54.2925,243.308,-289.823,-196.814,-227.985,61.7783,112.529,-74.8366,-319.312,-113.919,-53.4664,-124.225,-206.574,-59.6802,58.8402,37.9241,-40.9961,-155.931,-181.991,-132.122,-252.541,-22.2308,-222.871,-8.47564,193.596,38.5918,12.2546,-49.8432,-246.238,316.915,-116.179,-4.22163,38.3283,-176.195,-59.5338,-273.589,81.9948,63.5828,-21.1424,87.7683,-140.062,-57.035,-461.355,89.7262,-57.2291,-224.285,-47.0608
0.187656,298.346,-156.104,170.049,-318.859,55.1317,3.30199,146.694,-172.008,192.89,-75.2509,199.106,92.5966,-334.842,370.532,46.3452,81.7902,-116.3,-201.242,-303.243,-307.609,8.56588,-46.0194,-183.471,-100.435,89.1463,-89.2812,9.62788,40.0978,54.2889,-48.7553,-210.07,104.809,-15.31,-67.9225,-38.7092,35.8617,-49.4868,-181.567,-23.853,-73.6481,-47.3424,-106.147,11.1675,66.7922,33.5379,87.7449,181.893,224.09,42.6385,72.3572,-219.467,-172.271,-105.811,254.053,4.07543,250.904,-167.89,-191.685,88.1819,-161.422,87.8558,-107.452,-188.43,-119.535,-38.229,-99.5061,-52.2713,28.1968,364.037,-217.928,256.519,207.758,-126.198,-150.344,18.0197,-81.8013,-76.4777,43.2957,-50.7707,-61.7805,-177.568,-79.7031,-28.6568,-12.5275,250.225,-260.157,-174.29,-245.127,65.6882,112.853,-112.428,-336.263,-101.697,-20.3513,-110.128,-220.935,-54.2637,67.2887,37.3033,-45.663,-137.048,-154.942,-125.663,-245.893,-0.817979,-212.758,12.365,187.002,28.2725,31.4695,-35.8462,-227.685,307.073,-116.043,-23.6296,48.7582,-165.083,-38.644,-254.034,48.5368,66.1474,-17.2747,82.0078,-155.382,-52.0373,-463.018,58.5268,-47.1451,-215.432,-50.7415
0.191728,299.468,-158.213,161.835,-344.944,32.2881,16.2824,144.705,-167.424,191.941,-77.6825,225.959,60.6824,-318.818,363.948,57.3584,109.15,-142.787,-199.595,-307.567,-324.822,0.269213,-58.4085,-187.798,-125.868,62.007,-88.1281,6.81752,16.6171,37.7729,-49.1288,-198.488,134.921,1.99105,-47.2256,-41.2882,-5.15675,-63.9909,-192.387,-24.3884,-51.764,-44.1772,-114.459,8.51544,42.9453,41.8925,96.5679,178.268,210.805,22.3197,68.4984,-234.801,-168.313,-85.2373,247.348,8.11261,236.451,-143.621,-182.919,87.8078,-184.68,128.138,-96.4609,-205.318,-122.309,-25.2953,-96.3846,-41.5415,34.7468,357.746,-183.203,274.335,165.251,-107.232,-145.508,25.3345,-96.9227,-64.9743,33.1917,-54.8644,-84.3594,-187.071,-101.208,-20.5594,25.0237,253.762,-224.315,-153.175,-256.423,77.4137,106.359,-148.285,-350.038,-95.3244,17.7891,-86.0789,-234.648,-53.0724,79.9551,29.3407,-52.1306,-119.208,-120.528,-111.196,-240.797,12.3521,-206.203,32.0784,188.169,15.6961,58.9887,-26.8018,-202.725,290.612,-124.17,-43.7689,58.2765,-155.519,-18.3427,-233.356,11.6348,64.2933,-19.6555,76.0027,-173.026,-43.0591,-454.824,25.0871,-34.5943,-199.273,-58.6438
0.195801,292.143,-156.893,153.545,-370.614,13.7692,31.8925,141.994,-166.753,186.568,-77.7512,248.217,26.7008,-300.653,355.3,71.335,126.88,-172.822,-199.252,-318.663,-342.858,-3.01082,-69.5724,-187.806,-150.359,30.0754,-86.6353,-0.848273,-3.30819,23.0135,-51.3072,-184.556,168.867,17.1585,-24.191,-45.5257,-35.2973,-74.2602,-200.781,-24.0102,-23.3666,-43.8807,-116.133,6.99663,22.8188,50.3051,102.369,173.04,193.425,-3.48758,56.0219,-254.207,-158.235,-56.6449,235.086,3.74773,215.331,-120.179,-177.504,88.7173,-211.813,165.175,-82.9589,-207.285,-120.479,-10.4425,-96.9094,-26.0791,37.1127,344.202,-147.229,286.51,118.699,-90.6813,-139.385,31.7573,-105.715,-54.5413,21.5999,-58.6022,-108.78,-194.611,-112.085,-11.9158,51.3007,255.121,-183.685,-134.512,-258.864,96.4226,95.188,-181.112,-355.545,-95.0814,56.2288,-56.025,-247.653,-53.3154,98.3509,17.7436,-61.661,-101.089,-84.5293,-89.7291,-234.95,15.4801,-202.787,49.957,195.845,0.263255,92.8576,-23.8046,-174.631,267.278,-138.747,-60.3647,65.24,-148.978,-0.168585,-213.051,-25.6345,56.5025,-28.2614,68.1341,-192.594,-33.9561,-435.556,-8.44889,-19.2851,-176.18,-68.6299
0.199874,278.19,-151.548,145.327,-395.438,4.58763,47.822,137.51,-170.108,176.361,-76.0013,266.005,-6.01473,-282.827,347.202,87.4646,133.963,-203.5,-205.492,-332.547,-358.133,-1.1632,-80.1691,-183.442,-169.573,-3.97862,-85.1826,-13.1295,-18.3338,12.949,-54.8006,-168.87,203.426,27.8482,-0.928926,-51.0505,-56.4327,-85.1288,-204.529,-23.0999,6.29188,-43.4518,-111.923,6.30453,7.30864,57.668,104.971,171.013,172.018,-34.8363,38.0903,-274.663,-141.8,-23.8368,218.706,-8.4038,187.173,-99.5775,-173.71,91.5861,-241.439,196.185,-67.6258,-192.865,-115.048,2.12437,-101.119,-10.0248,38.222,324.624,-114.18,290.463,72.7983,-78.6048,-133.658,38.5272,-111.617,-50.4433,8.49699,-60.2804,-133.917,-197.93,-114.861,-3.68977,62.4741,255.345,-141.182,-118.993,-251.327,121.764,81.469,-209.342,-349.346,-100.811,89.9601,-25.2221,-258.584,-52.9164,123.341,5.4438,-74.5019,-80.8996,-52.5166,-64.8953,-226.703,9.88061,-201.02,65.5942,208.306,-17.1629,128.601,-25.9439,-148.433,238.557,-157.881,-68.0586,69.8061,-147.186,14.6768,-195.015,-61.9601,42.5428,-42.3744,57.1722,-211.221,-28.8698,-406.058,-39.8518,-0.923016,-147.589,-78.8791
0.203946,259.835,-142.335,137.872,-417.58,7.33826,61.9933,131.224,-176.241,160.764,-72.9347,279.112,-35.4932,-266.199,341.274,104.647,132,-232.18,-221.774,-343.434,-366.403,5.26976,-91.6283,-175.163,-180.392,-37.5071,-83.4283,-28.9011,-27.6899,9.94657,-59.1493,-152.564,234.966,32.6605,19.9371,-54.5446,-72.1247,-98.8286,-202.85,-22.975,31.461,-40.5522,-104.328,5.73135,-2.68815,62.6697,104.429,175.166,149.219,-69.8132,18.5966,-292.472,-118.731,8.73785,199.977,-25.1201,152.167,-82.6149,-169.12,96.1062,-270.811,219.396,-50.8944,-164.374,-108.46,7.72167,-109.909,1.67134,41.6153,301.146,-88.4594,285.083,31.2869,-70.6651,-128.814,45.8686,-117.793,-55.4477,-5.9721,-58.7489,-157.266,-197.486,-113.363,3.6284,59.1169,255.647,-100.628,-107.348,-235.571,152.264,67.0288,-231.222,-330.415,-111.208,114.612,1.09524,-265.665,-51.4522,154.694,-6.55612,-90.5455,-57.4142,-27.8321,-40.3051,-215.176,-1.4467,-199.24,79.3951,223.614,-34.794,160.338,-30.9891,-129.138,207.812,-179.536,-63.0555,73.409,-150.595,25.8442,-180.672,-96.2532,23.7898,-59.9665,42.9402,-223.517,-31.8618,-369.816,-67.2949,20.3091,-116.287,-87.8094
0.208019,239.344,-130.32,132.247,-434.191,21.5349,73.0775,123.532,-183.321,139.653,-68.5062,287.294,-61.5679,-250.342,337.954,121.931,123.626,-256.721,-247.665,-346.236,-364.297,15.5702,-105.032,-163.324,-181.276,-67.6722,-80.8492,-47.065,-31.192,14.9356,-63.8577,-135.999,259.46,31.3971,36.1848,-51.0941,-85.2028,-114.224,-196.04,-24.7912,48.2462,-34.6307,-95.9939,4.55049,-7.0172,64.1699,100.353,185.452,129.638,-105.47,0.110044,-304.736,-89.5184,37.1925,180.512,-41.6429,111.282,-68.7821,-161.504,100.851,-296.148,233.764,-33.4789,-128.111,-103.657,2.76751,-124.056,4.71326,49.8861,275.857,-72.8672,271.552,-3.73288,-65.0315,-123.898,52.1875,-124.912,-68.8234,-21.3348,-53.8015,-175.657,-195.479,-111.195,10.4571,45.059,257.2,-65.4129,-99.7794,-215.238,186.655,53.6843,-245.287,-300.458,-123.869,128.083,18.9498,-267.926,-50.0114,190.78,-18.6975,-110.072,-31.1278,-10.8154,-17.3164,-200.828,-15.3123,-196.414,92.4413,240.046,-51.5797,183.184,-37.1876,-119.421,179.082,-201.678,-45.3622,76.8046,-156.707,33.5038,-170.72,-125.501,2.78884,-77.6315,26.8329,-224.231,-45.6107,-332.286,-89.6943,42.9762,-85.3619,-93.8228
0.212091,218.78,-117.002,129.663,-442.742,44.1417,80.8815,114.773,-189.536,113.858,-62.0927,290.919,-85.301,-234.434,337.578,138.103,110.391,-275.047,-278.88,-338.386,-350.192,28.7758,-120.544,-148.158,-172.238,-91.7414,-77.1748,-67.2264,-29.1195,26.9298,-68.4256,-118.308,273.725,24.9181,46.4817,-36.9424,-96.5091,-128.348,-184.422,-28.8017,56.0362,-26.6072,-88.2487,2.28501,-6.69364,61.6023,91.7317,199.34,117.527,-139.138,-17.3492,-310.322,-55.4364,59.1529,161.479,-53.5025,66.249,-56.4651,-149.766,103.915,-313.409,238.907,-16.3203,-92.7813,-102.307,-14.0896,-142.876,-2.92483,63.5923,249.865,-66.7442,252.461,-31.825,-60.1287,-117.59,54.2277,-130.913,-87.581,-36.7534,-46.0238,-186.347,-194.138,-110.401,18.1558,24.8491,260.494,-37.4842,-95.4003,-194.139,223.52,43.3343,-251.064,-263.575,-136.442,131.531,26.3616,-265.153,-50.1042,228.817,-31.4029,-133.892,-4.59473,0.715464,4.98445,-185.86,-28.626,-192.35,105.698,256.776,-68.3142,195.136,-44.5004,-118.097,155.059,-222.578,-19.4428,78.7017,-160.583,37.5007,-165.548,-145.02,-18.0055,-91.69,11.3487,-211.557,-69.708,-298.667,-106.867,64.2202,-56.6887,-95.3199
