,FA_20231206_2H_yeast_1.3.ser#1,FA_20231206_2H_yeast_1.3.ser#2,FA_20231206_2H_yeast_1.3.ser#3,FA_20231206_2H_yeast_1.3.ser#4,FA_20231206_2H_yeast_1.3.ser#5,FA_20231206_2H_yeast_1.3.ser#6,FA_20231206_2H_yeast_1.3.ser#7,FA_20231206_2H_yeast_1.3.ser#8,FA_20231206_2H_yeast_1.3.ser#9,FA_20231206_2H_yeast_1.3.ser#10,FA_20231206_2H_yeast_1.3.ser#11,FA_20231206_2H_yeast_1.3.ser#12,FA_20231206_2H_yeast_1.3.ser#13,FA_20231206_2H_yeast_1.3.ser#14,FA_20231206_2H_yeast_1.3.ser#15,FA_20231206_2H_yeast_1.3.ser#16,FA_20231206_2H_yeast_1.3.ser#17,FA_20231206_2H_yeast_1.3.ser#18,FA_20231206_2H_yeast_1.3.ser#19,FA_20231206_2H_yeast_1.3.ser#20,FA_20231206_2H_yeast_1.3.ser#21,FA_20231206_2H_yeast_1.3.ser#22,FA_20231206_2H_yeast_1.3.ser#23,FA_20231206_2H_yeast_1.3.ser#24,FA_20231206_2H_yeast_1.3.ser#25,FA_20231206_2H_yeast_1.3.ser#26,FA_20231206_2H_yeast_1.3.ser#27,FA_20231206_2H_yeast_1.3.ser#28,FA_20231206_2H_yeast_1.3.ser#29,FA_20231206_2H_yeast_1.3.ser#30,FA_20231206_2H_yeast_1.3.ser#31,FA_20231206_2H_yeast_1.3.ser#32,FA_20231206_2H_yeast_1.3.ser#33,FA_20231206_2H_yeast_1.3.ser#34,FA_20231206_2H_yeast_1.3.ser#35,FA_20231206_2H_yeast_1.3.ser#36,FA_20231206_2H_yeast_1.3.ser#37,FA_20231206_2H_yeast_1.3.ser#38,FA_20231206_2H_yeast_1.3.ser#39,FA_20231206_2H_yeast_1.3.ser#40,FA_20231206_2H_yeast_1.3.ser#41,FA_20231206_2H_yeast_1.3.ser#42,FA_20231206_2H_yeast_1.3.ser#43,FA_20231206_2H_yeast_1.3.ser#44,FA_20231206_2H_yeast_1.3.ser#45,FA_20231206_2H_yeast_1.3.ser#46,FA_20231206_2H_yeast_1.3.ser#47,FA_20231206_2H_yeast_1.3.ser#48,FA_20231206_2H_yeast_1.3.ser#49,FA_20231206_2H_yeast_1.3.ser#50,FA_20231206_2H_yeast_1.3.ser#51,FA_20231206_2H_yeast_1.3.ser#52,FA_20231206_2H_yeast_1.3.ser#53,FA_20231206_2H_yeast_1.3.ser#54,FA_20231206_2H_yeast_1.3.ser#55,FA_20231206_2H_yeast_1.3.ser#56,FA_20231206_2H_yeast_1.3.ser#57,FA_20231206_2H_yeast_1.3.ser#58,FA_20231206_2H_yeast_1.3.ser#59,FA_20231206_2H_yeast_1.3.ser#60,FA_20231206_2H_yeast_1.3.ser#61,FA_20231206_2H_yeast_1.3.ser#62,FA_20231206_2H_yeast_1.3.ser#63,FA_20231206_2H_yeast_1.3.ser#64,FA_20231206_2H_yeast_1.3.ser#65,FA_20231206_2H_yeast_1.3.ser#66,FA_20231206_2H_yeast_1.3.ser#67,FA_20231206_2H_yeast_1.3.ser#68,FA_20231206_2H_yeast_1.3.ser#69,FA_20231206_2H_yeast_1.3.ser#70,FA_20231206_2H_yeast_1.3.ser#71,FA_20231206_2H_yeast_1.3.ser#72,FA_20231206_2H_yeast_1.3.ser#73,FA_20231206_2H_yeast_1.3.ser#74,FA_20231206_2H_yeast_1.3.ser#75,FA_20231206_2H_yeast_1.3.ser#76,FA_20231206_2H_yeast_1.3.ser#77,FA_20231206_2H_yeast_1.3.ser#78,FA_20231206_2H_yeast_1.3.ser#79,FA_20231206_2H_yeast_1.3.ser#80,FA_20231206_2H_yeast_1.3.ser#81,FA_20231206_2H_yeast_1.3.ser#82,FA_20231206_2H_yeast_1.3.ser#83,FA_20231206_2H_yeast_1.3.ser#84,FA_20231206_2H_yeast_1.3.ser#85,FA_20231206_2H_yeast_1.3.ser#86,FA_20231206_2H_yeast_1.3.ser#87,FA_20231206_2H_yeast_1.3.ser#88,FA_20231206_2H_yeast_1.3.ser#89,FA_20231206_2H_yeast_1.3.ser#90,FA_20231206_2H_yeast_1.3.ser#91,FA_20231206_2H_yeast_1.3.ser#92,FA_20231206_2H_yeast_1.3.ser#93,FA_20231206_2H_yeast_1.3.ser#94,FA_20231206_2H_yeast_1.3.ser#95,FA_20231206_2H_yeast_1.3.ser#96,FA_20231206_2H_yeast_1.3.ser#97,FA_20231206_2H_yeast_1.3.ser#98,FA_20231206_2H_yeast_1.3.ser#99,FA_20231206_2H_yeast_1.3.ser#100
-1.10742,-141.472,-167.205,-197.735,103.840,-423.235,11.6956,-286.860,-154.274,-24.9033,-225.859,179.681,131.421,74.3334,-105.636,101.097,63.0805,-168.399,-149.897,-151.775,-75.3349,-6.15419,-224.082,-80.2355,-8.38529,-121.776,288.342,88.0745,-221.149,-168.672,143.664,-68.3377,-69.7832,-47.2117,107.579,11.6317,147.353,-101.985,34.7411,277.042,32.9365,77.8382,-186.440,201.913,-183.888,-271.704,-221.970,-159.882,-106.726,-60.7430,-151.364,83.8472,71.0357,236.783,-238.132,-351.786,-157.936,-70.2136,40.2199,45.0122,-237.176,102.583,73.0076,-106.286,-312.202,-73.8386,10.9025,-121.024,-226.086,160.060,-46.0281,-139.941,-45.9616,162.713,-149.791,-26.1836,-55.2025,186.906,26.5112,42.2025,28.6874,67.5595,133.440,-178.424,-138.182,56.9049,-106.254,185.609,-286.046,-93.5221,-30.1221,-174.720,-237.956,-336.167,149.841,-115.006,190.399,-42.8291,-38.1721,-1.75615,91.6388
-1.10335,-167.523,-177.437,-231.160,81.2602,-417.441,14.5756,-272.810,-145.577,-38.2952,-219.652,192.680,139.466,115.742,-88.8301,84.3820,65.7974,-196.681,-163.545,-186.331,-84.6670,-1.19133,-226.055,-104.990,-10.4031,-147.965,279.000,74.0995,-213.215,-154.353,130.666,-39.2930,-80.0793,-91.5881,118.510,10.3459,117.422,-120.072,47.4357,275.573,45.3035,72.5069,-202.324,177.612,-195.017,-284.073,-201.563,-162.736,-101.598,-46.9099,-161.299,61.7600,51.8447,238.980,-253.747,-340.801,-161.557,-72.2791,11.1099,44.0404,-277.581,115.494,61.3413,-105.080,-282.822,-79.7688,8.89659,-66.8634,-211.698,166.226,-85.4473,-127.868,-44.9934,147.282,-165.753,-42.3276,-64.3689,187.374,46.9810,31.0949,39.0697,77.1883,126.020,-170.050,-118.311,82.6771,-107.123,157.695,-319.017,-122.142,-36.1567,-147.348,-229.082,-285.748,164.353,-86.8286,222.379,-39.9252,-51.2431,-0.968300,75.0439
-1.09928,-195.260,-188.170,-262.639,49.6181,-403.759,16.2102,-250.407,-133.433,-48.8913,-210.215,205.455,146.130,163.931,-73.5506,68.8561,66.4070,-220.057,-171.184,-209.328,-89.9038,1.41879,-229.613,-129.098,-8.69917,-165.866,258.694,53.6778,-204.402,-140.570,117.155,-12.9931,-96.1757,-138.537,130.621,7.68384,89.8968,-139.431,65.8994,275.898,53.8157,70.5714,-216.816,147.497,-210.556,-286.722,-183.981,-165.127,-100.115,-42.3068,-162.312,33.8246,33.2826,234.885,-267.210,-319.937,-163.522,-71.0304,-16.0583,41.2709,-320.177,129.165,51.1804,-95.2033,-245.483,-89.0100,3.41514,-12.0399,-200.580,172.755,-120.057,-111.024,-43.2676,120.512,-184.881,-54.1062,-75.8137,181.384,72.9609,23.1618,43.6401,65.6212,107.243,-161.844,-106.861,104.365,-110.377,137.187,-347.023,-145.415,-50.4898,-130.443,-215.490,-233.433,170.119,-59.1831,246.185,-35.6949,-66.1349,0.374401,66.9367
-1.09521,-219.913,-199.071,-288.799,10.7213,-380.695,19.5624,-221.596,-118.526,-55.8733,-199.556,217.014,153.026,214.601,-63.0782,55.8539,67.0892,-235.550,-172.019,-221.883,-88.6752,4.91910,-236.683,-154.384,-4.70256,-172.670,230.499,30.5472,-196.666,-131.400,104.591,5.83812,-118.386,-185.647,141.771,7.20570,62.6654,-158.929,90.1437,275.287,53.8203,71.3807,-227.495,113.589,-229.741,-279.974,-169.093,-166.204,-99.2442,-46.9483,-154.406,1.30705,18.0470,222.861,-276.535,-291.327,-163.055,-66.6912,-38.9365,36.4709,-363.197,144.422,42.7769,-77.5216,-205.554,-101.661,-4.86389,37.2870,-194.886,179.704,-147.312,-88.1690,-42.7766,85.6040,-204.331,-60.4390,-88.1936,167.328,101.677,18.9736,41.0356,38.5706,80.7511,-154.343,-101.704,117.437,-114.092,129.379,-366.494,-164.534,-70.0684,-124.594,-196.050,-186.781,165.527,-33.4725,258.955,-31.2435,-83.1954,3.86827,70.2351
-1.09113,-239.072,-208.602,-307.473,-32.2647,-349.099,27.2309,-188.250,-102.038,-58.6605,-188.798,226.557,160.779,262.342,-58.2982,45.6543,70.9381,-240.984,-165.978,-227.121,-80.3832,12.0312,-248.484,-183.253,-0.156091,-167.333,197.831,9.18921,-191.411,-128.652,92.4086,14.9307,-145.666,-228.879,149.700,10.9261,32.8115,-177.939,119.919,271.804,44.4178,72.6108,-231.666,79.5528,-250.744,-267.090,-155.530,-165.284,-96.0503,-59.5900,-138.364,-32.0605,8.22985,202.884,-280.275,-258.469,-160.303,-58.9038,-55.9126,29.3634,-404.756,162.798,35.8973,-53.3395,-167.949,-115.813,-15.3598,74.9913,-194.042,186.730,-166.325,-59.6191,-45.7611,46.4203,-221.063,-62.1683,-100.929,145.548,130.899,17.5300,31.1728,3.49888,50.5139,-146.169,-100.849,120.268,-116.869,136.990,-373.987,-180.128,-90.8919,-127.106,-170.674,-151.794,150.583,-13.4604,260.011,-29.1817,-100.682,11.1425,83.9857
-1.08706,-252.429,-215.303,-317.814,-74.8799,-312.420,39.5647,-152.536,-85.0760,-57.8094,-178.370,233.170,168.843,302.564,-57.6931,37.9574,80.7136,-235.487,-153.834,-228.077,-66.4345,24.4315,-264.962,-217.588,3.87775,-150.846,164.064,-6.83403,-188.925,-130.984,78.2374,15.0125,-175.737,-263.708,151.870,18.3677,-1.32476,-196.641,154.116,265.154,28.4643,71.1254,-228.015,49.8161,-271.212,-253.187,-141.440,-162.307,-87.5160,-77.3865,-115.548,-62.0175,4.01889,176.317,-277.351,-224.314,-156.671,-46.9653,-66.1038,20.1786,-442.506,185.827,30.5208,-24.8375,-135.381,-128.433,-27.1656,97.1083,-194.977,193.050,-177.202,-27.5423,-54.2907,6.44175,-232.830,-61.6339,-113.193,118.661,159.407,16.8439,15.5589,-33.1019,19.6009,-134.420,-101.796,114.611,-118.091,159.772,-367.531,-191.295,-108.885,-134.107,-141.316,-131.418,127.229,-3.43552,250.492,-32.6988,-114.510,22.4357,104.075
-1.08299,-260.755,-218.973,-319.954,-112.397,-275.219,54.8656,-117.352,-68.2873,-54.7165,-168.372,235.448,175.602,332.341,-58.7810,32.2841,97.2229,-219.423,-137.353,-226.172,-50.1637,42.5824,-284.513,-257.459,7.08644,-126.032,132.232,-15.8857,-188.666,-134.118,59.8079,8.71332,-205.430,-287.133,146.500,26.5612,-39.4268,-215.206,189.991,256.770,10.4492,64.9353,-217.861,27.9199,-288.582,-242.515,-125.255,-157.629,-70.7393,-96.1925,-87.9285,-85.4915,3.17561,145.715,-267.067,-190.729,-154.186,-30.8625,-69.3822,10.0447,-473.865,214.143,27.3754,4.39124,-108.175,-136.179,-38.6435,103.380,-193.780,198.058,-180.661,4.79760,-68.9790,-32.1710,-238.578,-61.4348,-123.181,91.1230,186.900,15.2399,-3.58932,-66.4988,-9.97092,-115.466,-101.115,103.722,-117.723,194.815,-347.817,-196.013,-120.779,-143.009,-112.176,-125.316,99.1050,-5.77672,232.107,-43.7649,-119.676,36.5732,124.697
-1.07892,-264.986,-220.670,-314.454,-141.323,-241.458,70.9908,-85.8615,-52.1431,-50.5428,-158.766,231.557,178.913,350.318,-59.9685,27.8348,118.535,-193.920,-119.247,-221.390,-36.1159,65.9173,-304.585,-300.410,9.05873,-97.1207,104.343,-18.1519,-189.896,-132.554,37.1388,-0.907097,-230.881,-298.962,133.851,31.4250,-79.7155,-233.010,223.307,248.875,-5.90814,54.5890,-205.048,14.9425,-300.423,-236.327,-106.275,-151.499,-43.7995,-111.772,-58.2655,-101.213,1.89366,114.799,-249.620,-159.166,-154.371,-11.9661,-66.4104,0.721701,-496.618,246.952,27.4280,29.7629,-85.6370,-136.137,-47.9930,97.1888,-187.379,201.588,-177.716,34.4372,-88.1360,-68.6848,-238.084,-63.3513,-128.489,67.3038,213.696,12.3124,-24.9267,-93.3848,-36.8436,-86.5849,-95.5042,89.9741,-115.768,237.573,-318.322,-192.773,-124.882,-153.380,-88.2001,-130.585,70.3601,-19.8975,206.416,-62.0752,-112.857,52.5548,140.234
-1.07484,-265.641,-221.762,-301.670,-160.187,-213.817,86.4248,-60.1982,-37.3969,-45.9368,-149.294,220.193,177.200,356.665,-61.1681,23.2391,140.983,-160.723,-102.314,-213.921,-28.4239,93.1256,-322.846,-342.024,8.46271,-69.1171,80.7719,-15.1312,-191.940,-122.223,13.1563,-11.0349,-247.864,-301.792,116.133,30.0518,-119.708,-248.940,249.607,242.907,-18.2924,42.8824,-194.095,8.95610,-305.122,-232.960,-85.3542,-143.782,-6.60080,-121.438,-29.9422,-109.449,-3.30948,88.2115,-226.658,-130.591,-157.342,7.16412,-58.3941,-6.13516,-509.318,281.851,30.7290,47.4117,-67.6323,-126.888,-54.4110,83.9153,-174.178,203.352,-169.303,59.6349,-108.167,-103.018,-231.570,-67.9839,-127.252,49.3129,240.182,8.82405,-48.5664,-111.877,-60.1616,-48.0266,-83.8949,73.9273,-112.033,283.142,-284.213,-182.141,-121.432,-166.009,-72.9426,-143.105,43.8197,-42.9405,175.251,-85.5838,-94.5562,70.7774,147.002
-1.07077,-262.686,-222.929,-281.338,-169.236,-193.820,100.246,-40.5122,-25.2747,-41.9375,-139.591,201.969,170.265,353.059,-62.7228,16.7667,161.327,-122.296,-88.0152,-205.372,-29.1718,121.925,-337.836,-377.506,3.45946,-46.5061,60.4052,-9.38955,-193.724,-102.216,-7.95190,-19.1725,-252.729,-299.836,96.1236,22.4581,-156.732,-262.303,265.753,238.773,-25.0099,33.3593,-187.599,5.95800,-302.531,-229.635,-65.1878,-134.348,38.6155,-124.972,-6.41850,-111.557,-13.6854,70.4306,-200.920,-104.878,-161.851,23.6191,-46.7744,-9.77243,-511.410,315.073,36.1388,55.7735,-55.1297,-109.699,-58.4860,68.6961,-153.701,202.082,-156.379,79.7745,-124.683,-134.724,-219.977,-74.9805,-119.083,36.6428,266.011,5.83229,-74.9113,-121.947,-79.9327,-3.94636,-68.4568,54.9502,-106.456,327.200,-250.837,-167.149,-112.180,-181.607,-67.4807,-159.256,20.0582,-71.0451,141.523,-111.598,-69.1969,92.4746,144.260
