,FA_20231206_2H_yeast_1.3.ser#1,FA_20231206_2H_yeast_1.3.ser#2,FA_20231206_2H_yeast_1.3.ser#3,FA_20231206_2H_yeast_1.3.ser#4,FA_20231206_2H_yeast_1.3.ser#5,FA_20231206_2H_yeast_1.3.ser#6,FA_20231206_2H_yeast_1.3.ser#7,FA_20231206_2H_yeast_1.3.ser#8,FA_20231206_2H_yeast_1.3.ser#9,FA_20231206_2H_yeast_1.3.ser#10,FA_20231206_2H_yeast_1.3.ser#11,FA_20231206_2H_yeast_1.3.ser#12,FA_20231206_2H_yeast_1.3.ser#13,FA_20231206_2H_yeast_1.3.ser#14,FA_20231206_2H_yeast_1.3.ser#15,FA_20231206_2H_yeast_1.3.ser#16,FA_20231206_2H_yeast_1.3.ser#17,FA_20231206_2H_yeast_1.3.ser#18,FA_20231206_2H_yeast_1.3.ser#19,FA_20231206_2H_yeast_1.3.ser#20,FA_20231206_2H_yeast_1.3.ser#21,FA_20231206_2H_yeast_1.3.ser#22,FA_20231206_2H_yeast_1.3.ser#23,FA_20231206_2H_yeast_1.3.ser#24,FA_20231206_2H_yeast_1.3.ser#25,FA_20231206_2H_yeast_1.3.ser#26,FA_20231206_2H_yeast_1.3.ser#27,FA_20231206_2H_yeast_1.3.ser#28,FA_20231206_2H_yeast_1.3.ser#29,FA_20231206_2H_yeast_1.3.ser#30,FA_20231206_2H_yeast_1.3.ser#31,FA_20231206_2H_yeast_1.3.ser#32,FA_20231206_2H_yeast_1.3.ser#33,FA_20231206_2H_yeast_1.3.ser#34,FA_20231206_2H_yeast_1.3.ser#35,FA_20231206_2H_yeast_1.3.ser#36,FA_20231206_2H_yeast_1.3.ser#37,FA_20231206_2H_yeast_1.3.ser#38,FA_20231206_2H_yeast_1.3.ser#39,FA_20231206_2H_yeast_1.3.ser#40,FA_20231206_2H_yeast_1.3.ser#41,FA_20231206_2H_yeast_1.3.ser#42,FA_20231206_2H_yeast_1.3.ser#43,FA_20231206_2H_yeast_1.3.ser#44,FA_20231206_2H_yeast_1.3.ser#45,FA_20231206_2H_yeast_1.3.ser#46,FA_20231206_2H_yeast_1.3.ser#47,FA_20231206_2H_yeast_1.3.ser#48,FA_20231206_2H_yeast_1.3.ser#49,FA_20231206_2H_yeast_1.3.ser#50,FA_20231206_2H_yeast_1.3.ser#51,FA_20231206_2H_yeast_1.3.ser#52,FA_20231206_2H_yeast_1.3.ser#53,FA_20231206_2H_yeast_1.3.ser#54,FA_20231206_2H_yeast_1.3.ser#55,FA_20231206_2H_yeast_1.3.ser#56,FA_20231206_2H_yeast_1.3.ser#57,FA_20231206_2H_yeast_1.3.ser#58,FA_20231206_2H_yeast_1.3.ser#59,FA_20231206_2H_yeast_1.3.ser#60,FA_20231206_2H_yeast_1.3.ser#61,FA_20231206_2H_yeast_1.3.ser#62,FA_20231206_2H_yeast_1.3.ser#63,FA_20231206_2H_yeast_1.3.ser#64,FA_20231206_2H_yeast_1.3.ser#65,FA_20231206_2H_yeast_1.3.ser#66,FA_20231206_2H_yeast_1.3.ser#67,FA_20231206_2H_yeast_1.3.ser#68,FA_20231206_2H_yeast_1.3.ser#69,FA_20231206_2H_yeast_1.3.ser#70,FA_20231206_2H_yeast_1.3.ser#71,FA_20231206_2H_yeast_1.3.ser#72,FA_20231206_2H_yeast_1.3.ser#73,FA_20231206_2H_yeast_1.3.ser#74,FA_20231206_2H_yeast_1.3.ser#75,FA_20231206_2H_yeast_1.3.ser#76,FA_20231206_2H_yeast_1.3.ser#77,FA_20231206_2H_yeast_1.3.ser#78,FA_20231206_2H_yeast_1.3.ser#79,FA_20231206_2H_yeast_1.3.ser#80,FA_20231206_2H_yeast_1.3.ser#81,FA_20231206_2H_yeast_1.3.ser#82,FA_20231206_2H_yeast_1.3.ser#83,FA_20231206_2H_yeast_1.3.ser#84,FA_20231206_2H_yeast_1.3.ser#85,FA_20231206_2H_yeast_1.3.ser#86,FA_20231206_2H_yeast_1.3.ser#87,FA_20231206_2H_yeast_1.3.ser#88,FA_20231206_2H_yeast_1.3.ser#89,FA_20231206_2H_yeast_1.3.ser#90,FA_20231206_2H_yeast_1.3.ser#91,FA_20231206_2H_yeast_1.3.ser#92,FA_20231206_2H_yeast_1.3.ser#93,FA_20231206_2H_yeast_1.3.ser#94,FA_20231206_2H_yeast_1.3.ser#95,FA_20231206_2H_yeast_1.3.ser#96,FA_20231206_2H_yeast_1.3.ser#97,FA_20231206_2H_yeast_1.3.ser#98,FA_20231206_2H_yeast_1.3.ser#99,FA_20231206_2H_yeast_1.3.ser#100
-1.10734,-93.3047,-55.7726,21.4429,-3.49109,-284.566,5.07346,182.686,12.1542,-378.133,-93.3090,-216.077,67.7832,306.942,-25.8211,-7.45544,-31.0245,-318.431,-164.964,-155.648,-80.0640,-13.7937,-31.8152,-156.662,-83.4651,136.037,204.222,-90.4240,116.560,-195.328,-76.0296,-109.895,-26.2691,-134.327,31.7361,105.501,-417.042,-365.552,209.668,11.7305,-46.5349,-93.5192,143.898,133.227,-156.632,-238.721,-117.058,-38.1670,50.7280,82.3421,-48.9461,-142.005,83.8488,270.419,-225.548,-146.973,93.6278,-60.3254,-106.989,-7.30396,-58.1124,-143.361,166.269,48.1835,17.4044,178.342,22.6550,-239.877,-93.8312,-10.0236,64.7213,-133.135,-337.981,349.102,43.2501,-131.705,173.007,37.5723,-136.519,181.119,-3.22675,-110.150,-201.435,-93.7870,13.4358,116.369,-117.468,120.300,-339.136,-89.9206,108.790,-150.212,-103.776,-51.9517,-7.87030,-106.303,107.851,-135.566,231.664,167.875,-190.085
-1.10327,-94.7908,-66.0859,11.3280,-0.00872803,-319.401,-16.0854,201.546,-5.91083,-375.829,-56.8491,-203.326,81.7646,292.597,-32.3466,-21.4435,-53.6869,-297.980,-169.322,-104.458,-103.233,-35.0612,-13.9679,-115.610,-82.8464,148.668,196.973,-72.6957,126.296,-219.394,-46.1646,-130.768,-37.1124,-153.441,39.8459,94.5587,-398.902,-384.566,213.073,25.5859,-52.1594,-64.9609,122.329,133.262,-152.259,-264.049,-108.349,-67.0265,28.1287,87.6662,-61.6075,-133.810,83.5143,287.634,-204.529,-138.892,110.411,-37.9222,-114.854,-19.6767,-66.3603,-134.355,106.964,74.7580,21.4486,183.819,15.6491,-245.225,-109.214,-18.5896,52.3671,-131.836,-359.037,369.638,50.6053,-142.195,160.791,40.1407,-129.058,181.979,15.9915,-95.8254,-180.211,-116.236,-5.47876,164.718,-92.3582,135.840,-353.412,-93.5489,93.9808,-140.487,-121.139,-53.0686,-12.1148,-96.8837,91.1808,-144.498,246.961,171.138,-173.388
-1.09919,-99.0216,-75.1604,-12.3832,3.79370,-340.050,-36.4853,212.073,-23.2715,-362.494,-32.6913,-192.301,96.8329,273.036,-51.2003,-31.8058,-74.3555,-271.694,-159.115,-54.0628,-117.208,-36.4951,-5.82666,-75.8125,-89.4687,166.757,179.680,-54.5402,145.507,-227.551,-29.5954,-146.453,-48.4991,-166.424,48.9369,80.1063,-387.359,-381.165,187.614,33.5520,-53.3967,-48.5653,97.8796,123.871,-147.716,-295.482,-90.1635,-91.4608,7.51782,83.2233,-74.9351,-141.071,69.3954,289.021,-178.309,-143.900,119.223,-16.4859,-128.958,-23.4914,-75.0094,-145.207,50.6772,100.380,42.3704,184.874,4.90100,-229.327,-124.358,-13.2956,32.4394,-126.526,-369.972,383.439,61.2882,-133.721,163.474,33.1118,-107.670,171.331,31.4921,-88.8470,-145.918,-122.286,-10.1210,221.488,-61.4356,139.420,-365.064,-118.328,82.6323,-128.478,-139.063,-55.1287,-29.4457,-73.9915,82.2051,-141.917,243.408,157.412,-147.705
-1.09512,-103.252,-84.2349,-36.0944,7.59619,-360.699,-56.8852,214.778,-40.6323,-337.255,-8.53369,-181.276,111.901,253.475,-70.0539,-42.1682,-95.0240,-245.408,-138.992,-3.66785,-131.183,-37.9291,-2.97961,-36.0154,-106.953,184.846,156.755,-36.3846,164.719,-235.709,-13.0262,-162.139,-47.7903,-179.407,58.0279,65.6538,-375.817,-377.764,152.045,41.5181,-44.6418,-32.1696,73.4304,114.481,-143.172,-326.916,-60.1453,-106.095,-13.0930,73.0455,-88.2627,-148.332,55.2766,279.255,-152.089,-148.909,117.461,-0.206421,-143.062,-27.3061,-83.6585,-156.060,4.55560,126.001,63.2921,185.929,-5.84711,-213.428,-139.503,1.40997,3.39520,-121.216,-371.838,382.552,71.9711,-125.247,166.158,26.0829,-86.2816,160.682,46.9927,-81.8686,-101.072,-128.335,-14.7632,278.257,-30.5132,133.111,-366.936,-143.108,71.2839,-116.469,-156.988,-57.1887,-46.7766,-51.0993,73.2293,-130.641,239.854,143.685,-122.021
-1.09105,-107.483,-93.3094,-59.8057,11.3986,-361.108,-63.6032,204.118,-57.9930,-303.682,2.29803,-170.252,114.785,245.945,-88.9075,-52.5305,-115.693,-218.499,-104.200,36.1218,-145.158,-39.3631,8.47052,-0.669067,-136.430,203.619,136.294,-18.2291,183.328,-243.866,3.54291,-177.825,-37.1281,-192.390,67.1188,48.4062,-363.895,-374.363,121.532,37.4232,-24.5209,-15.7740,45.5817,105.091,-138.629,-359.089,-24.2104,-111.788,-33.7039,65.3768,-101.590,-156.304,34.8761,275.066,-125.869,-153.917,103.142,3.50342,-157.165,-31.1208,-92.3076,-166.912,-32.4595,151.623,84.2139,196.717,-16.5953,-188.130,-154.647,27.0958,-38.7541,-124.994,-364.634,368.264,82.6540,-116.774,168.841,19.0540,-64.8934,150.034,62.4933,-74.8902,-52.2686,-134.385,-19.4055,333.972,-4.62958,111.969,-359.639,-167.888,59.9355,-104.460,-158.304,-59.2487,-64.1074,-28.2072,64.2535,-123.712,219.015,129.958,-104.603
-1.08698,-111.714,-102.384,-83.5169,15.2011,-361.517,-70.3212,177.811,-75.3537,-270.110,13.1298,-159.227,117.668,238.414,-107.761,-62.8929,-136.361,-191.590,-69.4086,65.7303,-159.133,-40.7971,9.33221,23.7213,-165.906,222.391,115.833,-0.0735474,201.938,-252.024,20.1121,-193.511,-20.4182,-205.373,76.2098,37.2572,-351.973,-370.963,91.0178,33.3282,1.59528,0.621704,23.7766,95.7011,-134.085,-391.263,11.7244,-107.680,-54.3148,57.7080,-114.918,-164.277,25.6428,270.876,-99.6489,-158.926,83.5357,-3.10040,-171.269,-34.9355,-100.957,-177.764,-52.5322,177.245,105.136,207.504,-27.3434,-162.832,-169.792,52.7816,-80.9034,-128.771,-348.361,339.288,93.3369,-108.300,171.524,12.0251,-43.5052,139.386,77.9939,-67.9119,-3.46490,-140.434,-24.0477,389.687,11.1761,90.8277,-342.562,-192.667,48.5872,-92.4505,-150.240,-61.3087,-81.4383,-5.31494,55.2777,-116.784,198.175,116.231,-87.1851
-1.08290,-118.675,-103.786,-101.957,33.7985,-353.253,-61.1340,140.586,-92.7144,-234.305,7.58160,-157.141,114.206,245.169,-121.893,-89.0562,-147.416,-182.543,-41.6413,80.7037,-153.324,-27.5815,-5.35785,34.9875,-195.836,232.738,93.8466,-4.77997,219.583,-251.496,29.7064,-190.700,-0.558533,-189.402,75.0846,34.7479,-341.823,-372.606,62.9054,35.2638,28.8356,34.5696,8.26660,84.0787,-158.322,-407.895,42.6055,-90.4655,-71.3104,58.9998,-128.246,-172.250,38.9766,253.211,-86.3372,-173.811,63.1588,-19.4806,-179.363,-26.3257,-105.179,-200.880,-57.3568,178.303,116.682,217.886,-39.8938,-144.387,-174.318,78.8594,-126.281,-134.442,-317.539,301.317,95.9416,-93.2099,171.980,-7.47919,-28.0640,121.436,83.8010,-53.5310,44.4593,-140.376,-12.0504,435.282,21.7330,67.8322,-308.572,-228.048,42.9384,-89.3267,-126.155,-55.0697,-70.9269,15.4016,51.8557,-113.840,171.934,99.8734,-81.6481
-1.07883,-125.637,-105.188,-120.397,52.3959,-344.988,-51.9469,95.5365,-110.075,-198.501,2.03345,-155.055,110.743,251.924,-136.025,-115.220,-158.470,-173.495,-23.7905,95.6769,-147.514,-14.3660,-25.3422,40.7757,-225.765,243.085,71.8603,-9.48645,227.586,-250.969,39.3007,-187.890,19.3012,-173.432,73.9595,42.4029,-331.673,-374.249,34.7929,37.1994,56.0760,68.5176,4.84357,72.4564,-182.559,-424.527,73.4866,-67.3710,-88.3060,60.2916,-141.573,-180.222,52.3102,235.546,-73.0254,-188.696,42.7817,-46.1744,-187.456,-17.7159,-109.402,-223.995,-52.0159,179.362,128.229,228.268,-52.4442,-125.943,-178.845,104.937,-171.660,-140.113,-277.648,254.533,98.5463,-78.1201,172.435,-26.9836,-12.6227,103.487,89.6082,-39.1501,81.8299,-140.318,-0.0531006,464.013,22.2119,44.8366,-264.802,-263.428,37.2896,-86.2029,-102.069,-48.8307,-60.4155,36.1182,48.4338,-110.897,145.692,83.5157,-76.1111
-1.07476,-131.915,-106.590,-128.091,70.4243,-336.723,-34.5506,50.4875,-127.436,-176.982,-16.8407,-152.968,95.0956,258.680,-150.157,-140.706,-169.525,-164.448,-14.6165,110.014,-141.704,-1.15039,-45.3264,48.9605,-250.264,253.431,49.8740,-14.1929,228.961,-250.441,48.8950,-185.080,39.5389,-157.461,72.8343,56.9189,-321.523,-375.892,6.68048,39.1349,76.9464,101.702,15.7737,60.8340,-206.796,-429.319,106.956,-46.9715,-105.302,61.5834,-154.901,-193.891,66.3419,217.881,-81.8423,-203.582,22.0743,-88.0163,-195.549,-9.10614,-113.624,-246.442,-41.1689,180.421,139.776,222.429,-64.9947,-126.298,-160.933,126.898,-203.363,-145.784,-242.291,211.788,101.151,-63.0303,172.891,-46.4879,2.81848,77.5237,95.4153,-24.7693,109.306,-140.260,11.9443,477.354,10.9334,21.8410,-225.923,-298.809,31.6409,-83.0792,-77.3974,-42.5917,-49.9041,56.8348,45.0118,-107.953,119.450,67.1581,-78.8393
-1.07069,-138.194,-107.992,-126.055,88.4526,-328.459,-17.1543,13.2615,-144.797,-155.463,-35.7149,-150.882,79.4483,265.435,-164.289,-166.192,-180.580,-155.400,-15.3589,124.351,-135.894,12.0651,-60.0165,57.1453,-263.901,263.778,27.8878,-18.8994,216.837,-249.913,58.4893,-182.270,59.7767,-141.491,71.7091,71.4348,-311.373,-377.536,-21.4320,41.0706,87.8245,134.887,32.7473,49.2116,-231.034,-434.110,134.509,-26.5719,-122.297,62.8752,-168.228,-196.168,80.3735,200.216,-90.6591,-218.467,1.36694,-129.858,-203.643,-0.496338,-117.847,-268.888,-30.3218,181.479,151.323,216.590,-77.5451,-126.653,-143.021,139.446,-225.949,-151.455,-206.935,169.043,103.756,-47.9404,173.346,-65.9922,18.2597,51.5609,101.222,-10.3884,126.229,-140.202,23.9416,473.829,-0.345154,-1.15454,-187.043,-334.190,25.9921,-79.9554,-52.7256,-36.3527,-39.3927,77.5513,41.5898,-105.010,93.2089,50.8004,-81.5674
