,FA_20240108_2H_yeast_1.11.ser#1,FA_20240108_2H_yeast_1.11.ser#2,FA_20240108_2H_yeast_1.11.ser#3,FA_20240108_2H_yeast_1.11.ser#4,FA_20240108_2H_yeast_1.11.ser#5,FA_20240108_2H_yeast_1.11.ser#6,FA_20240108_2H_yeast_1.11.ser#7,FA_20240108_2H_yeast_1.11.ser#8,FA_20240108_2H_yeast_1.11.ser#9,FA_20240108_2H_yeast_1.11.ser#10,FA_20240108_2H_yeast_1.11.ser#11,FA_20240108_2H_yeast_1.11.ser#12,FA_20240108_2H_yeast_1.11.ser#13,FA_20240108_2H_yeast_1.11.ser#14,FA_20240108_2H_yeast_1.11.ser#15,FA_20240108_2H_yeast_1.11.ser#16,FA_20240108_2H_yeast_1.11.ser#17,FA_20240108_2H_yeast_1.11.ser#18,FA_20240108_2H_yeast_1.11.ser#19,FA_20240108_2H_yeast_1.11.ser#20,FA_20240108_2H_yeast_1.11.ser#21,FA_20240108_2H_yeast_1.11.ser#22,FA_20240108_2H_yeast_1.11.ser#23,FA_20240108_2H_yeast_1.11.ser#24,FA_20240108_2H_yeast_1.11.ser#25,FA_20240108_2H_yeast_1.11.ser#26,FA_20240108_2H_yeast_1.11.ser#27,FA_20240108_2H_yeast_1.11.ser#28,FA_20240108_2H_yeast_1.11.ser#29,FA_20240108_2H_yeast_1.11.ser#30,FA_20240108_2H_yeast_1.11.ser#31,FA_20240108_2H_yeast_1.11.ser#32,FA_20240108_2H_yeast_1.11.ser#33,FA_20240108_2H_yeast_1.11.ser#34,FA_20240108_2H_yeast_1.11.ser#35,FA_20240108_2H_yeast_1.11.ser#36,FA_20240108_2H_yeast_1.11.ser#37,FA_20240108_2H_yeast_1.11.ser#38,FA_20240108_2H_yeast_1.11.ser#39
3.55160,-239.300,-26.4493,2329.30,1745.02,847.357,-180.551,-555.653,540.328,1019.75,-0.584395,-325.086,607.563,1046.32,319.036,-916.842,884.878,1870.83,808.259,1019.73,622.042,-1026.50,1145.35,-555.121,104.162,-115.946,253.078,-521.331,-677.575,817.606,-476.046,-603.491,-361.933,987.067,-84.5416,1192.84,-187.958,1250.73,1390.39,-130.818
3.55974,-375.224,14.9973,2449.80,1696.42,1051.86,-190.157,-202.552,486.625,741.685,-463.027,-392.656,873.256,894.547,130.986,-791.680,640.756,1769.05,584.030,477.367,421.035,-606.619,1341.79,-480.813,206.870,98.7206,72.6606,-483.876,-297.901,657.363,-501.025,-957.005,-184.265,1172.52,189.483,1383.04,-246.077,1608.78,1620.20,-360.540
3.56789,-562.869,32.6477,2712.51,1908.56,1119.29,-140.250,50.0780,413.945,295.150,-863.170,22.3993,782.164,716.436,162.174,-285.835,531.624,1465.67,275.759,-261.736,-5.51743,-114.187,1407.73,-214.912,551.553,482.213,-217.245,-453.651,-134.981,361.557,-484.520,-1283.34,-231.488,1226.95,707.807,1222.14,-72.0709,1689.33,1838.06,-355.416
3.57603,-727.541,10.5241,2819.68,2301.93,958.946,20.1175,179.974,263.838,64.3304,-1123.23,637.540,599.332,742.922,692.529,444.691,703.120,960.979,93.1278,-931.672,-240.811,330.299,1282.30,136.518,734.302,883.575,-487.580,-346.244,-186.962,-132.671,-719.152,-1226.63,-197.598,987.372,929.693,884.200,209.483,1419.49,1751.08,-141.739
3.58418,-698.927,55.0766,2517.62,2391.73,551.084,295.567,279.164,63.8873,297.300,-1040.11,1093.43,634.173,795.866,1163.07,1064.51,975.441,598.418,5.63867,-1065.23,-138.273,647.115,1016.47,169.951,813.846,1048.53,-348.100,-166.502,-119.317,-472.977,-889.653,-1286.67,-226.551,527.864,824.787,777.005,501.260,974.561,1239.77,109.254
3.59232,-432.289,416.627,2087.30,2107.34,119.047,639.088,461.069,-200.925,898.385,-701.094,1035.52,696.846,857.187,1348.90,1429.82,965.854,470.258,-150.117,-590.590,-3.26890,796.816,708.399,-18.3547,1093.47,1082.82,174.482,23.3264,192.578,-571.041,-798.635,-1593.59,-452.409,53.4756,567.889,738.870,525.651,692.822,795.440,138.254
3.60047,75.0470,742.645,1897.35,1574.27,-185.049,1038.21,630.862,-607.206,1310.34,-206.431,674.561,590.228,837.956,1418.82,1480.64,560.126,370.020,-558.899,80.8728,-175.999,696.842,751.860,-373.518,1561.11,1258.90,611.841,119.927,420.336,-562.213,-692.659,-1469.16,-641.586,-228.802,123.914,574.542,261.805,623.265,514.633,-195.263
3.60861,449.058,968.721,1822.50,928.237,-149.613,1048.26,744.492,-734.017,1394.18,348.356,496.336,334.775,661.309,1190.81,1449.78,-62.6787,359.620,-1250.70,597.301,-575.159,524.604,1034.69,-875.629,1928.62,1639.21,653.995,-38.0784,327.180,-522.061,-503.676,-1030.40,-393.240,-133.896,-67.2010,284.913,-147.343,856.064,290.119,-730.447
3.61676,286.093,1314.96,1897.45,524.163,95.5940,566.649,935.601,-539.737,1440.65,888.732,663.851,256.801,435.376,636.594,1429.09,-119.757,411.404,-1675.76,933.980,-930.847,373.072,1178.10,-1177.18,1639.97,1999.66,511.730,-308.384,-73.9645,-312.188,-269.904,-739.495,278.012,203.488,182.356,36.5608,-242.352,1265.25,68.1998,-1165.81
3.62490,22.9562,1381.65,2145.35,428.193,193.394,118.802,1105.78,-571.599,1478.95,1293.71,1002.67,605.869,164.028,228.637,1206.93,327.162,539.834,-1528.62,1262.20,-1160.47,215.404,1288.63,-1011.78,982.387,2192.40,646.273,-598.453,-397.399,-63.4188,-238.128,-566.465,761.450,671.090,566.680,-22.4714,195.876,1490.08,-332.535,-1146.62
