,FA_20240108_2H_yeast_1.7.ser#1,FA_20240108_2H_yeast_1.7.ser#2,FA_20240108_2H_yeast_1.7.ser#3,FA_20240108_2H_yeast_1.7.ser#4,FA_20240108_2H_yeast_1.7.ser#5,FA_20240108_2H_yeast_1.7.ser#6,FA_20240108_2H_yeast_1.7.ser#7,FA_20240108_2H_yeast_1.7.ser#8,FA_20240108_2H_yeast_1.7.ser#9,FA_20240108_2H_yeast_1.7.ser#10,FA_20240108_2H_yeast_1.7.ser#11,FA_20240108_2H_yeast_1.7.ser#12,FA_20240108_2H_yeast_1.7.ser#13,FA_20240108_2H_yeast_1.7.ser#14,FA_20240108_2H_yeast_1.7.ser#15,FA_20240108_2H_yeast_1.7.ser#16,FA_20240108_2H_yeast_1.7.ser#17,FA_20240108_2H_yeast_1.7.ser#18,FA_20240108_2H_yeast_1.7.ser#19,FA_20240108_2H_yeast_1.7.ser#20,FA_20240108_2H_yeast_1.7.ser#21,FA_20240108_2H_yeast_1.7.ser#22,FA_20240108_2H_yeast_1.7.ser#23,FA_20240108_2H_yeast_1.7.ser#24,FA_20240108_2H_yeast_1.7.ser#25,FA_20240108_2H_yeast_1.7.ser#26,FA_20240108_2H_yeast_1.7.ser#27,FA_20240108_2H_yeast_1.7.ser#28,FA_20240108_2H_yeast_1.7.ser#29,FA_20240108_2H_yeast_1.7.ser#30,FA_20240108_2H_yeast_1.7.ser#31,FA_20240108_2H_yeast_1.7.ser#32,FA_20240108_2H_yeast_1.7.ser#33,FA_20240108_2H_yeast_1.7.ser#34,FA_20240108_2H_yeast_1.7.ser#35,FA_20240108_2H_yeast_1.7.ser#36,FA_20240108_2H_yeast_1.7.ser#37,FA_20240108_2H_yeast_1.7.ser#38,FA_20240108_2H_yeast_1.7.ser#39,FA_20240108_2H_yeast_1.7.ser#40
3.47826,470.205,-180.923,222.258,123.423,-535.941,-224.259,-94.0035,1.64307,311.237,-112.430,-271.387,-669.418,-314.388,142.254,-141.031,-183.926,-308.554,-80.0961,-328.180,-172.132,-40.7087,399.211,-575.721,-51.4379,24.7250,-120.071,186.185,150.598,-221.281,39.7886,-813.053,254.936,-612.478,-299.976,-496.581,161.877,-358.334,695.721,377.313,123.973
3.48641,478.233,-206.546,164.282,118.297,-601.058,-59.6680,-28.7466,-50.8771,424.183,-258.091,-311.667,-632.902,-293.132,84.3806,-184.805,-267.063,-301.560,-205.214,-153.002,-210.748,48.4797,333.469,-744.620,-81.0958,-68.6722,-15.1816,143.084,278.444,-274.644,42.8280,-713.260,355.562,-582.264,-167.625,-525.199,183.105,-404.648,526.585,328.377,182.824
3.49455,486.261,-232.170,106.306,113.171,-666.175,104.923,36.5104,-103.397,537.129,-403.751,-351.947,-596.385,-271.876,26.5070,-228.580,-350.200,-294.566,-330.332,22.1769,-249.363,137.668,267.726,-778.153,-110.754,-162.070,89.7074,99.9832,406.291,-328.008,45.8676,-613.468,456.189,-552.049,-35.2755,-553.818,204.333,-450.961,357.449,279.441,241.675
3.50270,519.569,-277.101,-17.9757,152.661,-630.653,161.334,114.615,-41.7677,625.355,-412.398,-366.819,-571.154,-196.152,-126.582,-257.070,-296.748,-278.357,-358.562,142.918,-266.054,97.2789,148.910,-746.118,-68.9167,-202.561,128.797,47.4215,390.418,-364.464,81.7853,-591.205,488.611,-482.304,-64.5262,-485.430,303.306,-431.598,286.731,139.507,201.197
3.51084,552.877,-322.032,-250.513,192.151,-595.131,217.745,192.719,19.8619,713.582,-269.860,-381.692,-545.923,-120.428,-279.671,-285.561,-243.297,-262.147,-386.791,263.660,-282.746,56.8898,30.0944,-714.083,-27.0797,-243.052,167.887,-5.14026,374.545,-400.920,117.703,-568.943,521.033,-412.559,-93.7771,-417.043,402.279,-412.234,216.013,-0.426636,160.718
3.51899,586.185,-366.964,-508.761,200.147,-528.643,222.946,215.267,50.5356,708.134,-28.7802,-287.499,-536.169,-75.8289,-317.585,-282.155,-189.846,-245.938,-380.824,228.867,-267.549,-36.6594,-58.0284,-673.588,30.7189,-190.064,239.537,-86.0840,285.171,-471.191,153.621,-546.680,459.017,-394.657,-123.028,-348.656,443.928,-315.846,198.138,-87.9875,173.931
3.52713,619.493,-411.895,-658.753,208.144,-462.155,228.147,237.815,81.2094,702.686,212.299,-193.307,-526.416,-31.2294,-355.500,-278.749,-136.394,-229.728,-374.858,194.074,-252.352,-130.209,-146.151,-633.093,88.5176,-137.077,311.187,-167.028,195.797,-541.462,189.538,-524.418,397.001,-376.755,-152.279,-280.268,485.578,-219.458,180.262,-175.549,187.145
3.53528,610.098,-406.304,-659.219,195.801,-402.764,196.861,218.349,-24.8386,625.030,335.940,-179.673,-492.318,-10.9459,-241.266,-227.001,-101.132,-212.202,-412.349,138.544,-230.844,-280.240,-123.012,-555.936,173.917,-58.7726,412.006,-223.644,178.940,-561.363,171.002,-481.676,319.574,-357.557,-92.6840,-283.109,341.283,-169.491,214.569,-156.400,250.022
3.54342,600.704,-400.712,-551.429,183.457,-343.372,165.575,198.882,-130.887,547.375,459.580,-166.040,-458.220,9.33765,-127.032,-175.253,-65.8694,-194.676,-449.840,83.0133,-209.336,-430.272,-99.8718,-478.779,259.316,19.5318,512.825,-215.387,162.082,-581.264,152.465,-438.934,242.147,-338.359,-33.0894,-285.949,196.988,-119.524,248.875,-137.251,312.900
3.55157,514.786,-456.907,-421.987,265.595,-314.946,83.0792,212.750,-236.935,469.719,464.431,-221.812,-372.531,-1.50317,-127.973,-123.505,-85.5168,-177.150,-521.527,79.3275,-219.716,-463.352,-25.5769,-480.585,270.227,66.6767,537.669,-85.4927,218.725,-601.165,133.928,-396.191,217.185,-319.161,-51.8466,-364.767,69.8906,-102.568,283.181,-86.6782,322.087
