,FA_20240124_2H_yeast_1.5.ser#1,FA_20240124_2H_yeast_1.5.ser#2,FA_20240124_2H_yeast_1.5.ser#3,FA_20240124_2H_yeast_1.5.ser#4,FA_20240124_2H_yeast_1.5.ser#5,FA_20240124_2H_yeast_1.5.ser#6,FA_20240124_2H_yeast_1.5.ser#7,FA_20240124_2H_yeast_1.5.ser#8,FA_20240124_2H_yeast_1.5.ser#9,FA_20240124_2H_yeast_1.5.ser#10,FA_20240124_2H_yeast_1.5.ser#11,FA_20240124_2H_yeast_1.5.ser#12,FA_20240124_2H_yeast_1.5.ser#13,FA_20240124_2H_yeast_1.5.ser#14,FA_20240124_2H_yeast_1.5.ser#15,FA_20240124_2H_yeast_1.5.ser#16,FA_20240124_2H_yeast_1.5.ser#17,FA_20240124_2H_yeast_1.5.ser#18,FA_20240124_2H_yeast_1.5.ser#19,FA_20240124_2H_yeast_1.5.ser#20,FA_20240124_2H_yeast_1.5.ser#21,FA_20240124_2H_yeast_1.5.ser#22,FA_20240124_2H_yeast_1.5.ser#23,FA_20240124_2H_yeast_1.5.ser#24,FA_20240124_2H_yeast_1.5.ser#25,FA_20240124_2H_yeast_1.5.ser#26,FA_20240124_2H_yeast_1.5.ser#27,FA_20240124_2H_yeast_1.5.ser#28,FA_20240124_2H_yeast_1.5.ser#29,FA_20240124_2H_yeast_1.5.ser#30,FA_20240124_2H_yeast_1.5.ser#31,FA_20240124_2H_yeast_1.5.ser#32,FA_20240124_2H_yeast_1.5.ser#33,FA_20240124_2H_yeast_1.5.ser#34,FA_20240124_2H_yeast_1.5.ser#35,FA_20240124_2H_yeast_1.5.ser#36,FA_20240124_2H_yeast_1.5.ser#37,FA_20240124_2H_yeast_1.5.ser#38,FA_20240124_2H_yeast_1.5.ser#39,FA_20240124_2H_yeast_1.5.ser#40,FA_20240124_2H_yeast_1.5.ser#41,FA_20240124_2H_yeast_1.5.ser#42,FA_20240124_2H_yeast_1.5.ser#43,FA_20240124_2H_yeast_1.5.ser#44,FA_20240124_2H_yeast_1.5.ser#45,FA_20240124_2H_yeast_1.5.ser#46,FA_20240124_2H_yeast_1.5.ser#47,FA_20240124_2H_yeast_1.5.ser#48,FA_20240124_2H_yeast_1.5.ser#49,FA_20240124_2H_yeast_1.5.ser#50
3.08727,1058.57,332.027,-226.812,-417.562,956.907,484.206,194.386,1361.57,491.474,354.826,-350.332,213.379,-952.757,123.889,-545.740,601.181,1189.94,138.091,1709.44,3127.31,-450.460,-682.365,-708.210,-393.620,989.201,207.862,1225.36,-104.948,777.913,-1008.88,-208.033,-428.434,-1541.29,2135.92,1207.40,-626.429,1079.99,1370.31,1800.35,-520.773,-73.6308,2129.29,-184.796,581.663,-954.019,-1426.31,106.237,-564.606,415.715,485.928
3.09542,934.330,52.5956,-593.914,-260.900,1038.86,451.542,-51.6460,874.213,266.183,523.225,-753.469,-86.9915,-931.734,87.7236,-464.780,928.492,1162.06,10.5385,1460.28,3393.87,-467.597,-955.350,-554.563,-630.975,962.632,114.544,1546.72,193.798,652.380,-801.701,-17.4449,-305.356,-1567.07,2353.89,1131.17,-188.377,802.936,1286.31,1367.55,-661.586,-165.027,1798.22,-620.166,540.526,-1317.16,-1475.17,-19.6108,-328.616,359.926,499.767
3.10356,952.595,-190.262,-819.708,-160.651,1300.85,266.380,-86.1116,471.996,-50.3393,721.889,-1230.44,-533.151,-1154.03,82.7307,-572.158,1158.64,1186.02,-143.645,1162.50,3693.42,-485.801,-1007.62,-499.125,-840.355,880.457,93.1482,1723.06,497.163,466.052,-556.438,129.470,-225.310,-1302.27,2486.12,909.176,125.392,403.656,1244.25,1050.96,-873.125,-246.744,1428.04,-943.690,665.185,-1821.80,-1300.13,-68.5732,-15.9901,338.368,392.488
3.11171,952.130,-281.191,-922.519,-44.0618,1522.89,140.386,122.245,164.789,-372.115,836.969,-1667.78,-929.759,-1475.39,128.053,-828.031,1250.57,1252.25,-276.704,847.465,3967.66,-449.548,-867.213,-493.729,-1021.64,766.313,170.706,1702.31,618.542,295.585,-211.629,223.797,-253.063,-981.648,2648.13,598.826,301.405,-114.807,1362.52,922.954,-1215.76,-308.804,1210.56,-1099.41,836.963,-2293.57,-906.324,25.7470,87.7964,269.274,219.656
3.11985,901.035,-322.236,-924.584,143.409,1607.48,107.749,455.188,-82.1006,-593.263,914.526,-1879.82,-1133.63,-1799.46,199.987,-1124.83,1107.93,1386.91,-393.785,621.292,4110.21,-424.229,-680.569,-426.218,-1097.52,673.285,409.823,1570.93,546.173,259.483,215.000,239.342,-330.638,-814.588,2865.88,317.179,383.707,-631.092,1664.68,896.592,-1640.09,-335.476,1228.15,-1097.98,954.198,-2544.77,-437.739,274.929,-204.235,143.617,-32.6689
3.12800,891.525,-455.347,-813.856,344.500,1651.27,78.5972,679.385,-230.799,-628.511,1037.26,-1813.43,-1114.92,-2008.39,240.226,-1371.14,746.585,1477.32,-524.394,542.675,4018.74,-399.851,-590.477,-243.057,-1004.26,596.608,700.096,1482.42,398.839,437.209,465.921,141.211,-366.775,-754.160,3023.99,106.276,455.991,-1039.02,1991.99,842.495,-1890.92,-355.200,1348.58,-895.836,936.860,-2454.01,-144.009,583.899,-632.211,4.15377,-371.217
3.13614,978.914,-719.514,-669.648,381.455,1579.77,30.4040,609.808,-323.132,-390.079,1133.92,-1565.79,-961.940,-2033.52,210.104,-1470.10,358.069,1402.17,-581.558,586.205,3707.97,-354.630,-546.371,-34.9229,-796.283,549.895,828.377,1535.95,191.459,789.935,423.309,-3.13980,-409.640,-656.719,3046.13,-100.743,633.677,-1335.70,2200.87,721.492,-1736.82,-347.401,1448.58,-444.936,710.240,-2016.63,-68.1873,802.662,-901.910,-192.175,-769.716
3.14429,1092.43,-1022.29,-568.635,140.648,1211.59,58.2912,308.896,-459.630,77.6447,1162.55,-1286.93,-721.616,-1938.83,143.821,-1394.03,126.394,1243.79,-448.929,676.372,3288.58,-410.678,-390.996,97.1089,-616.880,572.024,783.229,1787.11,-103.579,1125.86,215.760,-95.0448,-518.427,-453.982,3045.21,-403.691,894.977,-1546.06,2274.69,655.607,-1249.57,-268.499,1459.19,164.633,365.163,-1328.67,-49.3612,817.117,-945.502,-459.385,-1156.53
3.15243,1175.52,-1242.02,-548.920,-299.283,627.107,177.848,-37.2822,-657.951,621.950,1191.65,-1089.04,-372.648,-1757.71,130.922,-1205.70,55.2301,1177.62,-162.406,738.797,2862.41,-624.800,-51.2335,181.893,-524.416,586.177,616.810,2190.67,-448.968,1211.35,22.1125,-110.361,-598.534,-214.219,3076.54,-752.852,1131.06,-1637.12,2308.26,655.363,-776.513,-85.9860,1328.11,716.989,93.6799,-527.071,-2.57159,605.652,-841.886,-737.682,-1510.09
3.16058,1285.02,-1281.67,-603.340,-694.549,68.7274,310.160,-306.761,-909.909,1093.93,1248.08,-962.678,45.3092,-1460.20,160.313,-931.403,24.3348,1198.25,43.5156,673.486,2436.23,-881.208,364.138,314.616,-463.700,497.182,361.566,2525.68,-747.745,1068.16,41.2461,-136.145,-535.259,-99.6692,3016.94,-971.945,1323.87,-1589.85,2326.88,673.354,-572.884,153.175,1118.70,1048.93,-42.0271,169.854,31.5115,315.836,-638.440,-935.217,-1733.24
