2H chemical shift (ppm),FA_20240207_2H_yeast_1.4.ser#1,FA_20240207_2H_yeast_1.4.ser#2,FA_20240207_2H_yeast_1.4.ser#3,FA_20240207_2H_yeast_1.4.ser#4,FA_20240207_2H_yeast_1.4.ser#5,FA_20240207_2H_yeast_1.4.ser#6,FA_20240207_2H_yeast_1.4.ser#7,FA_20240207_2H_yeast_1.4.ser#8,FA_20240207_2H_yeast_1.4.ser#9,FA_20240207_2H_yeast_1.4.ser#10,FA_20240207_2H_yeast_1.4.ser#11,FA_20240207_2H_yeast_1.4.ser#12,FA_20240207_2H_yeast_1.4.ser#13,FA_20240207_2H_yeast_1.4.ser#14,FA_20240207_2H_yeast_1.4.ser#15,FA_20240207_2H_yeast_1.4.ser#16,FA_20240207_2H_yeast_1.4.ser#17,FA_20240207_2H_yeast_1.4.ser#18,FA_20240207_2H_yeast_1.4.ser#19,FA_20240207_2H_yeast_1.4.ser#20,FA_20240207_2H_yeast_1.4.ser#21,FA_20240207_2H_yeast_1.4.ser#22,FA_20240207_2H_yeast_1.4.ser#23,FA_20240207_2H_yeast_1.4.ser#24,FA_20240207_2H_yeast_1.4.ser#25,FA_20240207_2H_yeast_1.4.ser#26,FA_20240207_2H_yeast_1.4.ser#27,FA_20240207_2H_yeast_1.4.ser#28,FA_20240207_2H_yeast_1.4.ser#29,FA_20240207_2H_yeast_1.4.ser#30,FA_20240207_2H_yeast_1.4.ser#31,FA_20240207_2H_yeast_1.4.ser#32,FA_20240207_2H_yeast_1.4.ser#33,FA_20240207_2H_yeast_1.4.ser#34,FA_20240207_2H_yeast_1.4.ser#35,FA_20240207_2H_yeast_1.4.ser#36,FA_20240207_2H_yeast_1.4.ser#37,FA_20240207_2H_yeast_1.4.ser#38,FA_20240207_2H_yeast_1.4.ser#39,FA_20240207_2H_yeast_1.4.ser#40,FA_20240207_2H_yeast_1.4.ser#41,FA_20240207_2H_yeast_1.4.ser#42,FA_20240207_2H_yeast_1.4.ser#43,FA_20240207_2H_yeast_1.4.ser#44,FA_20240207_2H_yeast_1.4.ser#45,FA_20240207_2H_yeast_1.4.ser#46,FA_20240207_2H_yeast_1.4.ser#47,FA_20240207_2H_yeast_1.4.ser#48,FA_20240207_2H_yeast_1.4.ser#49,FA_20240207_2H_yeast_1.4.ser#50,FA_20240207_2H_yeast_1.4.ser#51,FA_20240207_2H_yeast_1.4.ser#52,FA_20240207_2H_yeast_1.4.ser#53,FA_20240207_2H_yeast_1.4.ser#54,FA_20240207_2H_yeast_1.4.ser#55,FA_20240207_2H_yeast_1.4.ser#56,FA_20240207_2H_yeast_1.4.ser#57,FA_20240207_2H_yeast_1.4.ser#58,FA_20240207_2H_yeast_1.4.ser#59,FA_20240207_2H_yeast_1.4.ser#60,FA_20240207_2H_yeast_1.4.ser#61,FA_20240207_2H_yeast_1.4.ser#62,FA_20240207_2H_yeast_1.4.ser#63,FA_20240207_2H_yeast_1.4.ser#64,FA_20240207_2H_yeast_1.4.ser#65,FA_20240207_2H_yeast_1.4.ser#66,FA_20240207_2H_yeast_1.4.ser#67,FA_20240207_2H_yeast_1.4.ser#68,FA_20240207_2H_yeast_1.4.ser#69,FA_20240207_2H_yeast_1.4.ser#70,FA_20240207_2H_yeast_1.4.ser#71,FA_20240207_2H_yeast_1.4.ser#72,FA_20240207_2H_yeast_1.4.ser#73,FA_20240207_2H_yeast_1.4.ser#74,FA_20240207_2H_yeast_1.4.ser#75,FA_20240207_2H_yeast_1.4.ser#76,FA_20240207_2H_yeast_1.4.ser#77,FA_20240207_2H_yeast_1.4.ser#78,FA_20240207_2H_yeast_1.4.ser#79,FA_20240207_2H_yeast_1.4.ser#80,FA_20240207_2H_yeast_1.4.ser#81,FA_20240207_2H_yeast_1.4.ser#82,FA_20240207_2H_yeast_1.4.ser#83,FA_20240207_2H_yeast_1.4.ser#84,FA_20240207_2H_yeast_1.4.ser#85,FA_20240207_2H_yeast_1.4.ser#86,FA_20240207_2H_yeast_1.4.ser#87,FA_20240207_2H_yeast_1.4.ser#88,FA_20240207_2H_yeast_1.4.ser#89,FA_20240207_2H_yeast_1.4.ser#90,FA_20240207_2H_yeast_1.4.ser#91,FA_20240207_2H_yeast_1.4.ser#92,FA_20240207_2H_yeast_1.4.ser#93,FA_20240207_2H_yeast_1.4.ser#94,FA_20240207_2H_yeast_1.4.ser#95,FA_20240207_2H_yeast_1.4.ser#96,FA_20240207_2H_yeast_1.4.ser#97,FA_20240207_2H_yeast_1.4.ser#98,FA_20240207_2H_yeast_1.4.ser#99,FA_20240207_2H_yeast_1.4.ser#100,FA_20240207_2H_yeast_1.4.ser#101,FA_20240207_2H_yeast_1.4.ser#102,FA_20240207_2H_yeast_1.4.ser#103,FA_20240207_2H_yeast_1.4.ser#104,FA_20240207_2H_yeast_1.4.ser#105,FA_20240207_2H_yeast_1.4.ser#106,FA_20240207_2H_yeast_1.4.ser#107,FA_20240207_2H_yeast_1.4.ser#108,FA_20240207_2H_yeast_1.4.ser#109,FA_20240207_2H_yeast_1.4.ser#110,FA_20240207_2H_yeast_1.4.ser#111,FA_20240207_2H_yeast_1.4.ser#112,FA_20240207_2H_yeast_1.4.ser#113,FA_20240207_2H_yeast_1.4.ser#114,FA_20240207_2H_yeast_1.4.ser#115,FA_20240207_2H_yeast_1.4.ser#116,FA_20240207_2H_yeast_1.4.ser#117,FA_20240207_2H_yeast_1.4.ser#118,FA_20240207_2H_yeast_1.4.ser#119,FA_20240207_2H_yeast_1.4.ser#120,FA_20240207_2H_yeast_1.4.ser#121,FA_20240207_2H_yeast_1.4.ser#122,FA_20240207_2H_yeast_1.4.ser#123,FA_20240207_2H_yeast_1.4.ser#124,FA_20240207_2H_yeast_1.4.ser#125,FA_20240207_2H_yeast_1.4.ser#126,FA_20240207_2H_yeast_1.4.ser#127,FA_20240207_2H_yeast_1.4.ser#128,FA_20240207_2H_yeast_1.4.ser#129,FA_20240207_2H_yeast_1.4.ser#130
0.297632,107.433,166.164,34.5246,186.611,8.41598,60.6151,-39.5461,62.9985,87.8747,-74.7762,-77.4463,109.374,-97.0325,35.255,320.394,-255.064,55.2772,-221.186,-12.0204,181.048,-53.4836,-237.628,-14.474,240.87,-91.2126,215.562,-1.94837,89.6264,222.974,-121.144,-45.7838,186.941,243.708,3.91977,-30.9403,172.106,-301.858,213.208,-45.0247,153.577,266.464,138.94,-117.071,-37.3684,30.8426,17.5545,146.827,38.0667,206.432,417.57,167.021,-58.0353,-36.5659,-216.249,284.296,33.3528,-39.9528,-297.054,53.4817,-10.5187,-16.8489,86.4973,-12.762,-167.61,147.65,-372.646,55.0011,-106.608,-78.6338,11.3169,72.1251,-110.897,95.8686,255.876,136.562,-127.247,-71.7126,94.3983,-6.89491,130.835,-0.756083,-62.8501,-177.941,-19.1888,373.974,30.834,50.9273,82.5077,99.7677,-161.55,221.529,76.9109,-63.7333,103.091,55.8295,51.8715,106.838,275.047,89.5717,-177.713,51.4443,115.085,-40.0757,111.366,161.661,-192.465,-226.156,94.179,-235.569,-154.668,93.4699,25.0422,36.5528,-146.668,-86.8165,-191.508,-43.019,128.943,124.937,315.727,129.127,-10.7507,59.3192,299.364,109.825,-1.43678,-32.5913,-16.4832,-181.356,-224.47
0.301704,121.054,164.281,50.5223,175.947,-30.786,72.0391,-53.2073,46.5401,72.6882,-67.7757,-73.6345,125.273,-81.9318,38.9362,313.417,-262.583,49.7854,-250.323,7.74232,173.44,-42.2932,-204.702,-15.3681,222.614,-96.5485,227.007,-9.00976,100.681,234.933,-78.6431,-52.7369,186.67,257.216,23.0244,14.209,184.277,-302.05,222.096,-45.3463,161.49,253.5,152.516,-120.063,-35.2822,30.0446,23.2308,159.797,21.5123,205.24,408.447,140.115,-71.8573,-11.4033,-194.421,307.884,38.5137,-30.9569,-290.422,46.1115,-34.2076,-9.06843,71.115,-5.7865,-180.236,153.695,-359.186,61.5722,-127.98,-78.4827,16.3495,69.3991,-133.716,120.547,255.688,151.251,-163.245,-103.674,81.0829,-0.363013,153.275,-10.3058,-35.0198,-194.569,-22.1767,341.859,21.8038,63.1589,72.3936,66.1493,-171.008,174.755,62.4045,-36.052,101.727,59.3248,77.9082,91.798,264.953,110.497,-145.859,57.1944,89.7305,-47.6586,107.498,148.097,-163.57,-200.489,87.702,-248.42,-132.986,60.6277,25.2313,40.5358,-166.074,-81.1886,-201.898,-40.822,107.305,116.603,329.301,141.305,-24.9558,58.444,273.995,129.528,-0.200044,-20.1755,-25.3484,-178.593,-190.271
0.305777,127.296,154.243,65.9699,168.289,-70.5697,81.0696,-63.4975,33.8318,56.6098,-58.9215,-64.9904,133.871,-72.756,38.8618,310.285,-278.714,44.9054,-268.211,28.0118,160.942,-24.3302,-173.967,-18.8513,206.763,-96.0206,232.679,-22.9926,115.991,242.251,-42.281,-58.5441,178.375,261.66,42.0997,57.1828,189.775,-305.172,226.34,-50.496,161.081,235.251,160.992,-118.873,-34.1827,32.889,21.1242,173.877,4.323,195.53,395.888,116.045,-79.991,13.9379,-176.707,327.547,44.4924,-17.9606,-275.331,42.4076,-53.2982,2.31571,57.6442,4.6846,-191.519,162.616,-344.976,70.7605,-146.637,-78.6314,25.5764,64.8347,-144.825,141.371,263.384,161.408,-192.217,-132.542,65.2209,5.89486,164.765,-26.4646,-4.26496,-201.585,-17.5714,308.657,8.13394,83.6457,61.7626,35.6901,-174.215,128.812,37.6385,-12.9377,104.9,58.3357,97.8655,68.3643,250.299,131.277,-113.33,63.5382,69.3248,-55.2094,89.6082,127.381,-128.414,-171.014,77.4732,-254.058,-110.648,30.2746,25.1767,47.3211,-180.411,-68.6485,-204.539,-39.3393,87.1509,115.074,343.291,149.498,-38.0439,62.4109,245.931,147.646,6.57266,-6.189,-34.6639,-173.184,-156.647
0.309849,124.604,138.518,76.9014,161.476,-108.315,91.1275,-69.077,24.4077,39.8782,-45.0989,-52.734,133.193,-70.38,33.3499,312.379,-302.822,42.2528,-274.922,47.2009,143.769,0.438818,-145.506,-23.4038,193.938,-87.0526,231.441,-42.4449,134.216,244.704,-15.2667,-65.4088,162.357,257.803,56.9358,96.1578,187.36,-309.775,225.907,-59.6909,152.968,212.946,164.882,-116.803,-33.1168,39.6046,13.2142,189.412,-11.7008,178.376,380.827,95.6482,-82.936,35.6605,-164.331,341.82,52.3216,0.879925,-251.731,42.3853,-64.5432,16.0195,49.4499,17.8735,-200.782,172.341,-331.247,80.5254,-160.396,-79.5342,36.8858,55.5143,-145.105,158.537,281.007,163.819,-212.314,-159.121,46.4477,14.0589,167.611,-49.4817,26.3251,-197.876,-4.42111,276.889,-9.30911,108.713,51.9012,10.2183,-174.853,85.0449,6.54721,2.92758,111.945,53.733,113.16,36.1674,231.148,149.551,-83.9305,70.3228,58.1425,-61.3649,60.432,102.195,-87.7898,-140.009,64.4729,-254.707,-87.7008,4.52764,23.5089,56.1301,-187.269,-51.0514,-197.997,-39.8053,68.629,118.688,358.407,152.786,-50.5214,72.8133,215.679,164.446,14.4441,9.95497,-42.272,-165.999,-128.121
0.313922,113.706,119.665,81.2044,154.696,-141.153,104.888,-70.3713,20.1898,23.0856,-25.9685,-38.3267,123.376,-73.1712,22.4791,318.747,-332.037,41.4417,-271.497,62.8615,122.572,30.1907,-119.474,-29.0551,183.697,-68.2753,223.342,-65.4182,154.326,243.094,0.711943,-76.6629,139.392,247.459,63.6227,129.838,176.527,-315.108,221.918,-70.7698,139.978,187.859,164.548,-114.779,-31.354,49.0465,3.66212,206.811,-25.5052,157.115,363.403,80.2693,-83.2255,51.2663,-154.943,350.248,62.2086,26.5939,-221.125,47.1129,-65.8384,30.1255,48.8424,34.6142,-207.176,179.29,-318.359,87.4256,-167.959,-82.0235,47.3839,41.1807,-135.74,173.527,306.554,157.014,-221.546,-184.061,25.146,25.0535,165.348,-77.2779,54.3762,-183.743,17.1274,248.645,-27.9844,134.043,45.1298,-9.61271,-177.061,44.2464,-25.1724,10.7971,121.801,46.5786,125.358,-2.29797,207.502,164.193,-59.6371,78.7117,58.2598,-65.6512,24.2113,74.8678,-43.677,-109.818,50.3197,-253.025,-63.9656,-16.0434,17.4163,64.4563,-185.166,-30.825,-183.24,-43.6858,50.3358,124.725,375.133,151.328,-62.2961,89.6643,184.374,179.709,18.8125,27.2842,-45.6973,-157.764,-110.134
0.317994,97.5629,99.8839,79.3311,148.752,-166.485,123.66,-68.8991,24.8589,8.27039,-4.02804,-22.5622,106.922,-77.6174,6.89807,326.463,-361.708,40.7335,-259.739,72.0842,98.5309,61.9633,-95.765,-37.0239,174.957,-41.0279,209.352,-89.8486,175.383,238.469,6.31565,-94.2192,110.57,233.136,59.8927,157.079,158.285,-321.15,216.702,-81.2811,126.159,161.108,159.917,-110.889,-28.5912,59.12,-3.88996,225.822,-36.6585,136.324,341.507,71.436,-84.9115,60.4463,-144.304,352.734,73.9166,59.2163,-186.368,58.7211,-56.5614,42.9944,56.449,56.1536,-209.405,179.764,-305.993,88.8537,-168.885,-86.4619,54.1965,24.0104,-117.757,188.313,334.331,141.831,-217.497,-206.734,2.87125,38.3553,161.662,-106.395,78.6655,-161.505,45.9505,224.295,-45.2282,156.05,44.3657,-24.5129,-183.877,7.61183,-52.7105,12.1141,133.34,38.0053,135.749,-42.4531,179.066,175.977,-39.7572,90.3743,69.1467,-68.7394,-14.7362,47.8263,1.15616,-81.9853,36.8921,-251.559,-39.4492,-32.6395,4.81801,67.9829,-173.847,-10.0548,-163.093,-51.8831,30.5536,129.721,393.378,145.758,-72.46,111.199,154.182,192.016,16.4837,43.7175,-43.0476,-148.994,-107.606
0.322067,80.3974,80.9109,73.3959,145.592,-182.695,146.915,-66.4039,41.2128,-1.34662,17.4437,-5.91459,87.4221,-80.0721,-13.1098,331.944,-386.51,38.5795,-242.036,72.606,73.6909,92.6195,-73.8682,-48.3094,166.496,-9.77456,191.088,-113.162,195.555,231.404,4.2034,-116.749,77.2494,217.171,46.0828,176.808,135.546,-327.267,213.035,-89.0173,115.145,134.248,150.634,-101.749,-25.4321,67.4772,-8.2993,245.262,-44.8704,119.82,311.022,69.7691,-91.8567,64.2678,-128.278,348.843,87.438,97.8298,-151.162,80.1374,-38.6532,54.0274,71.1043,82.3852,-205.664,172.13,-293.584,84.6385,-163.769,-92.1583,55.1125,7.25578,-92.195,204.56,357.007,120.068,-198.959,-224.946,-18.149,52.4928,160.156,-133.005,98.9884,-134.471,80.338,201.954,-59.7982,172.85,52.4361,-36.1466,-196.414,-22.4422,-73.6559,9.41875,145.715,29.7459,145.301,-79.7438,145.852,187.125,-22.2048,106.375,88.0776,-72.0028,-53.0466,23.7759,43.5091,-56.9303,25.4883,-252.665,-14.6595,-47.6668,-13.8905,62.0374,-154.058,9.7445,-141.523,-63.4992,8.77829,131.043,412.216,136.878,-79.0474,134.355,127.344,199.058,6.26427,57.2283,-34.1534,-139.957,-122.881
0.326139,66.2729,64.0274,65.4655,146.911,-190.067,171.854,-64.4896,68.5775,-3.37109,36.5586,10.4832,68.0457,-78.4083,-37.3397,332.362,-402.005,34.8053,-220.727,64.079,51.3116,119.704,-53.6173,-62.3516,157.597,19.2833,171.002,-132.122,212.21,221.978,-1.90013,-140.404,41.4091,201.067,24.8839,188.119,112.416,-331.454,213.076,-92.2883,108.954,109.36,136.303,-84.8733,-23.7877,72.2321,-10.4721,263.597,-49.4645,108.843,268.29,74.408,-105.792,63.2255,-104.256,337.917,103.162,140.371,-119.335,114.015,-16.9449,63.5915,90.5884,111.043,-194.293,157.886,-280.318,77.1607,-154.426,-97.5081,49.6062,-6.39869,-60.5491,223.019,368.324,92.9629,-168.162,-235.674,-36.0483,66.0533,163.918,-153.812,116.069,-105.094,117.917,178.946,-72.4709,184.13,71.2157,-46.2827,-214.359,-42.8777,-87.8556,4.77072,158.408,24.436,154.292,-111.128,108.838,199.706,-5.643,126.605,111.039,-76.7356,-88.619,4.80466,79.6329,-33.9871,16.3562,-258.118,9.43583,-63.2852,-35.8207,43.8251,-126.912,26.8999,-122.987,-75.5573,-13.3562,128.405,429.681,125.837,-79.5769,155.712,105.07,198.97,-11.4307,66.8354,-21.0071,-130.673,-154.136
0.330212,57.9336,50.0635,56.5799,152.47,-191.051,193.608,-64.6274,102.444,1.38509,53.2963,24.8706,50.9612,-72.7284,-64.4532,326.073,-406.09,30.6213,-197.171,48.206,35.5035,141.863,-35.7895,-76.9123,148.612,40.5086,152.528,-143.771,223.432,210.09,-8.0528,-161.234,6.08046,185.536,0.203952,190.327,92.9445,-330.986,217.738,-90.1354,107.737,88.1466,116.575,-60.2652,-26.2343,72.776,-11.273,279.783,-49.7587,101.507,213.211,83.5305,-125.795,55.8692,-71.9761,319.88,121.088,183.358,-93.8923,161.031,2.63156,72.2713,112.77,138.37,-174.761,140.678,-264.872,70.0897,-143.288,-100.87,39.5038,-16.2288,-25.0266,243.441,365.096,61.2263,-130.85,-236.59,-49.9312,78.5771,174.24,-166.862,131.254,-74.1125,155.393,154.203,-85.3383,190.363,100.606,-55.7326,-237.517,-51.7581,-96.6787,-1.08058,170.906,24.8507,161.729,-134.775,69.9624,214.126,9.43933,149.874,133.917,-83.4881,-120.322,-8.74198,105.564,-11.9018,9.23677,-268.074,32.1147,-79.9197,-57.3364,13.6816,-93.2037,38.9861,-111.318,-84.3498,-32.2353,123.504,442.918,114.271,-72.6935,172.691,87.3584,191.827,-35.1031,72.3548,-7.0674,-120.933,-195.466
0.334284,56.0503,39.3675,47.3477,159.612,-189.043,206.585,-68.1633,136.693,8.16417,68.435,35.8825,37.4432,-65.0027,-91.1135,311.992,-399.726,27.7833,-171.478,27.6065,29.598,158.669,-21.5732,-89.2182,141.027,50.7826,139.123,-147.024,229.077,195.503,-10.7019,-176.772,-25.1392,170.865,-24.0271,183.036,80.414,-323.502,226.566,-82.2744,109.884,71.1947,91.3376,-30.2271,-34.209,69.9127,-10.2171,293.458,-46.1864,93.9401,150.642,95.5204,-149.687,39.4744,-33.7762,295.811,139.857,222.211,-76.6364,218.736,15.806,80.2369,136.181,160.742,-148.198,124.14,-245.713,66.6002,-131.824,-101.755,28.1014,-23.789,11.9023,264.826,347.599,26.2588,-93.5403,-227.522,-59.5375,90.4515,189.494,-171.737,145.723,-41.3136,188.652,129.204,-100.439,192.297,138.019,-63.6308,-266.814,-49.67,-102.477,-8.17279,182.445,32.4473,165.189,-149.099,31.4588,229.008,21.0337,174.214,153.848,-91.8288,-147.238,-18.1983,118.807,10.1051,4.45752,-280.45,53.8323,-96.0015,-76.2937,-25.4082,-53.5367,43.5108,-108.348,-87.1378,-43.5512,118.288,449.243,104.093,-59.7736,184.305,73.629,180.336,-62.392,73.3743,4.16089,-110.471,-238.949
