,FA_20240213_2H_E.coli_1.9.ser#1,FA_20240213_2H_E.coli_1.9.ser#2,FA_20240213_2H_E.coli_1.9.ser#3,FA_20240213_2H_E.coli_1.9.ser#4,FA_20240213_2H_E.coli_1.9.ser#5,FA_20240213_2H_E.coli_1.9.ser#6,FA_20240213_2H_E.coli_1.9.ser#7,FA_20240213_2H_E.coli_1.9.ser#8,FA_20240213_2H_E.coli_1.9.ser#9,FA_20240213_2H_E.coli_1.9.ser#10,FA_20240213_2H_E.coli_1.9.ser#11,FA_20240213_2H_E.coli_1.9.ser#12,FA_20240213_2H_E.coli_1.9.ser#13,FA_20240213_2H_E.coli_1.9.ser#14,FA_20240213_2H_E.coli_1.9.ser#15,FA_20240213_2H_E.coli_1.9.ser#16,FA_20240213_2H_E.coli_1.9.ser#17,FA_20240213_2H_E.coli_1.9.ser#18,FA_20240213_2H_E.coli_1.9.ser#19,FA_20240213_2H_E.coli_1.9.ser#20,FA_20240213_2H_E.coli_1.9.ser#21,FA_20240213_2H_E.coli_1.9.ser#22,FA_20240213_2H_E.coli_1.9.ser#23,FA_20240213_2H_E.coli_1.9.ser#24,FA_20240213_2H_E.coli_1.9.ser#25,FA_20240213_2H_E.coli_1.9.ser#26,FA_20240213_2H_E.coli_1.9.ser#27,FA_20240213_2H_E.coli_1.9.ser#28,FA_20240213_2H_E.coli_1.9.ser#29,FA_20240213_2H_E.coli_1.9.ser#30,FA_20240213_2H_E.coli_1.9.ser#31,FA_20240213_2H_E.coli_1.9.ser#32,FA_20240213_2H_E.coli_1.9.ser#33,FA_20240213_2H_E.coli_1.9.ser#34,FA_20240213_2H_E.coli_1.9.ser#35,FA_20240213_2H_E.coli_1.9.ser#36,FA_20240213_2H_E.coli_1.9.ser#37,FA_20240213_2H_E.coli_1.9.ser#38,FA_20240213_2H_E.coli_1.9.ser#39,FA_20240213_2H_E.coli_1.9.ser#40,FA_20240213_2H_E.coli_1.9.ser#41,FA_20240213_2H_E.coli_1.9.ser#42,FA_20240213_2H_E.coli_1.9.ser#43,FA_20240213_2H_E.coli_1.9.ser#44,FA_20240213_2H_E.coli_1.9.ser#45,FA_20240213_2H_E.coli_1.9.ser#46,FA_20240213_2H_E.coli_1.9.ser#47,FA_20240213_2H_E.coli_1.9.ser#48,FA_20240213_2H_E.coli_1.9.ser#49,FA_20240213_2H_E.coli_1.9.ser#50,FA_20240213_2H_E.coli_1.9.ser#51,FA_20240213_2H_E.coli_1.9.ser#52,FA_20240213_2H_E.coli_1.9.ser#53,FA_20240213_2H_E.coli_1.9.ser#54,FA_20240213_2H_E.coli_1.9.ser#55,FA_20240213_2H_E.coli_1.9.ser#56,FA_20240213_2H_E.coli_1.9.ser#57,FA_20240213_2H_E.coli_1.9.ser#58,FA_20240213_2H_E.coli_1.9.ser#59,FA_20240213_2H_E.coli_1.9.ser#60,FA_20240213_2H_E.coli_1.9.ser#61,FA_20240213_2H_E.coli_1.9.ser#62,FA_20240213_2H_E.coli_1.9.ser#63,FA_20240213_2H_E.coli_1.9.ser#64,FA_20240213_2H_E.coli_1.9.ser#65,FA_20240213_2H_E.coli_1.9.ser#66,FA_20240213_2H_E.coli_1.9.ser#67,FA_20240213_2H_E.coli_1.9.ser#68,FA_20240213_2H_E.coli_1.9.ser#69,FA_20240213_2H_E.coli_1.9.ser#70,FA_20240213_2H_E.coli_1.9.ser#71,FA_20240213_2H_E.coli_1.9.ser#72,FA_20240213_2H_E.coli_1.9.ser#73,FA_20240213_2H_E.coli_1.9.ser#74,FA_20240213_2H_E.coli_1.9.ser#75,FA_20240213_2H_E.coli_1.9.ser#76,FA_20240213_2H_E.coli_1.9.ser#77,FA_20240213_2H_E.coli_1.9.ser#78,FA_20240213_2H_E.coli_1.9.ser#79,FA_20240213_2H_E.coli_1.9.ser#80,FA_20240213_2H_E.coli_1.9.ser#81,FA_20240213_2H_E.coli_1.9.ser#82,FA_20240213_2H_E.coli_1.9.ser#83,FA_20240213_2H_E.coli_1.9.ser#84,FA_20240213_2H_E.coli_1.9.ser#85,FA_20240213_2H_E.coli_1.9.ser#86,FA_20240213_2H_E.coli_1.9.ser#87,FA_20240213_2H_E.coli_1.9.ser#88,FA_20240213_2H_E.coli_1.9.ser#89,FA_20240213_2H_E.coli_1.9.ser#90,FA_20240213_2H_E.coli_1.9.ser#91,FA_20240213_2H_E.coli_1.9.ser#92,FA_20240213_2H_E.coli_1.9.ser#93,FA_20240213_2H_E.coli_1.9.ser#94,FA_20240213_2H_E.coli_1.9.ser#95,FA_20240213_2H_E.coli_1.9.ser#96,FA_20240213_2H_E.coli_1.9.ser#97,FA_20240213_2H_E.coli_1.9.ser#98,FA_20240213_2H_E.coli_1.9.ser#99,FA_20240213_2H_E.coli_1.9.ser#100,FA_20240213_2H_E.coli_1.9.ser#101,FA_20240213_2H_E.coli_1.9.ser#102,FA_20240213_2H_E.coli_1.9.ser#103,FA_20240213_2H_E.coli_1.9.ser#104,FA_20240213_2H_E.coli_1.9.ser#105,FA_20240213_2H_E.coli_1.9.ser#106,FA_20240213_2H_E.coli_1.9.ser#107,FA_20240213_2H_E.coli_1.9.ser#108,FA_20240213_2H_E.coli_1.9.ser#109,FA_20240213_2H_E.coli_1.9.ser#110,FA_20240213_2H_E.coli_1.9.ser#111,FA_20240213_2H_E.coli_1.9.ser#112,FA_20240213_2H_E.coli_1.9.ser#113,FA_20240213_2H_E.coli_1.9.ser#114,FA_20240213_2H_E.coli_1.9.ser#115,FA_20240213_2H_E.coli_1.9.ser#116,FA_20240213_2H_E.coli_1.9.ser#117,FA_20240213_2H_E.coli_1.9.ser#118,FA_20240213_2H_E.coli_1.9.ser#119,FA_20240213_2H_E.coli_1.9.ser#120,FA_20240213_2H_E.coli_1.9.ser#121,FA_20240213_2H_E.coli_1.9.ser#122,FA_20240213_2H_E.coli_1.9.ser#123,FA_20240213_2H_E.coli_1.9.ser#124,FA_20240213_2H_E.coli_1.9.ser#125,FA_20240213_2H_E.coli_1.9.ser#126,FA_20240213_2H_E.coli_1.9.ser#127,FA_20240213_2H_E.coli_1.9.ser#128,FA_20240213_2H_E.coli_1.9.ser#129,FA_20240213_2H_E.coli_1.9.ser#130
1.27498,-160.059,-21.6980,183.586,35.5877,-316.531,149.141,211.246,-12.3981,-212.436,37.3959,-51.3316,-78.3787,-157.732,152.981,-130.390,7.27423,-60.3569,-40.5667,-214.703,-181.522,39.2344,-207.173,122.772,26.7264,-175.995,150.047,169.604,-375.894,-305.959,-92.9313,-41.1093,-156.216,-13.0112,103.889,59.8660,107.729,-163.063,-30.0059,209.239,-130.603,-47.9746,204.724,-89.9678,85.5429,-111.950,-152.689,186.417,-57.3079,-139.395,-6.29667,255.857,-22.1902,-128.672,56.8818,-265.000,208.216,-4.38708,240.329,-21.9620,45.2312,-159.799,133.268,-284.000,84.8076,-151.627,52.6584,-97.1067,37.8307,146.385,-205.101,-25.0503,7.46608,106.054,-307.701,-89.7018,-60.1043,114.923,-54.7189,101.377,10.8064,-227.274,101.382,-220.372,-62.7356,198.713,93.9743,-89.8880,-17.3948,232.501,-120.687,9.40212,1.76802,99.6402,-12.7696,-24.4348,267.457,44.1148,29.9349,226.214,-82.9458,-86.4200,94.3436,19.9107,50.5305,256.720,-10.4259,-15.8286,-93.5053,-101.121,24.6242,-249.755,104.702,-175.708,-45.3979,82.6845,68.4461,-33.2553,90.4021,17.9020,-138.880,-50.6460,-58.9541,77.4943,-121.463,-259.418,-230.468,94.7398,111.394,-94.8714,-388.785
1.27905,-155.073,-15.3435,168.590,52.2609,-305.185,135.005,231.748,-26.8228,-206.177,36.3259,-53.3815,-77.3053,-146.230,144.010,-118.677,29.3014,-31.2260,-38.7693,-222.468,-182.800,16.2986,-244.464,110.718,25.6326,-185.640,161.289,177.319,-348.266,-321.258,-93.8836,-54.4585,-160.464,1.02648,82.2282,57.4285,81.8056,-140.781,-12.9387,197.539,-147.092,-89.5193,196.052,-88.9254,91.4106,-91.2479,-145.384,191.715,-63.1951,-148.837,-35.6631,246.172,-40.4891,-118.034,15.1597,-270.998,194.734,-12.2160,248.251,3.31748,46.6134,-209.366,139.067,-261.766,77.7724,-162.209,49.9193,-138.274,42.8341,145.099,-213.281,29.3095,30.1878,106.626,-354.000,-84.5939,-61.5992,152.827,-58.0063,97.3957,22.4662,-235.444,85.3734,-198.056,-57.3485,186.527,82.1284,-89.8985,6.34054,224.002,-102.802,16.3596,27.8555,99.7440,-7.42967,-47.1930,257.239,21.8836,1.26391,232.861,-105.907,-67.1384,101.997,-11.0873,14.1491,261.241,-25.0879,-20.1946,-84.8196,-80.1651,-5.84073,-240.216,120.657,-181.050,-40.9120,39.9209,60.0454,-47.1438,95.3911,15.8505,-163.594,-47.4792,-50.1431,80.7277,-105.021,-248.149,-212.911,99.2838,115.563,-98.2723,-389.367
1.28313,-147.270,-17.2115,150.808,72.3459,-294.135,110.365,253.376,-37.7025,-202.162,30.9032,-53.2552,-65.8888,-129.936,134.008,-110.564,49.3002,-4.84266,-39.1123,-223.203,-177.326,4.20722,-285.251,93.0074,24.8219,-193.149,173.801,176.410,-321.366,-331.924,-101.018,-66.1809,-159.324,13.5630,66.4651,50.8771,57.6864,-113.008,5.77088,181.917,-159.783,-119.222,189.690,-85.8344,91.1566,-67.6520,-135.696,199.453,-71.7656,-162.787,-70.2399,229.252,-58.2170,-104.914,-23.2613,-271.483,183.434,-22.9989,245.301,20.2070,47.0451,-256.989,140.253,-244.708,69.4608,-165.944,42.4445,-171.170,53.8977,132.003,-223.688,81.4146,52.3035,99.3348,-402.378,-81.2319,-62.1800,181.928,-61.8023,90.2057,33.2175,-249.189,70.2577,-168.541,-47.2895,179.673,65.3534,-92.2455,17.1350,211.856,-77.2095,24.7370,57.1725,92.6241,-8.79873,-67.1180,243.135,-0.301087,-17.4472,236.687,-123.741,-50.1992,107.784,-46.2698,-18.9028,258.758,-34.5586,-14.9018,-82.4467,-58.1309,-32.9349,-226.244,136.847,-176.962,-32.1719,4.26727,51.4212,-60.6530,88.8852,12.8516,-192.727,-40.8575,-52.6178,90.9255,-88.4890,-233.277,-194.889,99.6591,114.090,-93.4396,-386.040
1.28720,-137.846,-28.1051,129.410,96.7460,-284.329,78.3142,273.732,-42.1534,-201.412,23.2116,-50.3260,-45.1419,-111.165,123.531,-107.777,67.5546,14.3717,-41.7643,-218.469,-166.993,4.75329,-324.015,70.1502,24.4373,-197.128,185.333,166.611,-296.863,-337.596,-111.657,-77.2976,-152.980,23.3759,60.4831,41.9614,39.7547,-83.8926,23.0074,164.478,-166.972,-138.085,184.284,-82.5175,82.0661,-42.3548,-125.624,208.906,-84.2482,-183.980,-104.857,206.868,-75.3313,-89.9298,-57.1090,-264.388,177.484,-37.2776,229.169,27.2651,43.8783,-299.295,138.888,-230.818,60.5421,-165.305,31.3615,-196.190,66.9041,107.602,-236.009,129.506,69.6901,83.2325,-447.757,-78.8861,-63.0284,198.001,-63.7947,80.8209,44.8077,-264.348,56.3973,-136.906,-32.5656,179.144,43.6545,-95.8907,16.6477,198.345,-47.0491,34.8783,88.3970,81.8315,-15.3132,-84.8856,228.239,-23.2681,-23.2754,233.097,-134.015,-36.0911,109.935,-80.4709,-48.0024,250.670,-39.7380,-0.275319,-87.7090,-36.9910,-56.8301,-208.285,154.497,-165.428,-20.1070,-21.9148,43.5620,-75.9207,72.5796,6.88180,-226.199,-28.9845,-65.3010,108.006,-72.9056,-212.650,-178.459,97.2578,104.873,-79.2754,-380.224
1.29127,-127.874,-47.7222,104.401,123.389,-275.120,43.1149,290.314,-39.2041,-203.294,14.4243,-44.4101,-18.2928,-92.2502,113.366,-109.716,85.8434,24.0363,-47.2709,-210.212,-155.147,16.9369,-355.322,44.0097,22.4624,-196.448,192.950,150.225,-274.668,-337.939,-123.104,-89.3165,-142.454,29.2080,65.9645,31.9522,31.7108,-57.2934,35.7091,147.454,-167.004,-148.132,177.097,-81.5727,62.9274,-15.4744,-117.886,219.574,-100.555,-213.572,-134.823,182.050,-91.6843,-73.5637,-84.9981,-249.236,178.796,-54.2559,200.198,23.2083,34.2746,-332.152,135.909,-217.365,51.0500,-163.695,19.8023,-215.163,77.9641,74.4609,-249.571,172.107,80.9394,58.3524,-483.772,-77.6434,-63.0920,198.751,-62.5233,70.6113,58.7189,-276.780,43.8640,-107.960,-14.6057,184.164,18.3964,-99.7159,9.06658,185.256,-15.2169,47.0903,120.711,70.0622,-24.0066,-101.083,215.863,-47.7208,-16.5391,220.163,-134.231,-25.3736,105.853,-108.528,-74.0644,237.911,-43.1459,20.9843,-100.517,-18.5929,-79.1632,-187.222,174.461,-147.979,-5.46182,-37.9371,35.6200,-93.7043,50.8035,-2.95266,-262.676,-11.1944,-86.1019,129.462,-58.9660,-184.631,-163.506,94.0415,87.7431,-56.4358,-372.084
1.29534,-117.455,-74.9766,76.3616,147.479,-264.865,8.18968,300.492,-30.1608,-206.376,4.74333,-35.3170,10.3571,-75.8362,104.593,-114.312,105.761,24.4731,-56.3817,-200.848,-144.565,37.4396,-375.240,16.9780,16.6481,-191.135,194.015,130.471,-253.994,-332.222,-133.520,-103.243,-129.917,30.8536,81.4971,21.6411,35.6621,-35.8015,42.7201,132.349,-158.763,-151.518,165.286,-86.1475,34.6963,12.6203,-114.593,231.510,-118.940,-250.098,-157.467,157.875,-107.326,-56.4325,-106.083,-227.732,187.091,-71.6218,161.174,5.73947,16.0847,-352.417,130.686,-202.287,40.8765,-164.236,11.3541,-229.480,84.8226,37.3788,-263.006,207.468,87.3049,25.6467,-504.749,-77.8181,-60.4823,184.110,-58.1940,61.3509,75.0068,-284.201,33.1031,-84.4266,4.41460,192.503,-8.30776,-102.457,-0.297896,174.013,16.2411,61.3478,152.778,58.2037,-31.7185,-116.376,208.641,-73.6270,0.146197,199.325,-122.850,-18.2973,92.7901,-127.326,-98.1004,220.890,-47.9679,44.1764,-119.380,-4.43817,-101.088,-165.191,195.586,-125.491,10.8219,-45.1989,26.0077,-112.290,28.5798,-15.5309,-299.007,11.5747,-112.722,151.117,-46.9531,-148.981,-149.098,91.5017,64.3682,-27.9314,-360.506
1.29942,-105.446,-107.605,46.0423,163.241,-252.190,-24.5698,301.757,-16.9992,-208.463,-5.77566,-22.3964,37.0727,-64.8132,98.4515,-119.275,127.016,18.0709,-69.3847,-192.999,-135.748,61.4783,-382.335,-8.69378,6.62097,-182.755,187.442,110.023,-234.265,-319.420,-142.422,-119.250,-118.211,29.8085,103.442,11.9456,51.3835,-20.5366,44.9111,119.872,-142.578,-150.021,147.588,-99.4570,0.132690,40.6260,-116.692,245.028,-136.723,-290.126,-172.264,136.392,-122.950,-39.4973,-121.036,-203.133,199.428,-86.1762,116.084,-27.6960,-11.3745,-359.067,121.813,-185.296,30.1725,-168.911,8.32274,-238.901,87.4593,2.78695,-274.253,233.147,91.1650,-13.2507,-507.599,-78.9650,-54.5512,155.991,-53.1179,55.1146,91.6063,-286.999,25.0566,-66.9283,22.3587,201.661,-34.3164,-102.690,-6.13509,166.362,46.1223,76.9847,182.564,45.9126,-36.2949,-131.549,207.536,-100.398,23.1524,174.309,-100.516,-13.5822,68.7489,-137.124,-119.986,199.787,-56.6200,63.8723,-141.935,4.56848,-122.177,-145.109,214.560,-98.6008,27.2811,-47.0373,14.3822,-128.378,9.91374,-28.4579,-330.429,36.9876,-142.002,168.852,-37.0489,-107.791,-135.403,90.0840,37.3007,1.43990,-344.103
1.30349,-89.8627,-141.686,14.2772,166.132,-236.934,-54.1459,292.458,-0.813565,-206.460,-16.8342,-4.46142,59.4620,-61.2549,95.9989,-123.341,147.073,7.58807,-85.5370,-188.862,-126.504,84.0460,-377.702,-31.0694,-5.69698,-173.657,174.420,90.7352,-215.290,-299.023,-150.743,-136.289,-109.453,28.9806,128.020,4.31644,76.9408,-11.4841,43.9954,110.414,-120.623,-144.856,125.297,-123.301,-37.3763,66.7394,-124.215,260.119,-151.565,-329.583,-179.821,118.268,-139.817,-24.2054,-132.073,-178.746,211.031,-95.2095,68.6401,-77.5463,-47.2945,-353.135,108.206,-167.769,19.4174,-178.332,10.9032,-241.926,87.6142,-22.9598,-281.170,246.677,94.2903,-56.1114,-493.136,-79.3714,-46.7755,117.807,-51.2100,54.0375,104.622,-287.800,20.4906,-55.6103,37.4908,209.885,-57.4241,-99.5539,-4.32369,164.655,73.8829,92.5884,208.228,33.0169,-36.9288,-146.992,211.583,-126.965,48.8455,149.089,-70.5837,-8.03430,33.4905,-141.076,-138.416,174.929,-69.7833,75.8533,-165.563,8.18174,-141.045,-129.446,227.191,-68.0980,42.2422,-47.7057,2.55667,-138.957,-2.72598,-39.8717,-351.968,62.4467,-168.763,180.430,-30.2329,-65.9606,-124.102,89.2083,8.33825,26.8172,-322.608
1.30756,-68.8027,-172.057,-17.9061,154.744,-220.102,-79.7550,272.735,17.9885,-197.331,-28.4295,19.5863,76.3501,-65.5405,98.0844,-126.945,162.408,-5.25629,-103.284,-189.547,-113.092,101.312,-364.221,-48.5176,-17.4311,-165.509,157.961,73.9601,-197.053,-272.116,-160.377,-152.045,-103.616,32.0799,153.031,0.326539,109.931,-7.75693,41.3348,104.153,-96.1388,-136.267,102.020,-156.284,-74.9450,89.1771,-136.482,275.940,-162.585,-364.531,-180.785,103.266,-158.723,-12.4610,-141.662,-156.658,217.310,-97.9218,21.6920,-140.339,-89.6509,-336.825,89.6752,-151.504,9.37245,-191.836,17.5475,-237.087,87.6116,-35.9024,-282.443,247.132,96.9974,-99.8876,-466.098,-76.6194,-39.8216,73.6728,-56.5398,59.6414,109.547,-289.873,19.1849,-51.7378,48.0653,216.335,-75.2768,-93.5047,6.84909,171.029,99.3636,106.084,228.579,20.2418,-33.4659,-162.491,218.866,-151.394,74.1098,126.354,-38.3957,1.75161,-10.8383,-143.060,-152.134,147.495,-86.2021,78.6119,-188.206,6.74447,-156.867,-119.725,229.949,-34.7869,54.6051,-50.9021,-6.78525,-142.420,-8.18366,-49.7015,-360.511,86.2635,-186.430,186.371,-28.4859,-30.1507,-117.132,87.7586,-22.7487,44.9412,-297.605
1.31164,-41.3809,-193.703,-49.4497,131.882,-203.182,-101.152,245.141,38.6394,-179.763,-41.3884,49.4622,87.6405,-76.8875,105.789,-132.099,170.451,-19.7939,-121.221,-194.708,-92.3408,111.633,-345.659,-60.0104,-26.5636,-158.579,141.521,60.5342,-179.382,-241.575,-173.287,-164.040,-98.2517,42.6209,178.037,0.803263,147.816,-7.39022,37.4149,100.668,-72.4352,-123.467,82.2868,-193.688,-110.457,106.268,-152.104,290.776,-170.768,-391.317,-175.527,90.8643,-178.728,-6.38102,-151.129,-137.341,215.724,-96.1574,-22.0715,-208.991,-135.177,-312.770,66.9069,-137.411,1.00004,-207.389,25.8603,-224.031,89.3691,-35.9762,-278.040,236.224,98.6055,-140.764,-433.473,-68.8263,-35.9537,27.3498,-71.7144,71.7664,102.877,-295.182,19.7075,-57.5002,51.9784,220.475,-86.1795,-86.0999,26.3535,185.948,122.368,115.341,242.405,8.80020,-25.5298,-177.740,227.751,-170.878,96.5543,107.244,-9.53303,17.0426,-59.8561,-145.362,-161.503,120.212,-103.009,73.5170,-208.782,1.09123,-169.855,-116.930,221.143,0.687113,64.3542,-58.9509,-12.3568,-138.309,-6.51154,-58.9372,-356.169,107.872,-189.788,189.335,-33.4186,-6.45900,-115.501,84.9583,-57.7521,54.9255,-271.853
