,FA_20240301_2H_yeast_1.3.2.1r#1,FA_20240301_2H_yeast_1.3.3.1r#2,FA_20240301_2H_yeast_1.3.4.1r#3,FA_20240301_2H_yeast_1.3.5.1r#4,FA_20240301_2H_yeast_1.3.6.1r#5,FA_20240301_2H_yeast_1.3.7.1r#6,FA_20240301_2H_yeast_1.3.8.1r#7,FA_20240301_2H_yeast_1.3.9.1r#8,FA_20240301_2H_yeast_1.3.10.1r#9,FA_20240301_2H_yeast_1.3.11.1r#10,FA_20240301_2H_yeast_1.3.12.1r#11,FA_20240301_2H_yeast_1.3.13.1r#12,FA_20240301_2H_yeast_1.3.14.1r#13,FA_20240301_2H_yeast_1.3.15.1r#14,FA_20240301_2H_yeast_1.3.16.1r#15,FA_20240301_2H_yeast_1.3.17.1r#16,FA_20240301_2H_yeast_1.3.18.1r#17,FA_20240301_2H_yeast_1.3.19.1r#18,FA_20240301_2H_yeast_1.3.20.1r#19,FA_20240301_2H_yeast_1.3.21.1r#20,FA_20240301_2H_yeast_1.3.22.1r#21,FA_20240301_2H_yeast_1.3.23.1r#22,FA_20240301_2H_yeast_1.3.24.1r#23,FA_20240301_2H_yeast_1.3.25.1r#24,FA_20240301_2H_yeast_1.3.26.1r#25,FA_20240301_2H_yeast_1.3.27.1r#26,FA_20240301_2H_yeast_1.3.28.1r#27,FA_20240301_2H_yeast_1.3.29.1r#28,FA_20240301_2H_yeast_1.3.30.1r#29,FA_20240301_2H_yeast_1.3.31.1r#30,FA_20240301_2H_yeast_1.3.32.1r#31,FA_20240301_2H_yeast_1.3.33.1r#32,FA_20240301_2H_yeast_1.3.34.1r#33,FA_20240301_2H_yeast_1.3.35.1r#34,FA_20240301_2H_yeast_1.3.36.1r#35,FA_20240301_2H_yeast_1.3.37.1r#36,FA_20240301_2H_yeast_1.3.38.1r#37,FA_20240301_2H_yeast_1.3.39.1r#38,FA_20240301_2H_yeast_1.3.40.1r#39,FA_20240301_2H_yeast_1.3.41.1r#40,FA_20240301_2H_yeast_1.3.42.1r#41,FA_20240301_2H_yeast_1.3.43.1r#42,FA_20240301_2H_yeast_1.3.44.1r#43,FA_20240301_2H_yeast_1.3.45.1r#44,FA_20240301_2H_yeast_1.3.46.1r#45,FA_20240301_2H_yeast_1.3.47.1r#46,FA_20240301_2H_yeast_1.3.48.1r#47,FA_20240301_2H_yeast_1.3.49.1r#48,FA_20240301_2H_yeast_1.3.50.1r#49,FA_20240301_2H_yeast_1.3.51.1r#50,FA_20240301_2H_yeast_1.3.52.1r#51,FA_20240301_2H_yeast_1.3.53.1r#52,FA_20240301_2H_yeast_1.3.54.1r#53,FA_20240301_2H_yeast_1.3.55.1r#54,FA_20240301_2H_yeast_1.3.56.1r#55,FA_20240301_2H_yeast_1.3.57.1r#56,FA_20240301_2H_yeast_1.3.58.1r#57,FA_20240301_2H_yeast_1.3.59.1r#58,FA_20240301_2H_yeast_1.3.60.1r#59
-0.351971,-109799,-983052,-188755,2.32339e+6,885394,3.72020e+6,-100961,4.38930e+6,6.14196e+6,2.74132e+6,2.35687e+6,4.84342e+6,1.60650e+6,-693595,2.81741e+6,-942939,2.90471e+6,4.37983e+6,1.09747e+6,785539,1.62229e+6,-59563.9,1.74424e+6,-1.42304e+6,2.47817e+6,2.08454e+6,6.87032e+6,1.07085e+6,508788,5.98507e+6,-2.38487e+6,2.11157e+6,1.75346e+6,1.93674e+6,3.13389e+6,1.43759e+6,1.08986e+6,3.45155e+6,268050,1.54103e+6,3.29338e+6,-310.747,-1.62217e+6,1.04837e+6,43245.1,744913,4.68455e+6,482863,1.29414e+6,959710,-3.68262e+6,393532,1.09597e+6,1.98568e+6,3.23065e+6,1.31612e+6,-9577.71,1.25778e+6,4.71793e+6
-0.349935,-38766.9,-1.06786e+6,-247231,2.23235e+6,875379,3.69233e+6,-153406,4.50815e+6,6.14428e+6,2.61343e+6,2.37459e+6,5.03784e+6,1.62383e+6,-633765,2.71531e+6,-857337,2.92857e+6,4.27792e+6,995395,891452,1.63968e+6,200771,1.73028e+6,-1.37195e+6,2.31376e+6,2.26537e+6,7.03791e+6,1.31104e+6,478082,5.94429e+6,-2.23755e+6,2.07129e+6,1.87110e+6,1.85960e+6,3.19515e+6,1.42105e+6,1.08467e+6,3.45177e+6,215334,1.52222e+6,2.99199e+6,212383,-1.56563e+6,1.05623e+6,83750.2,663862,4.80557e+6,364839,1.45656e+6,923130,-3.84443e+6,305089,1.10324e+6,1.98459e+6,3.14109e+6,1.42030e+6,-116078,1.23532e+6,4.69795e+6
-0.347898,28990.2,-1.14044e+6,-306640,2.14926e+6,873063,3.65686e+6,-201624,4.62386e+6,6.13660e+6,2.47768e+6,2.38477e+6,5.22630e+6,1.61482e+6,-564064,2.60704e+6,-768297,2.94561e+6,4.17688e+6,897889,985794,1.66446e+6,471704,1.70695e+6,-1.31947e+6,2.14664e+6,2.43146e+6,7.19720e+6,1.55794e+6,458835,5.88891e+6,-2.09598e+6,2.02534e+6,1.96543e+6,1.78187e+6,3.26705e+6,1.40395e+6,1.06938e+6,3.47026e+6,159583,1.50350e+6,2.68124e+6,432548,-1.51016e+6,1.06789e+6,128514,574347,4.91892e+6,250548,1.61771e+6,883097,-3.98472e+6,226852,1.11989e+6,1.98568e+6,3.06689e+6,1.54689e+6,-217934,1.20451e+6,4.68051e+6
-0.345862,92347.8,-1.20123e+6,-367469,2.07477e+6,876810,3.61502e+6,-243284,4.73805e+6,6.11895e+6,2.33448e+6,2.38594e+6,5.40752e+6,1.57814e+6,-486946,2.49106e+6,-678086,2.95643e+6,4.07836e+6,805938,1.06824e+6,1.69672e+6,750073,1.67460e+6,-1.26459e+6,1.97992e+6,2.58008e+6,7.34570e+6,1.80754e+6,450832,5.81595e+6,-1.96144e+6,1.97180e+6,2.03598e+6,1.70422e+6,3.34825e+6,1.38816e+6,1.04539e+6,3.50464e+6,101630,1.48653e+6,2.36440e+6,655176,-1.45805e+6,1.08542e+6,176374,479290,5.02203e+6,141600,1.77796e+6,840132,-4.10202e+6,158888,1.14659e+6,1.99246e+6,3.00916e+6,1.69261e+6,-314683,1.16785e+6,4.66652e+6
-0.343826,150216,-1.25111e+6,-430149,2.00889e+6,885053,3.56800e+6,-276310,4.85240e+6,6.09132e+6,2.18421e+6,2.37694e+6,5.58044e+6,1.51318e+6,-404579,2.36601e+6,-588347,2.96160e+6,3.98394e+6,720446,1.13870e+6,1.73657e+6,1.03221e+6,1.63348e+6,-1.20634e+6,1.81676e+6,2.70876e+6,7.48101e+6,2.05538e+6,453356,5.72341e+6,-1.83554e+6,1.90894e+6,2.08276e+6,1.62748e+6,3.43665e+6,1.37573e+6,1.01483e+6,3.55193e+6,42148.5,1.47277e+6,2.04516e+6,875705,-1.41105e+6,1.11043e+6,225855,381573,5.11250e+6,39721.3,1.93772e+6,794905,-4.19536e+6,100927,1.18368e+6,2.00842e+6,2.96837e+6,1.85389e+6,-406085,1.12821e+6,4.65701e+6
-0.341790,201623,-1.29135e+6,-494879,1.95106e+6,896414,3.51691e+6,-298884,4.96843e+6,6.05371e+6,2.02719e+6,2.35706e+6,5.74417e+6,1.42016e+6,-318694,2.23090e+6,-500087,2.96157e+6,3.89516e+6,642185,1.19725e+6,1.78402e+6,1.31407e+6,1.58368e+6,-1.14394e+6,1.66026e+6,2.81537e+6,7.60103e+6,2.29677e+6,465238,5.61045e+6,-1.72009e+6,1.83545e+6,2.10605e+6,1.55280e+6,3.52959e+6,1.36869e+6,980394,3.60883e+6,-18282.4,1.46335e+6,1.72738e+6,1.09022e+6,-1.37025e+6,1.14403e+6,275253,283926,5.18823e+6,-53298.9,2.09729e+6,748167,-4.26430e+6,52396.7,1.23116e+6,2.03689e+6,2.94441e+6,2.02714e+6,-492059,1.08852e+6,4.65304e+6
-0.339753,245803,-1.32350e+6,-561590,1.90022e+6,909826,3.46262e+6,-309397,5.08721e+6,6.00607e+6,1.86376e+6,2.32606e+6,5.89797e+6,1.30008e+6,-230581,2.08536e+6,-413748,2.95652e+6,3.81335e+6,571772,1.24408e+6,1.83899e+6,1.59139e+6,1.52529e+6,-1.07699e+6,1.51324e+6,2.89824e+6,7.70406e+6,2.52711e+6,484876,5.47755e+6,-1.61686e+6,1.75057e+6,2.10626e+6,1.48179e+6,3.62410e+6,1.36885e+6,945125,3.67188e+6,-79029.5,1.45903e+6,1.41505e+6,1.29564e+6,-1.33610e+6,1.18686e+6,322762,188827,5.24744e+6,-135680,2.25683e+6,700688,-4.30900e+6,12432.6,1.28864e+6,2.08072e+6,2.93668e+6,2.20906e+6,-572559,1.05149e+6,4.65552e+6
-0.337717,282367,-1.34925e+6,-629935,1.85500e+6,924590,3.40579e+6,-306468,5.20925e+6,5.94837e+6,1.69427e+6,2.28426e+6,6.04128e+6,1.15462e+6,-141136,1.92977e+6,-329348,2.94653e+6,3.73959e+6,509623,1.27947e+6,1.90127e+6,1.85989e+6,1.45846e+6,-1.00551e+6,1.37806e+6,2.95621e+6,7.78889e+6,2.74223e+6,510324,5.32651e+6,-1.52736e+6,1.65428e+6,2.08371e+6,1.41647e+6,3.71711e+6,1.37773e+6,912174,3.73769e+6,-139352,1.46019e+6,1.11211e+6,1.48981e+6,-1.30841e+6,1.23914e+6,366631,98455.4,5.28877e+6,-205757,2.41619e+6,653226,-4.33018e+6,-20033.1,1.35532e+6,2.14215e+6,2.94417e+6,2.39680e+6,-647468,1.01931e+6,4.66504e+6
-0.335681,311351,-1.37029e+6,-699344,1.81389e+6,940401,3.34681e+6,-288870,5.33432e+6,5.88065e+6,1.51918e+6,2.23260e+6,6.17378e+6,986062,-50962.2,1.76533e+6,-246593,2.93156e+6,3.67469e+6,455901,1.30380e+6,1.97043e+6,2.11545e+6,1.38354e+6,-930012,1.25654e+6,2.98879e+6,7.85487e+6,2.93862e+6,539353,5.16029e+6,-1.45251e+6,1.54739e+6,2.03853e+6,1.35917e+6,3.80571e+6,1.39646e+6,884574,3.80315e+6,-198337,1.46682e+6,822244,1.67150e+6,-1.28652e+6,1.30068e+6,405336,14650.5,5.31121e+6,-262099,2.57484e+6,606502,-4.32918e+6,-46172.0,1.43001e+6,2.22259e+6,2.96548e+6,2.58801e+6,-716498,993451,4.68164e+6
-0.333645,333347,-1.38812e+6,-769130,1.77542e+6,957361,3.28581e+6,-255545,5.46149e+6,5.80313e+6,1.33910e+6,2.17254e+6,6.29528e+6,797123,39485.3,1.59407e+6,-165048,2.91170e+6,3.61920e+6,410566,1.31759e+6,2.04591e+6,2.35434e+6,1.30120e+6,-851446,1.14984e+6,2.99615e+6,7.90189e+6,3.11362e+6,569556,4.98281e+6,-1.39241e+6,1.43151e+6,1.97057e+6,1.31235e+6,3.88731e+6,1.42579e+6,865035,3.86547e+6,-254903,1.47859e+6,548793,1.84034e+6,-1.26938e+6,1.37099e+6,437763,-61103.6,5.31411e+6,-303590,2.73183e+6,561245,-4.30781e+6,-67156.6,1.51116e+6,2.32254e+6,2.99891e+6,2.78081e+6,-779067,974577,4.70474e+6
