2H chemical shift (ppm),FA_20240228_2H_E.coli_1.4.ser#1,FA_20240228_2H_E.coli_1.4.ser#2,FA_20240228_2H_E.coli_1.4.ser#3,FA_20240228_2H_E.coli_1.4.ser#4,FA_20240228_2H_E.coli_1.4.ser#5,FA_20240228_2H_E.coli_1.4.ser#6,FA_20240228_2H_E.coli_1.4.ser#7,FA_20240228_2H_E.coli_1.4.ser#8,FA_20240228_2H_E.coli_1.4.ser#9,FA_20240228_2H_E.coli_1.4.ser#10,FA_20240228_2H_E.coli_1.4.ser#11,FA_20240228_2H_E.coli_1.4.ser#12,FA_20240228_2H_E.coli_1.4.ser#13,FA_20240228_2H_E.coli_1.4.ser#14,FA_20240228_2H_E.coli_1.4.ser#15,FA_20240228_2H_E.coli_1.4.ser#16,FA_20240228_2H_E.coli_1.4.ser#17,FA_20240228_2H_E.coli_1.4.ser#18,FA_20240228_2H_E.coli_1.4.ser#19,FA_20240228_2H_E.coli_1.4.ser#20,FA_20240228_2H_E.coli_1.4.ser#21,FA_20240228_2H_E.coli_1.4.ser#22,FA_20240228_2H_E.coli_1.4.ser#23,FA_20240228_2H_E.coli_1.4.ser#24,FA_20240228_2H_E.coli_1.4.ser#25,FA_20240228_2H_E.coli_1.4.ser#26,FA_20240228_2H_E.coli_1.4.ser#27,FA_20240228_2H_E.coli_1.4.ser#28,FA_20240228_2H_E.coli_1.4.ser#29,FA_20240228_2H_E.coli_1.4.ser#30,FA_20240228_2H_E.coli_1.4.ser#31,FA_20240228_2H_E.coli_1.4.ser#32,FA_20240228_2H_E.coli_1.4.ser#33,FA_20240228_2H_E.coli_1.4.ser#34,FA_20240228_2H_E.coli_1.4.ser#35,FA_20240228_2H_E.coli_1.4.ser#36,FA_20240228_2H_E.coli_1.4.ser#37,FA_20240228_2H_E.coli_1.4.ser#38,FA_20240228_2H_E.coli_1.4.ser#39,FA_20240228_2H_E.coli_1.4.ser#40,FA_20240228_2H_E.coli_1.4.ser#41,FA_20240228_2H_E.coli_1.4.ser#42,FA_20240228_2H_E.coli_1.4.ser#43,FA_20240228_2H_E.coli_1.4.ser#44,FA_20240228_2H_E.coli_1.4.ser#45,FA_20240228_2H_E.coli_1.4.ser#46,FA_20240228_2H_E.coli_1.4.ser#47,FA_20240228_2H_E.coli_1.4.ser#48,FA_20240228_2H_E.coli_1.4.ser#49,FA_20240228_2H_E.coli_1.4.ser#50,FA_20240228_2H_E.coli_1.4.ser#51,FA_20240228_2H_E.coli_1.4.ser#52,FA_20240228_2H_E.coli_1.4.ser#53,FA_20240228_2H_E.coli_1.4.ser#54,FA_20240228_2H_E.coli_1.4.ser#55,FA_20240228_2H_E.coli_1.4.ser#56,FA_20240228_2H_E.coli_1.4.ser#57,FA_20240228_2H_E.coli_1.4.ser#58,FA_20240228_2H_E.coli_1.4.ser#59,FA_20240228_2H_E.coli_1.4.ser#60,FA_20240228_2H_E.coli_1.4.ser#61,FA_20240228_2H_E.coli_1.4.ser#62,FA_20240228_2H_E.coli_1.4.ser#63,FA_20240228_2H_E.coli_1.4.ser#64,FA_20240228_2H_E.coli_1.4.ser#65,FA_20240228_2H_E.coli_1.4.ser#66,FA_20240228_2H_E.coli_1.4.ser#67,FA_20240228_2H_E.coli_1.4.ser#68,FA_20240228_2H_E.coli_1.4.ser#69,FA_20240228_2H_E.coli_1.4.ser#70,FA_20240228_2H_E.coli_1.4.ser#71,FA_20240228_2H_E.coli_1.4.ser#72,FA_20240228_2H_E.coli_1.4.ser#73,FA_20240228_2H_E.coli_1.4.ser#74,FA_20240228_2H_E.coli_1.4.ser#75,FA_20240228_2H_E.coli_1.4.ser#76,FA_20240228_2H_E.coli_1.4.ser#77,FA_20240228_2H_E.coli_1.4.ser#78,FA_20240228_2H_E.coli_1.4.ser#79,FA_20240228_2H_E.coli_1.4.ser#80,FA_20240228_2H_E.coli_1.4.ser#81,FA_20240228_2H_E.coli_1.4.ser#82,FA_20240228_2H_E.coli_1.4.ser#83,FA_20240228_2H_E.coli_1.4.ser#84,FA_20240228_2H_E.coli_1.4.ser#85,FA_20240228_2H_E.coli_1.4.ser#86,FA_20240228_2H_E.coli_1.4.ser#87,FA_20240228_2H_E.coli_1.4.ser#88,FA_20240228_2H_E.coli_1.4.ser#89,FA_20240228_2H_E.coli_1.4.ser#90,FA_20240228_2H_E.coli_1.4.ser#91,FA_20240228_2H_E.coli_1.4.ser#92,FA_20240228_2H_E.coli_1.4.ser#93,FA_20240228_2H_E.coli_1.4.ser#94,FA_20240228_2H_E.coli_1.4.ser#95,FA_20240228_2H_E.coli_1.4.ser#96,FA_20240228_2H_E.coli_1.4.ser#97,FA_20240228_2H_E.coli_1.4.ser#98,FA_20240228_2H_E.coli_1.4.ser#99,FA_20240228_2H_E.coli_1.4.ser#100,FA_20240228_2H_E.coli_1.4.ser#101,FA_20240228_2H_E.coli_1.4.ser#102,FA_20240228_2H_E.coli_1.4.ser#103,FA_20240228_2H_E.coli_1.4.ser#104,FA_20240228_2H_E.coli_1.4.ser#105,FA_20240228_2H_E.coli_1.4.ser#106,FA_20240228_2H_E.coli_1.4.ser#107,FA_20240228_2H_E.coli_1.4.ser#108,FA_20240228_2H_E.coli_1.4.ser#109,FA_20240228_2H_E.coli_1.4.ser#110,FA_20240228_2H_E.coli_1.4.ser#111,FA_20240228_2H_E.coli_1.4.ser#112,FA_20240228_2H_E.coli_1.4.ser#113,FA_20240228_2H_E.coli_1.4.ser#114,FA_20240228_2H_E.coli_1.4.ser#115,FA_20240228_2H_E.coli_1.4.ser#116,FA_20240228_2H_E.coli_1.4.ser#117,FA_20240228_2H_E.coli_1.4.ser#118,FA_20240228_2H_E.coli_1.4.ser#119,FA_20240228_2H_E.coli_1.4.ser#120,FA_20240228_2H_E.coli_1.4.ser#121,FA_20240228_2H_E.coli_1.4.ser#122,FA_20240228_2H_E.coli_1.4.ser#123,FA_20240228_2H_E.coli_1.4.ser#124,FA_20240228_2H_E.coli_1.4.ser#125,FA_20240228_2H_E.coli_1.4.ser#126,FA_20240228_2H_E.coli_1.4.ser#127,FA_20240228_2H_E.coli_1.4.ser#128,FA_20240228_2H_E.coli_1.4.ser#129,FA_20240228_2H_E.coli_1.4.ser#130
0.183611,-164.993,20.195,20.0201,2.76817,84.3168,58.5637,80.1239,18.7603,-60.1159,-226.799,-158.273,99.8918,266.685,-133.816,-164.924,335.848,136.208,196.595,-79.4211,237.321,-192.377,371.36,-83.0545,-79.1016,-109.913,326.689,16.942,59.2672,52.5258,36.4506,-139.218,161.269,-89.6251,126.359,-255.93,170.511,28.2416,47.2249,-21.451,-103.596,107.419,199.212,176.44,190.884,-154.648,163.39,-287.87,-150.133,-29.0944,-99.2257,14.3492,45.65,16.175,21.0901,-471.954,-63.4901,466.341,-41.8408,-125.957,201.129,94.7517,-167.782,-22.0596,-221.052,-207.068,-127.444,-71.2253,209.003,61.5257,44.4002,-192.021,-38.6462,33.0204,-339.278,-191.222,79.2953,117.752,4.43978,-193.831,-234.609,45.7818,64.6255,95.5812,344.204,-293.829,-150.499,21.1303,-154.683,60.7412,-98.5654,-109.217,212.334,-307.195,-129.462,-126.013,-15.9873,136.303,70.0314,1.47307,59.5838,126.231,-363.459,57.7532,266.991,-49.7327,-254.148,16.8263,-315.951,-423.366,-107.6,-91.3057,187.671,79.8316,-9.6813,-176.249,-58.1064,14.3872,138.281,-17.3251,-82.9629,85.1398,257.986,-10.0544,153.179,-47.7842,160.751,47.3683,3.12829,194.774,-46.3302
0.187683,-172.896,18.0907,18.3628,67.5165,77.959,69.2371,70.3056,16.9611,-48.4158,-191.482,-152.707,108.106,259.318,-133.599,-171.519,319.152,150.417,182.052,-65.9862,220.707,-211.367,328.549,-88.96,-64.7522,-118.887,321.809,44.729,53.3453,89.4955,29.5193,-114.021,147.754,-95.2686,110.536,-230.561,142.406,30.2715,8.08438,-27.3714,-87.7277,121.812,225.23,194.369,192.851,-125.641,138.913,-261.629,-149.687,-13.82,-86.8085,55.5634,75.1142,24.1579,14.3653,-506.659,-63.9316,462.754,-46.4701,-137.624,221.716,48.137,-154.924,10.1414,-230.722,-210.709,-150.289,-61.8138,178.459,66.6964,48.1793,-183.538,-54.0721,41.7198,-330.099,-217.432,84.0665,112.358,39.0603,-197.082,-215.698,65.5959,70.7361,80.2968,351.823,-286.517,-173.818,-19.7426,-148.321,78.3643,-92.6921,-79.9425,220.63,-306.684,-99.3272,-118.157,8.68649,121.836,70.0248,29.4291,39.4396,149.097,-347.215,75.659,280.234,-58.7486,-234.417,15.4378,-290.821,-407.034,-101.825,-102.807,181.382,86.9755,42.8897,-170.74,-67.0746,10.432,158.627,-37.3787,-93.4105,89.5923,283.484,-16.5148,143.165,-52.3708,128.125,47.2406,35.7481,212.782,-60.7069
0.191756,-166.228,6.52964,11.2687,118.19,69.1694,79.7979,54.3486,14.9028,-29.2286,-146.356,-141.544,111.813,247.258,-141.247,-178.033,296.363,162.011,163.997,-54.2242,198.939,-233.437,283.059,-89.9676,-42.1954,-126.682,298.43,69.5296,42.2064,131.145,21.4061,-89.4411,131.718,-101.377,91.7867,-202.587,109.319,36.1217,-22.8636,-28.9139,-71.7289,129.064,245.758,208.381,189.5,-97.13,109.459,-236.451,-148.557,1.03777,-74.0343,98.1789,100.458,33.0548,-6.43074,-540.896,-57.0512,450.503,-51.0425,-148.555,238.554,10.9723,-135.193,38.5948,-228.595,-205.605,-165.826,-48.9625,143.632,67.8881,55.2237,-169.989,-67.0673,50.2298,-318.813,-245.338,92.6638,102.418,68.603,-197.027,-200.046,91.8736,64.0136,66.9525,354.188,-268.032,-198.072,-53.0906,-145.58,93.2693,-78.6921,-53.2146,225.99,-300.324,-71.6283,-117.396,29.7059,112.853,72.2437,61.7546,22.4879,168.158,-320.663,96.2166,292.116,-63.2886,-212.55,9.57649,-259.404,-390.158,-98.5406,-109.404,181.479,99.1196,97.8056,-162.438,-73.6954,3.98963,179.326,-50.4134,-104.926,91.7797,304.625,-30.273,130.125,-57.8277,87.3331,44.4312,65.1011,224.691,-70.9114
0.195828,-143.481,-13.9573,-0.8711,150.715,57.6077,87.6221,33.1396,11.8628,-4.40458,-96.767,-125.523,111.584,230.322,-159.407,-184.52,270.961,171.659,145.061,-44.1131,173.305,-255.312,239.857,-85.9098,-13.8322,-132.095,257.258,93.6218,26.213,171.932,13.7649,-69.7606,114.436,-108.593,67.2707,-175.407,73.3384,44.1392,-45.4097,-25.7248,-58.6999,132.073,258.951,217.541,181.407,-68.4543,78.0445,-214.149,-145.312,14.1528,-59.3128,137.038,121.511,39.942,-35.093,-571.783,-47.965,430.618,-52.951,-156.345,250.849,-15.105,-110.451,61.0709,-213.028,-193.666,-172.069,-35.7218,106.12,63.3289,63.9764,-152.96,-76.4343,58.742,-304.615,-270.434,102.316,91.1201,92.6788,-191.032,-186.564,125.843,46.2179,57.0982,352.801,-242.486,-219.731,-75.8717,-147.561,105.144,-57.1811,-28.3895,226.649,-287.826,-46.7126,-122.993,47.281,110.112,76.9252,93.885,7.48998,182.629,-282.482,119.835,301.565,-61.4497,-190.647,-4.53553,-224.597,-371.54,-97.4981,-111.931,189.515,116.673,151.092,-149.872,-78.6458,-5.08389,197.426,-56.4482,-118.961,89.5121,319.19,-51.7887,116.661,-62.1183,42.3028,39.5511,86.2805,229.316,-75.1823
0.199901,-105.586,-41.6011,-16.1825,163.752,42.6017,90.4785,9.20007,6.88805,22.7147,-48.407,-107.027,107.478,209.079,-188.741,-190.524,245.414,178.821,128.264,-35.4146,144.853,-273.814,200.17,-77.8999,17.3756,-133.725,201.457,119.412,6.77349,206.077,8.23455,-57.8047,96.7301,-117.695,34.3987,-152.808,36.628,52.3007,-61.4226,-18.4839,-51.973,134.716,263.92,221.464,169.524,-38.7796,48.1457,-196.828,-139.649,23.2454,-40.784,167.254,139.02,40.6296,-65.443,-595.82,-39.6634,405.476,-51.9415,-158.358,256.738,-30.7173,-82.9319,76.9734,-184.638,-177.942,-169.362,-25.1583,66.8836,52.4416,72.7313,-133.73,-81.6774,67.9633,-287.297,-288.387,110.666,81.9801,111.7,-177.683,-172.831,167.484,21.5758,51.0243,349.436,-215.597,-236.313,-87.8055,-153.169,115.279,-30.9404,-2.69603,222.047,-268.774,-25.2951,-132.919,62.0968,113.261,82.3389,121.164,-7.82519,191.21,-232.81,146.215,307.36,-53.8656,-169.714,-29.682,-189.197,-350.253,-97.7621,-113.461,205.021,138.563,199.134,-133.18,-83.4212,-17.4881,210.097,-56.453,-135.368,82.7495,325.825,-79.0096,105.47,-63.1407,-2.34198,34.0283,95.5619,228.031,-73.0092
0.203974,-55.9102,-74.0282,-32.2949,158.24,24.672,86.7705,-13.9531,-1.77053,48.301,-6.35948,-89.4121,99.3944,184.825,-227.608,-194.482,221.315,182.112,115.79,-28.4702,114.651,-285.878,162.228,-67.4641,48.0868,-129.917,135.669,148.184,-13.0615,229.711,5.98341,-54.0931,79.6756,-129.089,-7.66983,-138.58,1.81858,57.9743,-73.8908,-9.58636,-53.4607,139.238,260.374,221.042,154.834,-7.79379,23.04,-186.024,-132.518,26.7012,-17.357,185.779,154.108,31.6679,-93.5644,-610.106,-31.9689,378.225,-49.5351,-153.964,253.567,-37.5936,-53.9503,87.3456,-145.663,-160.803,-160.127,-18.7595,26.4897,35.0467,79.2556,-113.3,-82.8489,78.4638,-267.643,-296.972,116.053,77.4468,125.924,-157.218,-156.437,214.887,-4.92766,47.4314,345.294,-192.928,-247.014,-91.3629,-160.009,125.518,-3.84251,26.7783,212.458,-243.819,-8.2417,-145.465,74.5093,121.283,85.6984,139.939,-25.295,193.021,-174.467,174.082,308.436,-43.6969,-149.586,-65.5143,-155.36,-325.999,-98.0342,-117.7,225.071,162.436,239.496,-113.77,-88.654,-34.4584,215.504,-51.4233,-151.997,73.6043,324.634,-107.835,99.1528,-59.4715,-42.3943,29.514,91.7927,223.779,-65.0691
0.208046,0.544936,-107.978,-47.9818,137.282,6.25537,76.054,-32.9924,-15.9346,68.6102,25.651,-75.8268,88.1443,158.895,-272.633,-193.439,200.186,180.352,108.431,-24.4376,83.8388,-289.043,123.852,-56.3091,75.358,-119.313,64.8889,179.517,-29.144,241.771,7.28408,-56.7694,65.1652,-142.432,-57.4073,-135.529,-28.1644,58.2398,-85.2447,-2.60174,-62.6133,145.105,248.505,218.176,138.025,23.8481,4.5344,-181.522,-124.919,24.9459,10.7573,192.43,167.705,12.6609,-117.914,-612.862,-23.0257,351.705,-47.774,-144.925,239.346,-37.5991,-23.573,93.8371,-99.1469,-142.87,-147.942,-15.5358,-13.5083,10.5865,81.0438,-92.7991,-79.9578,89.8852,-246.597,-296.822,117.394,78.4974,134.854,-131.395,-136.189,264.645,-29.2973,44.1387,340.991,-178.296,-252.292,-90.1091,-165.977,137.439,20.4352,61.1463,198.325,-214.524,5.00485,-160.073,84.0735,133.031,84.6461,148.008,-45.2868,188.29,-112.735,201.717,303.778,-35.2924,-128.948,-107.974,-124.783,-299.515,-96.9571,-126.955,245.244,185.392,271.381,-93.7516,-93.0997,-56.6927,212.853,-41.552,-165.362,64.9089,317.312,-133.542,99.64,-50.8836,-74.7319,27.4841,76.5032,219.248,-52.8446
0.212119,58.5629,-138.999,-63.8404,105.866,-9.04263,59.3338,-45.9901,-35.7427,80.4144,45.801,-67.8542,75.965,132.155,-319.178,-183.854,183.407,172.904,105.784,-25.1005,53.1954,-281.896,84.8588,-46.2056,97.7578,-101.914,-6.37497,211.365,-37.8093,243.486,11.7785,-62.1526,55.5372,-156.508,-111.244,-144.324,-51.1552,51.1734,-96.4751,-0.3437,-76.5946,149.882,229.441,214.515,119.495,54.5982,-7.66385,-180.954,-116.598,20.1849,42.0763,190.048,180.374,-13.3094,-138.387,-603.554,-11.5388,327.635,-48.4397,-133.969,213.885,-32.1771,8.46303,97.13,-48.8055,-123.117,-135.952,-12.5168,-49.8702,-21.2662,75.8306,-73.8689,-72.1768,100.157,-224.186,-290.493,114.006,85.0281,137.592,-102.912,-112.89,312.922,-49.1829,39.1846,337.065,-172.905,-253.253,-86.5636,-170.3,151.962,38.9675,98.5952,179.961,-182.622,17.0226,-176.446,89.7956,147.148,78.3719,144.282,-66.964,178.408,-53.3486,228.256,292.556,-32.3648,-105.732,-150.703,-98.9216,-272.948,-93.4753,-141.254,261.343,204.863,295.25,-75.1159,-94.692,-83.0194,202.051,-26.0452,-171.774,58.6762,306.13,-151.926,107.733,-38.457,-97.4045,28.9503,52.6138,215.545,-38.2856
0.216191,113.991,-162.433,-81.3665,69.4811,-18.5393,38.6281,-53.1453,-58.8933,81.5537,54.235,-64.7906,65.5967,104.946,-361.701,-163.735,170.97,159.007,106.93,-32.3559,22.9529,-264.221,47.8632,-38.4565,115.523,-79.2866,-74.2589,240.37,-37.3461,237.221,19.1966,-65.5209,52.364,-169.351,-164.313,-163.018,-66.5239,37.208,-107.416,-2.9553,-91.3515,151.057,205.498,210.539,99.7084,82.5836,-15.1416,-180.636,-105.795,14.7677,74.102,183.341,192.445,-41.2815,-155.82,-583.116,2.13238,306.515,-52.6258,-123.325,178.887,-22.6101,41.468,96.1568,0.964388,-100.003,-125.578,-6.58627,-78.5745,-58.8875,62.2324,-58.7337,-57.9703,105.514,-199.251,-280.923,105.514,96.3596,133.765,-74.5337,-89.3276,356.251,-63.5712,31.614,334.097,-175.387,-251.229,-81.09,-173.456,169.154,49.5094,134.561,157.711,-149.856,30.8443,-193.433,91.0583,161.325,67.798,128.273,-89.4468,165.63,-0.472466,254.37,275.24,-36.7342,-78.3495,-187.402,-78.7808,-249.505,-87.2246,-158.713,270.639,219.456,311.769,-59.1373,-92.6236,-110.27,183.433,-4.03054,-168.429,55.6573,292.627,-159.848,122.858,-24.1655,-109.628,34.0344,22.8516,211.917,-23.8994
0.220264,163.774,-175.303,-101.315,32.3184,-22.4543,16.17,-56.5212,-81.8412,71.1005,52.9536,-64.0097,58.7718,77.2271,-394.82,-134.938,160.736,137.166,111.013,-47.2917,-6.64248,-237.055,17.145,-33.5717,129.317,-53.4957,-135.424,262.346,-28.4808,225.471,29.7322,-62.0893,55.1988,-178.755,-211.334,-187.657,-74.5704,19.3978,-117.446,-7.94172,-102.874,147.406,179.571,205.823,79.4055,106.342,-19.4194,-177.167,-90.5669,9.63907,103.788,176.711,204.091,-66.3446,-171.877,-553.94,16.4264,287.873,-60.3929,-114.263,137.523,-10.7989,73.4247,89.1814,45.9676,-72.9529,-116.356,3.57185,-96.2793,-97.7867,40.3631,-49.7602,-36.5373,101.998,-170.203,-270.635,91.8418,111.264,124.026,-48.43,-69.0168,391.839,-72.4273,21.9705,332.179,-182.817,-247.331,-72.1934,-175.92,188.18,50.8797,163.584,132.367,-118.079,47.51,-209.251,88.4351,171.938,55.0079,100.171,-112.573,152.383,43.4085,281.213,254.604,-48.1565,-47.033,-213.658,-64.6349,-232.105,-78.6951,-176.388,272.297,229.212,320.924,-46.3742,-88.093,-134.412,157.592,23.9235,-154.4,55.7477,277.257,-155.717,142.992,-9.9762,-111.881,41.6499,-10.8851,206.179,-12.7702
