2H chemical shift (ppm),FA_20240514_2H_yeast_1.6.ser#1,FA_20240514_2H_yeast_1.6.ser#2,FA_20240514_2H_yeast_1.6.ser#3,FA_20240514_2H_yeast_1.6.ser#4,FA_20240514_2H_yeast_1.6.ser#5,FA_20240514_2H_yeast_1.6.ser#6,FA_20240514_2H_yeast_1.6.ser#7,FA_20240514_2H_yeast_1.6.ser#8,FA_20240514_2H_yeast_1.6.ser#9,FA_20240514_2H_yeast_1.6.ser#10,FA_20240514_2H_yeast_1.6.ser#11,FA_20240514_2H_yeast_1.6.ser#12,FA_20240514_2H_yeast_1.6.ser#13,FA_20240514_2H_yeast_1.6.ser#14,FA_20240514_2H_yeast_1.6.ser#15,FA_20240514_2H_yeast_1.6.ser#16,FA_20240514_2H_yeast_1.6.ser#17,FA_20240514_2H_yeast_1.6.ser#18,FA_20240514_2H_yeast_1.6.ser#19,FA_20240514_2H_yeast_1.6.ser#20,FA_20240514_2H_yeast_1.6.ser#21,FA_20240514_2H_yeast_1.6.ser#22,FA_20240514_2H_yeast_1.6.ser#23,FA_20240514_2H_yeast_1.6.ser#24,FA_20240514_2H_yeast_1.6.ser#25,FA_20240514_2H_yeast_1.6.ser#26,FA_20240514_2H_yeast_1.6.ser#27,FA_20240514_2H_yeast_1.6.ser#28,FA_20240514_2H_yeast_1.6.ser#29,FA_20240514_2H_yeast_1.6.ser#30,FA_20240514_2H_yeast_1.6.ser#31,FA_20240514_2H_yeast_1.6.ser#32,FA_20240514_2H_yeast_1.6.ser#33,FA_20240514_2H_yeast_1.6.ser#34,FA_20240514_2H_yeast_1.6.ser#35,FA_20240514_2H_yeast_1.6.ser#36,FA_20240514_2H_yeast_1.6.ser#37,FA_20240514_2H_yeast_1.6.ser#38,FA_20240514_2H_yeast_1.6.ser#39,FA_20240514_2H_yeast_1.6.ser#40,FA_20240514_2H_yeast_1.6.ser#41,FA_20240514_2H_yeast_1.6.ser#42,FA_20240514_2H_yeast_1.6.ser#43,FA_20240514_2H_yeast_1.6.ser#44,FA_20240514_2H_yeast_1.6.ser#45,FA_20240514_2H_yeast_1.6.ser#46,FA_20240514_2H_yeast_1.6.ser#47,FA_20240514_2H_yeast_1.6.ser#48,FA_20240514_2H_yeast_1.6.ser#49,FA_20240514_2H_yeast_1.6.ser#50
4.05651,-841.696,1937.52,1095.07,3273.52,1374.03,2580.56,795.312,1213.41,1949.25,525.375,1918.97,449.184,-396.432,1401.13,-851.362,2566.84,-374.625,678.991,2537.85,1877.42,194.971,1934.01,3097.91,1142.19,1865.33,-771.485,2304.62,1336.2,2608.42,1431.95,1877.78,1099.01,3785.41,3124.79,548.718,1473.47,-222.118,-672.524,648.906,1023.96,2064.38,272.416,2256.18,248.122,1062.66,1549.51,1907.82,-1798.45,1292.19,2828.57
4.06465,-447.082,2295.79,1343.69,2834.23,1137.04,2478.57,999.728,1142.62,2157.62,282.136,2340.03,5.4909,-376.818,1066.16,-805.93,2049.78,-88.8261,1291.79,1844.7,1825,661.963,1500.99,3241.99,946.479,2077.75,-940.456,2053.59,1001.32,2359.64,1303.49,1809.05,781.808,4078.35,3056.95,271.08,1782.26,197.213,-505.203,1610.83,1479.15,2005.14,822.917,2211.94,344.228,1589.19,1584.4,2532.09,-2098.22,2015.82,2967.38
4.0728,151.309,2140.11,1203.92,2440.48,1433.96,1883.17,964.31,1501.05,2306.6,-117.207,2638.38,167.838,-202.025,917.839,-727.461,1923.27,46.7061,1804.29,1036.35,1508.43,959.397,1116.59,3304,1017.05,2396.42,-432.314,2353.79,1525.29,2704.86,824.519,1939.93,551.26,4072.87,2216.2,68.3384,2278.98,572.336,-132.354,2225.91,1144.62,2089.57,1676.14,2264.99,510.669,1906.05,1551.63,2649.85,-2136.91,2708.67,3376.38
4.08094,614.429,1261.38,1379.29,2422.27,1839.1,1059.76,667.588,1667.35,1749.1,-213.246,3071.08,458.835,224.942,968.795,-585.818,2062.02,411.397,1806.01,663.809,1375.76,1156.86,1115.5,3242.25,1440.73,2736.21,-4.05684,2359.05,2349.54,3269.71,430.604,2312.8,529.573,3456.13,1134.66,361.754,2505.32,762.137,848.969,2576.62,237.428,2200.96,2470.3,1732.22,589.987,2018.1,1436.07,1950.82,-1725.89,3014.34,3550.48
4.08909,790.309,624.459,1843.14,2448.08,2041.9,667.039,310.311,1389.94,1223.04,-100.989,3045.91,479.657,686.087,1068.04,-344.149,1922.24,926.004,1879.16,686.741,1091.19,1406.2,1145.52,2956.07,2076.5,2707.4,267.513,1708.7,2629.06,3349.61,214.679,2323.21,295.807,2597.47,267.582,929.399,2762.38,1251.26,1978.77,2647.32,-375.507,1815.16,2711.41,858.799,658.753,1800.47,1352.91,1459.1,-1148.29,3018.2,2849.45
4.09723,905.638,645.341,2228.66,2131.95,2313.22,754.639,-178.898,839.375,1343.43,-155.024,2488.37,490.939,1006.46,1261.2,-382.267,1453.46,1377.94,2255.33,767.927,466.884,1805.06,1183.47,2708.89,2585.77,2287.91,811.366,950.293,2085.64,2880.58,187.573,2025.46,39.1863,2113.24,-60.0194,1554.78,2980.11,1901.12,2049.15,2691.27,-573.159,1185.37,2642.85,528.755,680.339,1427.53,1237.2,1704.66,-593.705,3089.54,2159.24
4.10538,454.13,896.188,2671.28,1973.99,2845.75,911.748,-527.238,558.864,1823.1,117.399,1848.54,618.694,840.159,1875.51,-641.753,1110.12,1796.18,2168.41,863.736,15.0108,2040.46,1747.4,2681.66,2359.85,2043.5,1502.97,851.777,1495.83,2228.34,222.342,1766.49,151.721,2195.13,-8.02832,2108.32,2912.46,2275.56,1405.25,2891.42,-794.617,1100.58,2615.87,646.675,546.28,1197.51,870.537,1866.89,259.843,3141.81,1884.35
4.11352,-578.196,980.074,3261.36,2487.52,3396.98,777.168,-729.319,702.601,2553.91,582.422,1551.42,864.169,374.125,2601.05,-436.866,1112.98,1966.48,1929.6,1019.46,-254.078,1825.38,2244.95,3063.06,1706.75,1910.37,1793.64,1228.12,1147.5,1826.83,309.85,1586.89,606.267,2587.85,88.7536,2250.98,2704.11,2280.59,959.124,2929.24,-845.843,1620.14,2836.87,819.91,207.758,1008.76,323.724,1609.86,1141.14,3020.71,1437.77
4.12167,-1504.78,1033.41,3479.48,3186.2,3521.69,597.076,-774.994,1036.36,3517.36,546.095,1547.83,1243.01,284.616,3003.43,456.295,1204.86,1772.58,1905.65,924.734,-354.184,1354.38,2522.17,3757.69,1256.26,1697.96,1729.32,1522.59,803.823,1744.37,244.831,1377.19,1092.01,3143.91,406.407,2060.07,2404.33,1925.77,674.38,2518.05,-381.364,2116.06,3247.05,1079.05,37.8775,822.267,25.0017,1393.03,1589.11,2922.63,858.819
4.12981,-1752.42,1049.28,2916.39,3485.91,3047.24,384.539,-426.773,1206.81,4266.77,124.825,1011.24,1468.63,500.696,3134.2,1431.94,1207.6,1659.66,2005.7,960.441,-53.9093,786.383,2851.67,4363.38,861.839,1548.85,1354.68,1692.11,687.653,1859.29,269.61,862.91,1369.25,3455.3,796.675,2387.91,2305.02,1483.13,181.085,1722.7,225.974,2116.54,3475.28,1430.08,109.061,485.655,23.5195,1470.82,1929.82,2808.73,412.628
