2H chemical shift (ppm),FA_20240701_2H_yeast_1.8.ser#1,FA_20240701_2H_yeast_1.8.ser#2,FA_20240701_2H_yeast_1.8.ser#3,FA_20240701_2H_yeast_1.8.ser#4,FA_20240701_2H_yeast_1.8.ser#5,FA_20240701_2H_yeast_1.8.ser#6,FA_20240701_2H_yeast_1.8.ser#7,FA_20240701_2H_yeast_1.8.ser#8,FA_20240701_2H_yeast_1.8.ser#9,FA_20240701_2H_yeast_1.8.ser#10,FA_20240701_2H_yeast_1.8.ser#11,FA_20240701_2H_yeast_1.8.ser#12,FA_20240701_2H_yeast_1.8.ser#13,FA_20240701_2H_yeast_1.8.ser#14,FA_20240701_2H_yeast_1.8.ser#15,FA_20240701_2H_yeast_1.8.ser#16,FA_20240701_2H_yeast_1.8.ser#17,FA_20240701_2H_yeast_1.8.ser#18,FA_20240701_2H_yeast_1.8.ser#19,FA_20240701_2H_yeast_1.8.ser#20,FA_20240701_2H_yeast_1.8.ser#21,FA_20240701_2H_yeast_1.8.ser#22,FA_20240701_2H_yeast_1.8.ser#23,FA_20240701_2H_yeast_1.8.ser#24,FA_20240701_2H_yeast_1.8.ser#25,FA_20240701_2H_yeast_1.8.ser#26,FA_20240701_2H_yeast_1.8.ser#27,FA_20240701_2H_yeast_1.8.ser#28,FA_20240701_2H_yeast_1.8.ser#29,FA_20240701_2H_yeast_1.8.ser#30,FA_20240701_2H_yeast_1.8.ser#31,FA_20240701_2H_yeast_1.8.ser#32,FA_20240701_2H_yeast_1.8.ser#33,FA_20240701_2H_yeast_1.8.ser#34,FA_20240701_2H_yeast_1.8.ser#35,FA_20240701_2H_yeast_1.8.ser#36,FA_20240701_2H_yeast_1.8.ser#37,FA_20240701_2H_yeast_1.8.ser#38,FA_20240701_2H_yeast_1.8.ser#39,FA_20240701_2H_yeast_1.8.ser#40,FA_20240701_2H_yeast_1.8.ser#41,FA_20240701_2H_yeast_1.8.ser#42,FA_20240701_2H_yeast_1.8.ser#43,FA_20240701_2H_yeast_1.8.ser#44,FA_20240701_2H_yeast_1.8.ser#45,FA_20240701_2H_yeast_1.8.ser#46,FA_20240701_2H_yeast_1.8.ser#47,FA_20240701_2H_yeast_1.8.ser#48,FA_20240701_2H_yeast_1.8.ser#49,FA_20240701_2H_yeast_1.8.ser#50,FA_20240701_2H_yeast_1.8.ser#51,FA_20240701_2H_yeast_1.8.ser#52,FA_20240701_2H_yeast_1.8.ser#53,FA_20240701_2H_yeast_1.8.ser#54,FA_20240701_2H_yeast_1.8.ser#55,FA_20240701_2H_yeast_1.8.ser#56,FA_20240701_2H_yeast_1.8.ser#57,FA_20240701_2H_yeast_1.8.ser#58,FA_20240701_2H_yeast_1.8.ser#59,FA_20240701_2H_yeast_1.8.ser#60,FA_20240701_2H_yeast_1.8.ser#61,FA_20240701_2H_yeast_1.8.ser#62,FA_20240701_2H_yeast_1.8.ser#63,FA_20240701_2H_yeast_1.8.ser#64,FA_20240701_2H_yeast_1.8.ser#65,FA_20240701_2H_yeast_1.8.ser#66,FA_20240701_2H_yeast_1.8.ser#67,FA_20240701_2H_yeast_1.8.ser#68,FA_20240701_2H_yeast_1.8.ser#69,FA_20240701_2H_yeast_1.8.ser#70,FA_20240701_2H_yeast_1.8.ser#71,FA_20240701_2H_yeast_1.8.ser#72,FA_20240701_2H_yeast_1.8.ser#73,FA_20240701_2H_yeast_1.8.ser#74,FA_20240701_2H_yeast_1.8.ser#75,FA_20240701_2H_yeast_1.8.ser#76,FA_20240701_2H_yeast_1.8.ser#77,FA_20240701_2H_yeast_1.8.ser#78,FA_20240701_2H_yeast_1.8.ser#79,FA_20240701_2H_yeast_1.8.ser#80,FA_20240701_2H_yeast_1.8.ser#81,FA_20240701_2H_yeast_1.8.ser#82,FA_20240701_2H_yeast_1.8.ser#83,FA_20240701_2H_yeast_1.8.ser#84,FA_20240701_2H_yeast_1.8.ser#85,FA_20240701_2H_yeast_1.8.ser#86,FA_20240701_2H_yeast_1.8.ser#87,FA_20240701_2H_yeast_1.8.ser#88,FA_20240701_2H_yeast_1.8.ser#89,FA_20240701_2H_yeast_1.8.ser#90,FA_20240701_2H_yeast_1.8.ser#91,FA_20240701_2H_yeast_1.8.ser#92,FA_20240701_2H_yeast_1.8.ser#93,FA_20240701_2H_yeast_1.8.ser#94,FA_20240701_2H_yeast_1.8.ser#95,FA_20240701_2H_yeast_1.8.ser#96,FA_20240701_2H_yeast_1.8.ser#97,FA_20240701_2H_yeast_1.8.ser#98,FA_20240701_2H_yeast_1.8.ser#99,FA_20240701_2H_yeast_1.8.ser#100,FA_20240701_2H_yeast_1.8.ser#101,FA_20240701_2H_yeast_1.8.ser#102,FA_20240701_2H_yeast_1.8.ser#103,FA_20240701_2H_yeast_1.8.ser#104,FA_20240701_2H_yeast_1.8.ser#105,FA_20240701_2H_yeast_1.8.ser#106,FA_20240701_2H_yeast_1.8.ser#107,FA_20240701_2H_yeast_1.8.ser#108,FA_20240701_2H_yeast_1.8.ser#109,FA_20240701_2H_yeast_1.8.ser#110,FA_20240701_2H_yeast_1.8.ser#111,FA_20240701_2H_yeast_1.8.ser#112,FA_20240701_2H_yeast_1.8.ser#113,FA_20240701_2H_yeast_1.8.ser#114,FA_20240701_2H_yeast_1.8.ser#115,FA_20240701_2H_yeast_1.8.ser#116,FA_20240701_2H_yeast_1.8.ser#117,FA_20240701_2H_yeast_1.8.ser#118,FA_20240701_2H_yeast_1.8.ser#119,FA_20240701_2H_yeast_1.8.ser#120,FA_20240701_2H_yeast_1.8.ser#121,FA_20240701_2H_yeast_1.8.ser#122,FA_20240701_2H_yeast_1.8.ser#123,FA_20240701_2H_yeast_1.8.ser#124,FA_20240701_2H_yeast_1.8.ser#125,FA_20240701_2H_yeast_1.8.ser#126,FA_20240701_2H_yeast_1.8.ser#127,FA_20240701_2H_yeast_1.8.ser#128,FA_20240701_2H_yeast_1.8.ser#129,FA_20240701_2H_yeast_1.8.ser#130
1.31983,165.48,-123.273,132.146,-118.177,-60.271,-77.4514,-5.92798,296.051,118.681,645.6,-80.4939,-122.05,-836.279,-511.834,180.912,396.142,166.921,148.219,-97.8266,-462.761,-347.033,-18.8346,-70.5108,-122.646,72.0172,-456.963,-217.816,742.665,57.4594,218.077,38.985,-250.857,-415.795,-92.3234,157.775,-182.749,433.078,193.914,274.995,93.4933,-16.3356,24.9145,-6.48629,406.303,-100.677,-425.224,-667.552,371.183,-51.0848,-110.542,123.131,65.7233,327.569,-91.3089,14.0111,256.891,243.732,416.755,278.956,-16.2952,-27.7728,-163.447,-697.706,471.576,29.2907,111.079,-48.5365,-28.6399,0.821193,-39.7434,-122.606,-342.591,-38.3712,-1.67843,199.373,152.628,160.548,140.639,-248.828,-533.88,241.501,625.271,152.701,88.2787,-131.403,-29.177,520.047,-342.682,-586.674,126.1,236.137,-114.645,364.878,-126.225,-503.857,-449.363,-293.126,20.0026,362.928,-350.554,-323.366,153.648,-380.3,-73.452,-40.7801,-88.8025,-514.693,-353.266,-129.622,672.383,-79.64,-136.13,333.773,240.253,3.93322,-125.803,-73.6777,-280.873,289.313,142.515,183.568,-342.193,338.512,190.816,-108.678,13.859,237.549,80.8597,-109.221,-425.435
1.32797,197.3,-164.54,88.1702,-161.708,-136.796,7.00991,-114.626,285.258,111.152,625.43,-164.609,-106.236,-886.029,-407.242,182.046,441.142,162.372,133.016,-95.2423,-395.146,-321.456,-100.898,-80.6426,-111.95,178.446,-428.159,-284.106,537.919,38.5236,245.05,-15.5593,-254.832,-403.378,-122.352,187.036,-105.081,440.686,118.035,185.387,82.2671,-37.8459,-25.3503,99.3009,356.659,-29.7865,-420.311,-647.831,385.358,-185.633,-70.2443,172.962,38.6556,333.42,-181.878,95.9648,242.306,197.44,415.011,159.568,31.4422,-94.113,-295.196,-611.452,527.14,1.08061,189.08,2.0636,15.5978,-13.5626,-60.8776,-136.931,-286.441,-114.469,-13.2733,13.9182,183.215,181.582,325.667,-255.621,-545.515,376.94,588.117,215.341,64.5528,-203.278,129.83,367.154,-495.885,-605.615,141.629,97.8952,-0.382336,259.805,-84.5922,-459.687,-429.003,-324.774,-7.20215,371.248,-254.417,-371.106,242.771,-326.003,-7.26432,-190.266,-236.572,-585.181,-352.917,-200.245,692.181,-61.4301,-124.475,292.929,154.578,-94.188,-68.0951,-80.1979,-197.327,435.163,165.017,231.645,-305.647,286.177,161.524,-140.411,4.12358,237.484,72.7803,-185.459,-515.294
1.33612,238.574,-187.145,57.5532,-113.845,-201.549,95.3959,-212.875,304.042,129.483,610.504,-283.194,-134.135,-900.05,-265.646,189.067,481.426,119.773,62.2696,-107.906,-309.129,-221.989,-135.429,-63.8218,-76.778,255.684,-415.428,-290.654,361.419,5.42857,253.903,-95.2586,-212.812,-370.678,-117.007,221.685,-77.0199,387.431,78.3055,81.1137,70.3406,-69.0182,-63.5227,121.999,290.983,24.506,-327.704,-582.486,392.209,-298.898,-0.805133,248.252,3.79109,327.532,-274.587,139.367,267.695,196.988,401.57,41.6725,85.4692,-118.032,-360.794,-523.244,494.437,-75.2108,205.129,-53.1189,15.7123,1.01921,-105.299,-144.86,-241.304,-188.394,-51.709,-174.208,254.303,168.84,461.143,-246.944,-468.489,481.538,524.997,264.719,89.3696,-250.199,319.395,192.79,-617.824,-606.673,130.239,-41.0869,133.992,149.66,-58.5045,-345.962,-426.662,-320.194,-79.4936,357.932,-192.004,-381.162,238.174,-323.458,109.836,-328.471,-316.97,-536.828,-308.694,-219.352,632.104,-8.8458,-147.731,234.342,79.9044,-155.164,-4.77066,-62.2948,-102.21,600.332,175.966,262.669,-324.191,201.03,232.697,-169.049,41.4071,274.749,63.5234,-242.949,-604.303
1.34426,334.924,-196.291,73.7641,35.4298,-236.525,159.872,-301.116,360.076,161.221,603.069,-378.405,-192.14,-849.3,-145.163,206.109,491.089,54.3184,1.17821,-119.64,-224.085,-85.941,-120.377,-42.1521,-23.1604,268.8,-448.032,-258.47,226.95,-37.4811,251.802,-197.241,-160.038,-307.904,-57.9576,288.611,-90.802,324.46,60.4693,-4.74361,9.03283,-77.5622,-76.9264,53.7415,254.243,42.5028,-189.139,-471.041,415.114,-363.3,48.4907,323.464,-31.1262,281.104,-348.979,161.233,329.827,224.072,376.534,-31.8634,147.422,-85.8085,-365.823,-441.504,417.286,-189.044,174.455,-190,-15.86,44.0813,-124.937,-165.173,-203.211,-263.184,-112.571,-316.264,357.984,96.3322,488.638,-205.784,-326.578,506.907,456.568,307.927,95.6135,-216.931,462.404,37.1061,-687.724,-588.655,110.055,-143.537,246.887,67.0664,-58.8446,-186.825,-432.637,-284.378,-179.778,358.525,-165.087,-378.114,150.956,-359.661,213.158,-442.873,-331.724,-415.543,-223.504,-235.435,511.459,52.7341,-181.676,198.005,70.9363,-168.789,7.05954,-27.6844,-8.11646,716.962,146.653,255.966,-355.685,80.2686,359.159,-236.257,117.365,329.409,2.1758,-253.646,-688.214
1.35241,453.689,-192.35,130.291,195.58,-284.709,151.339,-380.77,390.789,183.496,572.061,-390.637,-228.138,-730.376,-45.6938,236.109,447.592,-13.435,-5.71338,-106.204,-146.297,9.45031,-60.6259,8.0566,19.7226,217.463,-496.26,-243.083,139.479,-80.7497,210.854,-311.023,-141.359,-248.007,19.812,382.487,-118.925,230.347,40.3168,-63.8634,-132.498,-35.5461,-75.1356,-59.7204,285.931,19.4995,-91.0389,-329.435,460.355,-403.19,20.6226,389.913,-46.8916,140.679,-399.258,181.579,367.783,240.128,331.808,-94.3232,225.096,-20.555,-372.915,-342.29,312.197,-297.455,124.648,-347.894,-84.6702,112.011,-102.246,-193.652,-151.73,-334.258,-183.649,-384.051,487.587,-20.9265,428.387,-166.922,-171.125,452.334,423.033,366.354,42.5826,-118.536,517.218,-69.1801,-703.707,-538.512,75.0931,-191.056,290.097,38.0741,-49.4016,-16.378,-418.915,-250.451,-269.578,388.454,-193.188,-375.891,42.5904,-396.143,255.554,-540.539,-318.471,-308.522,-136.706,-295.463,381.396,84.3316,-241.615,159.698,138.701,-130.889,-52.0722,-17.2139,61.2386,746.004,56.0938,245.948,-346.93,-66.9639,455.594,-353.536,168.358,388.058,-99.6805,-230.855,-703.429
1.36055,535.017,-184.747,182.786,291.319,-354.241,46.8907,-451.354,347.313,189.553,499.585,-314.807,-165.178,-607.707,64.0536,296.774,337.282,-65.2732,24.0092,-75.6721,-107.42,31.8345,18.4859,120.139,53.2448,135.476,-528.835,-266.19,142.177,-92.7347,103.668,-417.73,-159.99,-252.219,62.2839,440.092,-120.007,87.8546,25.9205,-98.2912,-312.31,56.8673,-60.4387,-165.539,348.239,-10.98,-60.8368,-189.803,517.81,-417.898,-87.8027,438.814,-20.5181,-68.267,-425.85,213.475,339.988,216.626,277.895,-212.398,283.265,34.6201,-430.01,-230.2,181.025,-359.852,81.3444,-462.489,-165.215,174.345,-65.2952,-216.406,-83.0018,-380.683,-249.578,-401.918,609.605,-131.247,347.268,-196.166,-65.7799,371.386,419.764,454.77,-6.54292,-10.1419,539.192,-94.7522,-693.118,-458.132,10.4098,-207.679,247.764,56.3457,-12.7252,138.578,-384.212,-237.009,-310.004,418.538,-287.419,-361.106,-45.6975,-406.58,251.534,-628.871,-320.597,-249.897,-96.6385,-384.275,265.221,70.4436,-344.762,91.3131,222.276,-48.6663,-134.974,-60.9973,58.1861,695.83,-52.4292,281.489,-277.246,-197.133,498.756,-484.361,142.447,469.076,-185.99,-217.206,-586.446
1.3687,549.838,-177.291,175.161,326.02,-397.635,-72.341,-479.928,266.947,195.809,396.31,-202.123,8.20513,-545.671,160.349,383.738,179.78,-109.647,63.8727,-73.1799,-147.015,1.30214,112.275,256.121,117.384,61.2653,-545.785,-311.08,229.021,-37.5007,-38.302,-491.586,-199.712,-319.512,58.9592,416.845,-104.889,-42.6801,29.5315,-121.601,-467.83,161.01,-22.2826,-234.443,371.297,-26.3437,-48.6208,-91.8967,577.181,-417.159,-221.558,449.915,25.5264,-245.522,-426.281,254.806,251.989,145.989,236.374,-396.387,296.165,63.3753,-555.405,-145.158,36.2434,-347.784,61.6957,-495.636,-200.282,165.338,-43.0454,-216.579,-11.4473,-395.014,-315.255,-393.193,679.371,-199.197,292.591,-300.657,-26.5932,300.558,423.602,557.234,-1.11569,94.7238,608.532,-43.4735,-682.781,-408.975,-71.6857,-228.758,164.555,106.778,37.7779,253.893,-336.885,-222.397,-305.952,424.891,-392.7,-314.2,-91.3514,-396.489,259.602,-664.488,-348.655,-198.916,-103.054,-462.105,154.068,16.5353,-450.991,19.1783,263.976,43.8761,-190.502,-132.772,-10.392,607.969,-119.227,367.54,-150.749,-259.165,507.557,-593.736,48.1482,573.153,-218.69,-221.336,-377.518
1.37684,496.476,-184.49,113.984,327.29,-392.83,-102.27,-441.48,196.342,212.342,302.881,-101.065,217.256,-546.488,174.439,459.989,26.7417,-177.165,105.636,-122.68,-225.064,-42.9554,250.904,354.811,234.588,17.3156,-530.253,-375.677,320.383,72.2114,-195.185,-499.379,-251.57,-380.13,37.386,334.6,-148.031,-112.811,40.3923,-127.748,-575.56,244.877,34.7352,-252.859,335.144,-35.2787,-15.4945,-36.1094,623.504,-440.268,-317.899,407.087,47.9388,-337.011,-392.145,314.471,139.522,18.4771,212.385,-605.335,280.913,85.7734,-712.48,-103.601,-109.368,-242.259,54.8804,-454.702,-152.51,67.1352,-30.5675,-197.514,49.9142,-383.581,-393.445,-361.661,683.781,-225.133,270.641,-384.999,-10.9662,240.52,418.96,631.46,52.4362,219.058,717.447,42.0407,-661.819,-434.323,-109.625,-253.08,101.902,160.071,99.6106,310.963,-267.978,-175.107,-285.732,410.653,-415.66,-240.292,-79.3714,-367.069,332.276,-606.002,-370.589,-121.804,-114.743,-520.911,47.4723,-54.7714,-504.883,-20.4966,248.759,102.58,-201.503,-203.993,-101.261,542.962,-151.539,457.188,-4.20679,-231.508,468.281,-671.774,-54.634,662.461,-201.838,-202.306,-165.913
1.38499,396.509,-234.626,50.4076,296.256,-343.186,-42.121,-363.518,145.529,220.248,254.146,-16.7683,360.298,-562.757,85.8907,503.193,-85.1018,-262.602,159.854,-204.427,-266.579,-80.5751,426.579,416.95,371.997,0.780881,-473.081,-453.388,365.605,163.536,-353.649,-411.366,-287.868,-400.094,13.4593,238.76,-271.815,-126.301,52.3525,-97.9207,-625.32,306.545,106.35,-231.696,254.609,-24.8435,36.4499,28.2672,647.986,-484.806,-352.187,314.365,42.2981,-372.656,-318.046,400.848,51.4756,-165.275,195.877,-773.466,257.526,120.596,-817.833,-68.7897,-229.308,-73,42.5353,-379.28,-17.5913,-59.9429,-6.02425,-179.117,102.658,-348.714,-477.687,-312.326,640.579,-224.504,244.212,-353.09,19.0228,188.057,388.719,662.205,119.561,373.701,824.221,109.889,-607.6,-511.645,-60.3002,-263.334,83.2033,168.003,163.392,319.822,-162.3,-91.3166,-272.437,369.831,-316.051,-159.524,-13.4413,-307.325,467.839,-475.841,-381.725,-33.9825,-95.1951,-563.16,-37.1545,-118.24,-502.466,-34.0807,205.663,111.743,-183.329,-260.455,-165.986,505.276,-194.66,522.641,93.2613,-152.328,351.453,-747.272,-102.654,706.606,-154.362,-158.047,-2.66545
1.39313,298.411,-318.742,16.252,232.207,-237.269,39.7622,-287.377,132.987,213.906,218.198,63.6698,393.413,-589.112,-65.3179,524.426,-156.859,-327.945,225.489,-281.009,-263.931,-94.5992,588.337,452.245,497.142,20.494,-394.465,-535.429,377.052,167.349,-468.171,-244.823,-278.664,-386.42,-10.7966,188.15,-427.537,-98.3316,75.9191,-18.3078,-607.742,344.632,191.633,-203.619,132.468,14.7919,91.4985,122.889,665.458,-511.491,-355.772,184.77,43.6015,-386.175,-232.298,474.441,3.5164,-351.455,166.794,-849.768,228.737,144.636,-837.368,5.67978,-289.434,82.1952,40.7987,-304.341,176.08,-163.934,56.2855,-161.806,138.289,-300.16,-524.526,-251.782,584.144,-208.479,172.527,-211.442,50.41,130.47,325.964,661.754,153.359,524.152,926.576,129.853,-543.856,-555.952,52.0589,-249.247,91.23,102.301,200.111,301.787,-21.5354,1.21178,-269.442,287.584,-167.039,-91.3922,105.605,-243.329,605.712,-322.588,-411.435,13.9207,-32.5094,-585.803,-112.595,-164.307,-488.726,-75.2753,163.933,58.6744,-169.115,-273.184,-172.844,446.858,-258.444,560.044,102.558,-73.7157,161.722,-839.489,-97.6584,687.22,-113.189,-113.422,118.095
