,FA_20240704_2H_yeast_1.3.ser#1,FA_20240704_2H_yeast_1.3.ser#2,FA_20240704_2H_yeast_1.3.ser#3,FA_20240704_2H_yeast_1.3.ser#4,FA_20240704_2H_yeast_1.3.ser#5,FA_20240704_2H_yeast_1.3.ser#6,FA_20240704_2H_yeast_1.3.ser#7,FA_20240704_2H_yeast_1.3.ser#8,FA_20240704_2H_yeast_1.3.ser#9,FA_20240704_2H_yeast_1.3.ser#10,FA_20240704_2H_yeast_1.3.ser#11,FA_20240704_2H_yeast_1.3.ser#12,FA_20240704_2H_yeast_1.3.ser#13,FA_20240704_2H_yeast_1.3.ser#14,FA_20240704_2H_yeast_1.3.ser#15,FA_20240704_2H_yeast_1.3.ser#16,FA_20240704_2H_yeast_1.3.ser#17,FA_20240704_2H_yeast_1.3.ser#18,FA_20240704_2H_yeast_1.3.ser#19,FA_20240704_2H_yeast_1.3.ser#20,FA_20240704_2H_yeast_1.3.ser#21,FA_20240704_2H_yeast_1.3.ser#22,FA_20240704_2H_yeast_1.3.ser#23,FA_20240704_2H_yeast_1.3.ser#24,FA_20240704_2H_yeast_1.3.ser#25,FA_20240704_2H_yeast_1.3.ser#26,FA_20240704_2H_yeast_1.3.ser#27,FA_20240704_2H_yeast_1.3.ser#28,FA_20240704_2H_yeast_1.3.ser#29,FA_20240704_2H_yeast_1.3.ser#30,FA_20240704_2H_yeast_1.3.ser#31,FA_20240704_2H_yeast_1.3.ser#32,FA_20240704_2H_yeast_1.3.ser#33,FA_20240704_2H_yeast_1.3.ser#34,FA_20240704_2H_yeast_1.3.ser#35,FA_20240704_2H_yeast_1.3.ser#36,FA_20240704_2H_yeast_1.3.ser#37,FA_20240704_2H_yeast_1.3.ser#38,FA_20240704_2H_yeast_1.3.ser#39,FA_20240704_2H_yeast_1.3.ser#40,FA_20240704_2H_yeast_1.3.ser#41,FA_20240704_2H_yeast_1.3.ser#42,FA_20240704_2H_yeast_1.3.ser#43,FA_20240704_2H_yeast_1.3.ser#44,FA_20240704_2H_yeast_1.3.ser#45,FA_20240704_2H_yeast_1.3.ser#46,FA_20240704_2H_yeast_1.3.ser#47,FA_20240704_2H_yeast_1.3.ser#48,FA_20240704_2H_yeast_1.3.ser#49,FA_20240704_2H_yeast_1.3.ser#50,FA_20240704_2H_yeast_1.3.ser#51,FA_20240704_2H_yeast_1.3.ser#52,FA_20240704_2H_yeast_1.3.ser#53,FA_20240704_2H_yeast_1.3.ser#54,FA_20240704_2H_yeast_1.3.ser#55,FA_20240704_2H_yeast_1.3.ser#56,FA_20240704_2H_yeast_1.3.ser#57,FA_20240704_2H_yeast_1.3.ser#58,FA_20240704_2H_yeast_1.3.ser#59,FA_20240704_2H_yeast_1.3.ser#60,FA_20240704_2H_yeast_1.3.ser#61,FA_20240704_2H_yeast_1.3.ser#62,FA_20240704_2H_yeast_1.3.ser#63,FA_20240704_2H_yeast_1.3.ser#64,FA_20240704_2H_yeast_1.3.ser#65,FA_20240704_2H_yeast_1.3.ser#66,FA_20240704_2H_yeast_1.3.ser#67,FA_20240704_2H_yeast_1.3.ser#68,FA_20240704_2H_yeast_1.3.ser#69,FA_20240704_2H_yeast_1.3.ser#70,FA_20240704_2H_yeast_1.3.ser#71,FA_20240704_2H_yeast_1.3.ser#72,FA_20240704_2H_yeast_1.3.ser#73,FA_20240704_2H_yeast_1.3.ser#74,FA_20240704_2H_yeast_1.3.ser#75,FA_20240704_2H_yeast_1.3.ser#76,FA_20240704_2H_yeast_1.3.ser#77,FA_20240704_2H_yeast_1.3.ser#78,FA_20240704_2H_yeast_1.3.ser#79,FA_20240704_2H_yeast_1.3.ser#80,FA_20240704_2H_yeast_1.3.ser#81,FA_20240704_2H_yeast_1.3.ser#82,FA_20240704_2H_yeast_1.3.ser#83,FA_20240704_2H_yeast_1.3.ser#84,FA_20240704_2H_yeast_1.3.ser#85,FA_20240704_2H_yeast_1.3.ser#86,FA_20240704_2H_yeast_1.3.ser#87,FA_20240704_2H_yeast_1.3.ser#88,FA_20240704_2H_yeast_1.3.ser#89,FA_20240704_2H_yeast_1.3.ser#90,FA_20240704_2H_yeast_1.3.ser#91,FA_20240704_2H_yeast_1.3.ser#92,FA_20240704_2H_yeast_1.3.ser#93,FA_20240704_2H_yeast_1.3.ser#94,FA_20240704_2H_yeast_1.3.ser#95,FA_20240704_2H_yeast_1.3.ser#96,FA_20240704_2H_yeast_1.3.ser#97,FA_20240704_2H_yeast_1.3.ser#98,FA_20240704_2H_yeast_1.3.ser#99,FA_20240704_2H_yeast_1.3.ser#100,FA_20240704_2H_yeast_1.3.ser#101,FA_20240704_2H_yeast_1.3.ser#102,FA_20240704_2H_yeast_1.3.ser#103,FA_20240704_2H_yeast_1.3.ser#104,FA_20240704_2H_yeast_1.3.ser#105,FA_20240704_2H_yeast_1.3.ser#106,FA_20240704_2H_yeast_1.3.ser#107,FA_20240704_2H_yeast_1.3.ser#108,FA_20240704_2H_yeast_1.3.ser#109,FA_20240704_2H_yeast_1.3.ser#110,FA_20240704_2H_yeast_1.3.ser#111,FA_20240704_2H_yeast_1.3.ser#112,FA_20240704_2H_yeast_1.3.ser#113,FA_20240704_2H_yeast_1.3.ser#114,FA_20240704_2H_yeast_1.3.ser#115,FA_20240704_2H_yeast_1.3.ser#116,FA_20240704_2H_yeast_1.3.ser#117,FA_20240704_2H_yeast_1.3.ser#118,FA_20240704_2H_yeast_1.3.ser#119,FA_20240704_2H_yeast_1.3.ser#120,FA_20240704_2H_yeast_1.3.ser#121,FA_20240704_2H_yeast_1.3.ser#122,FA_20240704_2H_yeast_1.3.ser#123,FA_20240704_2H_yeast_1.3.ser#124,FA_20240704_2H_yeast_1.3.ser#125,FA_20240704_2H_yeast_1.3.ser#126,FA_20240704_2H_yeast_1.3.ser#127,FA_20240704_2H_yeast_1.3.ser#128,FA_20240704_2H_yeast_1.3.ser#129,FA_20240704_2H_yeast_1.3.ser#130
1.77211,416.199,232.214,-698.839,-101.327,360.888,-55.4684,-95.9399,226.691,-132.998,232.143,37.4148,48.8726,174.380,27.8465,163.861,1.71260,179.800,-580.677,-260.105,-451.051,198.638,155.684,158.682,-521.974,252.297,-40.6712,-367.234,195.687,-117.438,-80.4220,-504.151,365.141,262.551,-433.431,52.8241,-61.5287,-72.2665,-174.133,-110.195,-133.410,-304.357,-155.529,52.2070,525.666,-105.456,204.574,172.234,96.9296,-165.858,-317.280,-147.387,-164.297,-236.041,100.689,369.241,-223.610,-193.681,-282.701,-83.1157,417.158,212.726,186.837,17.0446,575.092,-415.292,-579.629,46.4618,-91.6783,415.448,307.080,62.7287,-234.898,-201.893,-36.7272,-26.8703,-269.020,-87.7866,407.170,282.457,417.229,265.648,151.768,304.599,-430.051,-1.80301,-124.803,-574.656,-95.9173,26.9058,158.007,-444.153,281.644,43.2725,-299.512,-33.1125,56.3362,-88.7047,-170.386,-176.308,-345.500,273.781,-215.560,-528.260,88.5489,221.733,79.9563,-59.8435,-646.760,-89.0790,311.283,-2.29881,-359.970,-209.799,-315.637,242.312,7.65173,148.806,461.300,-595.891,461.153,-388.908,-270.574,-103.649,-157.874,-329.871,412.887,482.638,-2.13939,336.087,242.958
1.78025,395.238,162.849,-766.936,-94.3865,257.792,-72.6909,-186.005,184.953,-127.209,329.819,-22.2475,1.18865,86.4362,32.7956,169.155,39.8468,308.112,-583.696,-222.757,-426.094,188.836,290.310,-6.18050,-433.136,231.274,-49.9667,-442.691,202.535,61.2555,-78.8630,-377.121,402.964,338.012,-459.084,47.0146,-170.457,-167.781,-286.818,-194.257,-60.0919,-222.582,-139.958,51.6839,610.946,-181.835,301.912,267.360,145.120,-95.3265,-378.051,-69.3876,-136.138,-223.135,137.959,290.887,-314.629,-207.216,-155.758,-14.7771,454.381,254.657,204.122,76.6686,571.159,-517.041,-612.063,-59.0840,-48.9056,358.813,244.474,43.2702,-333.626,-193.606,-185.441,-25.5764,-179.488,-147.310,563.886,327.331,430.522,217.670,115.641,348.366,-447.759,-24.4685,-133.554,-535.949,92.4348,-44.7624,155.628,-372.487,299.721,136.431,-213.567,9.07124,-65.4267,-78.3351,-176.508,-209.191,-390.563,207.423,-172.872,-448.578,69.6674,346.900,90.2721,-11.4507,-588.591,-8.47906,323.172,34.0977,-242.183,-210.086,-300.179,245.137,-38.2980,239.278,491.131,-646.687,359.369,-404.716,-246.204,-77.8812,-25.5630,-244.132,412.408,392.320,-45.6678,408.191,291.866
1.78840,366.054,50.9339,-795.189,-97.0705,194.951,-89.8048,-288.735,139.529,-180.751,374.423,-97.9407,-63.1607,63.0939,44.3079,192.875,59.7869,404.562,-587.551,-186.876,-397.387,160.378,351.614,-55.8584,-338.349,167.224,-104.748,-496.400,183.845,213.956,20.7463,-278.139,412.599,361.272,-511.036,3.55994,-216.395,-184.393,-343.310,-270.146,48.6509,-200.814,-100.043,41.5216,664.605,-246.496,288.756,290.905,194.868,-91.1226,-439.674,19.6700,-116.726,-138.678,209.940,157.342,-337.343,-197.533,-11.1340,19.3500,449.329,326.895,233.705,79.3962,566.250,-576.523,-606.875,-164.363,-5.76216,279.975,166.714,-35.9339,-355.381,-197.888,-319.035,-75.0666,-72.5423,-172.959,637.059,349.431,404.845,211.384,85.5094,364.230,-389.413,-82.9070,-119.422,-475.218,234.950,-104.171,111.252,-270.578,325.940,186.691,-126.388,36.0593,-167.231,-28.7169,-238.746,-187.451,-398.107,118.534,-175.590,-315.448,57.7457,416.725,73.1987,21.1063,-497.544,58.5689,270.887,18.1198,-113.660,-148.182,-322.896,198.186,-93.4649,281.777,466.070,-733.596,310.148,-339.684,-192.979,-101.405,46.2948,-121.450,388.991,288.195,-65.3260,467.771,354.954
1.79654,333.008,-15.5362,-775.048,-143.455,153.138,-108.951,-382.808,86.6506,-253.366,346.090,-159.119,-100.136,94.8795,31.8039,210.324,100.014,417.013,-594.725,-133.043,-371.066,106.896,347.464,-25.7688,-254.718,119.906,-172.826,-496.411,144.337,324.589,162.710,-201.756,377.010,319.299,-542.710,-63.2653,-190.706,-179.125,-366.628,-286.881,169.792,-209.838,-49.5038,8.72342,681.982,-276.075,176.314,276.117,275.441,-121.567,-465.227,90.8453,-141.055,1.50195,303.776,12.0070,-318.890,-158.919,142.711,31.4283,431.952,392.416,255.559,48.2280,538.990,-549.230,-557.517,-253.999,-14.3392,165.786,84.4253,-163.100,-301.053,-238.844,-379.068,-162.949,-24.4074,-152.962,633.731,305.202,346.040,212.603,57.4653,383.117,-258.696,-163.882,-98.6088,-424.082,319.143,-130.989,45.2214,-167.608,344.482,225.189,-81.3140,20.0261,-260.402,54.1356,-357.542,-113.658,-366.953,17.9670,-171.397,-190.980,52.4823,396.170,26.4554,22.3121,-423.552,58.5044,191.614,-70.2764,24.7297,-50.8084,-352.351,99.2596,-136.215,266.786,410.633,-803.407,323.605,-221.245,-147.155,-129.306,67.8913,-5.49793,309.822,228.412,-39.8841,500.160,439.663
1.80469,262.620,5.07692,-707.117,-269.764,91.1620,-93.0080,-448.411,14.2931,-293.984,297.562,-209.855,-120.499,145.366,-43.6455,206.469,171.781,356.588,-587.302,-45.0965,-373.658,20.2074,325.318,1.63390,-173.982,107.877,-189.374,-469.630,116.108,385.609,259.845,-143.430,347.823,235.148,-531.533,-138.034,-142.689,-203.609,-372.240,-220.196,277.554,-187.317,-50.2135,-38.9391,632.484,-272.041,37.0454,273.949,351.941,-139.046,-463.976,124.445,-229.147,130.957,363.000,-99.9565,-309.381,-84.4619,286.355,29.6892,426.640,418.962,254.157,23.3932,462.353,-438.323,-487.094,-332.755,-100.494,52.1158,27.7848,-330.087,-208.667,-305.663,-365.517,-250.564,-50.3406,-93.5085,566.732,221.283,246.180,191.719,17.7175,408.276,-88.5316,-237.731,-36.0454,-400.172,367.583,-155.349,-14.3065,-101.171,335.621,281.258,-68.9288,-27.0374,-358.156,145.035,-520.103,-20.3076,-314.911,-79.5177,-138.270,-140.790,54.4375,297.351,-48.5595,1.49031,-381.719,6.09687,129.800,-206.247,119.689,48.4215,-365.663,7.13564,-150.853,210.056,379.837,-803.179,371.823,-116.844,-133.323,-138.477,72.5326,67.9758,208.226,181.607,18.6333,489.945,491.783
1.81283,143.972,91.6771,-581.575,-449.045,-11.3233,-47.7962,-461.937,-74.6947,-283.495,266.419,-259.397,-136.202,190.949,-177.849,180.620,245.223,267.662,-544.950,49.6989,-415.303,-70.2675,329.041,-8.90521,-69.3544,115.557,-128.458,-441.017,120.007,393.528,264.221,-90.0542,354.098,138.251,-483.830,-195.969,-93.5846,-217.654,-347.682,-91.8909,381.439,-127.284,-104.233,-63.0730,508.213,-282.860,-62.9732,319.875,387.140,-103.558,-460.574,97.8990,-337.527,194.664,376.966,-169.836,-304.022,13.6050,393.554,16.6713,426.409,374.924,224.833,10.9300,334.573,-280.576,-416.463,-421.885,-235.821,-19.2337,23.1625,-533.007,-99.8704,-374.345,-305.995,-317.955,-129.443,2.08737,457.628,123.522,109.305,179.428,-18.5955,402.861,78.7509,-272.192,85.8204,-400.112,416.161,-172.174,-63.9227,-95.0116,302.093,317.545,-63.3705,-76.9333,-446.055,226.401,-697.306,52.2030,-299.113,-167.425,-110.457,-162.912,41.5650,176.347,-126.253,-20.6142,-349.775,-36.5225,133.199,-351.740,95.8373,143.885,-374.344,-31.4334,-143.801,154.837,400.881,-728.447,428.669,-68.3404,-154.669,-125.642,76.4646,67.8383,155.025,138.226,81.3982,432.407,494.161
1.82098,4.97630,175.953,-435.810,-571.365,-153.281,-35.7416,-416.128,-147.169,-240.342,244.081,-290.060,-123.173,210.010,-321.756,150.277,284.753,202.062,-477.604,89.1054,-422.756,-130.029,366.492,-15.0906,46.0195,142.197,-36.2604,-388.706,145.009,359.182,194.583,-28.8495,371.570,62.7028,-415.481,-226.708,-27.8727,-184.879,-269.652,47.2618,490.451,-55.8828,-139.732,-42.0369,363.311,-348.840,-95.2962,387.462,384.640,-25.2098,-457.107,25.6562,-399.144,213.286,367.413,-197.122,-237.992,123.731,454.995,-9.47275,406.324,254.519,160.190,-28.5120,189.654,-132.609,-347.502,-503.794,-350.906,-51.7981,32.1293,-734.772,10.6558,-446.025,-221.785,-349.505,-250.388,103.432,341.446,9.68062,-38.8103,168.638,-52.4285,347.753,213.841,-252.532,203.587,-403.838,491.601,-153.270,-114.771,-105.600,260.048,269.401,-45.6194,-115.758,-504.271,292.674,-816.127,68.5155,-349.264,-216.265,-101.755,-207.133,3.33561,104.512,-186.827,-57.4935,-277.948,-41.5990,206.611,-447.107,-29.3708,220.987,-392.771,-41.7969,-144.651,143.545,441.931,-621.922,468.000,-61.8938,-196.417,-102.167,57.4092,4.84615,152.166,120.184,134.623,355.628,482.682
1.82912,-129.204,183.060,-342.848,-564.806,-305.746,-91.5599,-340.416,-186.014,-191.123,238.622,-256.951,-54.8702,192.472,-393.357,157.747,279.496,174.670,-393.543,53.6071,-331.172,-163.159,430.919,13.8762,155.970,198.352,19.3983,-293.561,143.345,281.594,106.585,29.0122,359.547,31.8200,-340.968,-237.426,52.5493,-124.899,-133.675,136.729,575.620,15.7827,-105.301,3.51901,272.326,-441.081,-73.2373,452.990,352.881,34.9100,-439.561,-61.2179,-400.307,221.755,341.621,-188.304,-85.2196,233.216,485.412,-72.7264,344.193,111.155,82.7280,-127.690,77.5975,-46.5135,-271.493,-517.491,-387.433,-63.3735,-13.3503,-860.107,104.376,-544.847,-139.979,-340.614,-392.253,183.989,248.795,-126.313,-153.199,105.498,-89.2288,280.959,300.795,-220.333,250.415,-384.966,571.358,-94.9020,-164.493,-81.9089,227.806,132.509,-1.90134,-150.201,-532.253,334.139,-829.630,48.0376,-426.515,-199.202,-93.2704,-222.624,-42.3182,108.816,-215.677,-146.790,-165.527,-52.3952,314.156,-439.100,-175.082,241.068,-408.835,-86.9320,-196.225,160.743,451.527,-542.485,458.961,-84.7331,-236.437,-105.710,1.67951,-59.8115,137.973,113.682,187.037,293.921,480.318
1.83727,-242.182,111.496,-323.766,-455.439,-416.210,-178.710,-279.065,-199.336,-138.571,239.137,-145.447,69.0189,140.994,-358.381,199.382,264.981,145.543,-298.059,-16.4562,-183.706,-190.742,511.121,69.2403,260.734,256.203,-4.05162,-176.984,69.6960,167.880,48.5431,68.2810,299.087,46.1835,-274.558,-224.145,130.305,-66.5286,18.1318,124.032,604.154,94.2074,-5.56148,39.0671,270.470,-499.475,-54.2306,530.807,294.065,29.5572,-423.413,-160.585,-385.230,221.727,285.719,-161.818,95.1050,308.926,493.693,-173.743,249.457,4.66071,47.2614,-242.312,21.8757,-31.5474,-181.048,-446.415,-349.662,-61.9231,-132.187,-836.201,174.769,-667.478,-73.5272,-333.625,-504.972,247.728,173.131,-273.443,-211.927,1.70194,-85.8014,223.625,321.710,-233.921,205.807,-337.502,616.339,-2.11569,-220.421,-37.3236,207.100,-39.6795,43.7827,-216.166,-548.401,346.611,-772.541,43.3117,-482.710,-126.557,-57.3271,-220.493,-97.7347,170.430,-212.207,-270.195,-93.5890,-107.249,394.761,-345.035,-284.362,175.492,-406.538,-162.919,-315.486,171.248,403.850,-514.633,380.613,-136.126,-253.021,-175.429,-78.7312,-76.1090,87.4000,108.779,231.145,258.614,462.135
1.84541,-307.676,12.7482,-334.083,-314.045,-476.111,-240.494,-239.598,-203.248,-64.3960,209.402,-17.9387,211.891,66.1543,-279.391,237.258,299.619,98.1083,-202.852,-77.0411,-69.2933,-201.993,572.069,144.269,349.226,254.030,-66.5333,-84.3952,-65.8942,60.2021,17.0978,106.688,221.393,87.8088,-225.704,-183.907,194.526,-41.1709,121.362,17.4596,576.741,167.751,121.689,68.0720,337.270,-484.669,-87.2910,618.590,225.104,-29.9150,-446.072,-280.234,-391.808,198.664,198.934,-148.572,220.024,344.160,468.499,-292.512,152.642,-74.8994,90.5241,-291.574,8.14491,-42.9277,-72.2898,-337.218,-290.881,-32.2747,-265.109,-664.255,217.618,-746.311,-1.80814,-354.983,-549.267,284.116,77.0318,-395.137,-245.344,-44.7683,-14.1641,175.166,270.818,-292.948,114.370,-284.761,622.102,101.000,-288.237,-6.03528,179.962,-185.678,57.2822,-348.865,-563.364,346.574,-706.807,59.0041,-488.966,-27.5288,40.7481,-273.595,-168.430,270.285,-194.489,-357.381,-99.4825,-180.511,407.359,-251.247,-337.053,76.2193,-381.990,-198.798,-446.759,174.416,298.154,-512.719,248.792,-183.450,-226.905,-309.947,-168.323,-63.1745,37.4979,116.198,255.473,229.515,393.081
