2H chmeical shift,FA_20240704_2H_yeast_1.6.ser#1,FA_20240704_2H_yeast_1.6.ser#2,FA_20240704_2H_yeast_1.6.ser#3,FA_20240704_2H_yeast_1.6.ser#4,FA_20240704_2H_yeast_1.6.ser#5,FA_20240704_2H_yeast_1.6.ser#6,FA_20240704_2H_yeast_1.6.ser#7,FA_20240704_2H_yeast_1.6.ser#8,FA_20240704_2H_yeast_1.6.ser#9,FA_20240704_2H_yeast_1.6.ser#10,FA_20240704_2H_yeast_1.6.ser#11,FA_20240704_2H_yeast_1.6.ser#12,FA_20240704_2H_yeast_1.6.ser#13,FA_20240704_2H_yeast_1.6.ser#14,FA_20240704_2H_yeast_1.6.ser#15,FA_20240704_2H_yeast_1.6.ser#16,FA_20240704_2H_yeast_1.6.ser#17,FA_20240704_2H_yeast_1.6.ser#18,FA_20240704_2H_yeast_1.6.ser#19,FA_20240704_2H_yeast_1.6.ser#20,FA_20240704_2H_yeast_1.6.ser#21,FA_20240704_2H_yeast_1.6.ser#22,FA_20240704_2H_yeast_1.6.ser#23,FA_20240704_2H_yeast_1.6.ser#24,FA_20240704_2H_yeast_1.6.ser#25,FA_20240704_2H_yeast_1.6.ser#26,FA_20240704_2H_yeast_1.6.ser#27,FA_20240704_2H_yeast_1.6.ser#28,FA_20240704_2H_yeast_1.6.ser#29,FA_20240704_2H_yeast_1.6.ser#30,FA_20240704_2H_yeast_1.6.ser#31,FA_20240704_2H_yeast_1.6.ser#32,FA_20240704_2H_yeast_1.6.ser#33,FA_20240704_2H_yeast_1.6.ser#34,FA_20240704_2H_yeast_1.6.ser#35,FA_20240704_2H_yeast_1.6.ser#36,FA_20240704_2H_yeast_1.6.ser#37,FA_20240704_2H_yeast_1.6.ser#38,FA_20240704_2H_yeast_1.6.ser#39,FA_20240704_2H_yeast_1.6.ser#40,FA_20240704_2H_yeast_1.6.ser#41,FA_20240704_2H_yeast_1.6.ser#42,FA_20240704_2H_yeast_1.6.ser#43,FA_20240704_2H_yeast_1.6.ser#44,FA_20240704_2H_yeast_1.6.ser#45,FA_20240704_2H_yeast_1.6.ser#46,FA_20240704_2H_yeast_1.6.ser#47,FA_20240704_2H_yeast_1.6.ser#48,FA_20240704_2H_yeast_1.6.ser#49,FA_20240704_2H_yeast_1.6.ser#50,FA_20240704_2H_yeast_1.6.ser#51,FA_20240704_2H_yeast_1.6.ser#52,FA_20240704_2H_yeast_1.6.ser#53,FA_20240704_2H_yeast_1.6.ser#54,FA_20240704_2H_yeast_1.6.ser#55,FA_20240704_2H_yeast_1.6.ser#56,FA_20240704_2H_yeast_1.6.ser#57,FA_20240704_2H_yeast_1.6.ser#58,FA_20240704_2H_yeast_1.6.ser#59,FA_20240704_2H_yeast_1.6.ser#60,FA_20240704_2H_yeast_1.6.ser#61,FA_20240704_2H_yeast_1.6.ser#62,FA_20240704_2H_yeast_1.6.ser#63,FA_20240704_2H_yeast_1.6.ser#64,FA_20240704_2H_yeast_1.6.ser#65,FA_20240704_2H_yeast_1.6.ser#66,FA_20240704_2H_yeast_1.6.ser#67,FA_20240704_2H_yeast_1.6.ser#68,FA_20240704_2H_yeast_1.6.ser#69,FA_20240704_2H_yeast_1.6.ser#70,FA_20240704_2H_yeast_1.6.ser#71,FA_20240704_2H_yeast_1.6.ser#72,FA_20240704_2H_yeast_1.6.ser#73,FA_20240704_2H_yeast_1.6.ser#74,FA_20240704_2H_yeast_1.6.ser#75,FA_20240704_2H_yeast_1.6.ser#76,FA_20240704_2H_yeast_1.6.ser#77,FA_20240704_2H_yeast_1.6.ser#78,FA_20240704_2H_yeast_1.6.ser#79,FA_20240704_2H_yeast_1.6.ser#80,FA_20240704_2H_yeast_1.6.ser#81,FA_20240704_2H_yeast_1.6.ser#82,FA_20240704_2H_yeast_1.6.ser#83,FA_20240704_2H_yeast_1.6.ser#84,FA_20240704_2H_yeast_1.6.ser#85,FA_20240704_2H_yeast_1.6.ser#86,FA_20240704_2H_yeast_1.6.ser#87,FA_20240704_2H_yeast_1.6.ser#88,FA_20240704_2H_yeast_1.6.ser#89,FA_20240704_2H_yeast_1.6.ser#90,FA_20240704_2H_yeast_1.6.ser#91,FA_20240704_2H_yeast_1.6.ser#92,FA_20240704_2H_yeast_1.6.ser#93,FA_20240704_2H_yeast_1.6.ser#94,FA_20240704_2H_yeast_1.6.ser#95,FA_20240704_2H_yeast_1.6.ser#96,FA_20240704_2H_yeast_1.6.ser#97,FA_20240704_2H_yeast_1.6.ser#98,FA_20240704_2H_yeast_1.6.ser#99,FA_20240704_2H_yeast_1.6.ser#100,FA_20240704_2H_yeast_1.6.ser#101,FA_20240704_2H_yeast_1.6.ser#102,FA_20240704_2H_yeast_1.6.ser#103,FA_20240704_2H_yeast_1.6.ser#104,FA_20240704_2H_yeast_1.6.ser#105,FA_20240704_2H_yeast_1.6.ser#106,FA_20240704_2H_yeast_1.6.ser#107,FA_20240704_2H_yeast_1.6.ser#108,FA_20240704_2H_yeast_1.6.ser#109,FA_20240704_2H_yeast_1.6.ser#110,FA_20240704_2H_yeast_1.6.ser#111,FA_20240704_2H_yeast_1.6.ser#112,FA_20240704_2H_yeast_1.6.ser#113,FA_20240704_2H_yeast_1.6.ser#114,FA_20240704_2H_yeast_1.6.ser#115,FA_20240704_2H_yeast_1.6.ser#116,FA_20240704_2H_yeast_1.6.ser#117,FA_20240704_2H_yeast_1.6.ser#118,FA_20240704_2H_yeast_1.6.ser#119,FA_20240704_2H_yeast_1.6.ser#120,FA_20240704_2H_yeast_1.6.ser#121,FA_20240704_2H_yeast_1.6.ser#122,FA_20240704_2H_yeast_1.6.ser#123,FA_20240704_2H_yeast_1.6.ser#124,FA_20240704_2H_yeast_1.6.ser#125,FA_20240704_2H_yeast_1.6.ser#126,FA_20240704_2H_yeast_1.6.ser#127,FA_20240704_2H_yeast_1.6.ser#128,FA_20240704_2H_yeast_1.6.ser#129,FA_20240704_2H_yeast_1.6.ser#130
1.66198,281.84,475.904,-67.7494,229.995,-858.888,-99.225,232.259,-157.488,284.241,-37.5536,247.752,439.114,-396.911,-317.663,-131.609,-138.111,-190.257,41.2399,-357.063,-34.6788,-61.5175,317.723,21.5106,426.929,242.743,-416.894,-324.106,412.04,-473.967,-96.6624,-318.511,-385.437,457.049,632.001,135.839,74.8668,127.615,207.034,-8.21887,73.2816,-543.532,154.008,61.9154,-554.822,-278.5,592.769,-36.795,395.31,-154.469,-113.754,-114.368,-347.814,467.757,279.668,533.556,358.823,-350.26,-821.371,-31.8966,-5.25781,-99.5812,490.79,428.848,-292.303,-421.589,166.723,-360.352,34.6602,48.8866,-58.6882,361.043,423.192,-22.9833,382.571,177.187,351.143,-506.621,332.936,-70.5529,290.315,9.23486,-37.2625,-266.703,646.672,0.710571,-203.359,261.367,8.95752,55.864,-258.116,363.789,-389.469,-583.757,-86.3667,-210.651,-84.2979,-129.446,-284.666,146.192,468.547,-219.569,-397.66,214.132,294.802,180.787,-95.6652,316.113,209.018,-31.2219,251.223,242.366,680.566,223.772,171.564,101.938,117.214,-459.832,-379.234,-137.007,-171.44,415.144,299.885,177.064,-200.632,466.712,-102.815,-255.532,-332.653,480.011,-136.764
1.67012,324.916,480.818,-52.5793,197.334,-765.107,-137.004,241.12,-225.098,185.429,-65.375,245.173,391.962,-377.296,-345.431,-93.8397,-190.452,-194.705,-7.82556,-353.517,-52.1442,-43.5498,257.581,44.0156,356.96,185.642,-283.798,-296.93,380.445,-430.171,-45.166,-289.411,-179.448,554.76,638.153,136.078,-11.5238,200.812,93.1855,242.861,16.4144,-524.785,54.0676,68.251,-552.137,-313.335,703.898,-55.2922,439.564,-225.954,-82.406,-22.9021,-406.422,533.855,195.833,556.521,184.1,-232.458,-767.087,80.9619,55.7924,-102.911,520.005,376.687,-282.997,-356.9,78.5719,-463.16,30.5312,110.443,-96.4865,335.347,339.808,15.473,425.754,225.141,481.853,-444.377,256.75,-145.449,224.498,85.0975,-19.5259,-411.074,563.874,6.80676,-157.894,247.035,-59.8586,120.065,-204.717,391.87,-249.189,-552.419,-120.96,-253.141,-66.9468,-170.557,-221.812,93.6909,342.207,-237.327,-494.138,151.662,237.5,317.702,-81.7576,201.235,184.021,-36.0526,277.427,202.765,632.676,242.663,165.212,268.869,112.327,-344.814,-493.398,-182.996,-109.509,429.054,289.671,116.548,-240.854,484.499,-98.9059,-234.15,-264.39,454.537,-229.546
1.67827,367.991,485.731,-37.4093,164.675,-671.327,-85.9863,249.982,-292.708,86.6169,-93.1963,242.595,344.81,-357.682,-373.198,-56.0707,-242.793,-199.153,-56.8909,-349.97,-69.6094,-25.582,197.438,66.5205,286.991,128.541,-150.701,-269.755,348.85,-386.375,6.33032,-260.311,26.5409,652.47,644.305,136.316,-97.9144,274.01,-20.6625,419.504,-40.4529,-506.039,-45.8727,74.5867,-549.451,-348.171,695.241,-73.7893,483.818,-297.439,-51.0577,68.5637,-465.029,599.953,111.999,579.486,9.37842,-114.656,-712.803,193.82,116.843,-106.24,549.219,324.526,-273.69,-292.211,-9.57886,-565.967,26.4022,172,-134.285,309.651,256.423,53.9293,468.938,273.095,612.563,-382.132,180.563,-220.345,158.681,160.96,-1.78918,-555.445,481.075,12.903,-112.43,232.702,-128.675,184.265,-151.317,419.951,-108.91,-521.081,-155.554,-295.632,-49.5956,-211.668,-158.959,140.809,215.866,-255.084,-590.616,188.626,180.197,355.953,-67.85,86.3577,159.023,-40.8834,303.631,163.164,584.786,261.554,158.861,435.801,107.441,-229.795,-607.561,-228.985,-47.5775,344.049,279.457,56.0315,-281.075,502.287,-94.9971,-212.769,-196.127,429.063,-322.328
1.68641,388.879,353.421,-99.6005,88.2399,-577.547,-84.9169,157.699,-381.722,31.3309,-142.47,240.017,297.659,-264.87,-423.774,27.4141,-251.226,-203.602,-83.8682,-270.136,-132.086,42.9526,137.296,131.913,172.111,71.4401,-88.5305,-264.008,311.924,-299.841,57.8267,-231.211,78.9313,576.589,456.815,116.164,-38.5872,282.211,-96.9524,451.925,-60.8186,-521.985,-110.039,80.9222,-482.309,-383.006,604.233,-119.345,477.533,-285.362,-71.9906,86.4298,-489.066,666.05,-6.9231,522.851,-12.2174,-36.099,-617.696,296.722,177.893,-75.0155,433.32,217.995,-264.383,-326.39,-55.7191,-587.987,67.8998,158.801,-98.4425,211.51,173.039,19.0264,432.931,242.255,737.163,-463.084,177.923,-235.581,-50.8728,187.448,125.737,-650.185,446.414,42.4084,-19.7795,109.073,-120.156,292.608,-143.384,369.467,-130.13,-489.743,-83.7239,-380.228,67.2537,-185.616,-208.969,214.907,133.572,-154.325,-534.791,241.127,122.895,268.82,-29.5563,-4.11462,185.152,-71.4781,329.836,173.016,504.904,280.444,203.059,517.958,51.4969,-64.0675,-672.231,-225.158,39.4399,199.283,219.906,47.2133,-321.297,435.591,-66.0715,-215.679,-209.145,379.7,-365.61
1.69456,409.766,221.111,-161.792,11.8051,-483.767,-83.8474,65.4166,-470.735,-23.9552,-191.744,237.439,250.507,-172.059,-474.35,110.899,-259.659,-208.05,-110.846,-190.302,-194.562,111.487,77.153,197.306,57.2308,14.3392,-26.3597,-258.26,274.999,-213.306,109.323,-202.112,131.322,500.708,269.324,96.0125,20.7401,290.411,-173.242,360.284,-81.1843,-537.931,-174.204,87.2579,-415.166,-417.841,513.224,-164.901,471.249,-273.284,-92.9235,104.296,-513.104,732.148,-125.845,466.216,-33.8132,-92.0983,-455.02,399.624,238.943,-43.791,317.421,111.465,-255.077,-360.569,-101.859,-523.834,109.397,145.602,-62.6003,113.369,89.6549,-15.8766,396.924,211.414,861.762,-544.037,175.283,-152.071,-260.426,213.935,253.263,-744.925,411.753,71.9141,72.8704,-14.5547,-111.637,400.95,-135.451,318.982,-151.35,-458.405,-11.8939,-464.825,184.103,-159.565,-258.979,289.005,51.2789,-53.5658,-478.967,243.91,65.5924,181.686,8.7373,-94.5869,211.281,-102.073,356.04,182.868,425.021,299.335,247.257,600.116,-4.44714,101.66,-736.901,-221.331,126.458,54.5171,160.356,38.3949,-361.518,368.895,-37.146,-218.588,-222.163,330.337,-408.891
1.7027,380.154,85.3467,-236.433,3.08435,-447.241,-192.965,-90.4196,-396.994,-88.536,-159.007,149.81,278.985,-98.6905,-556.049,184.74,-228.3,-135.485,-123.558,-134.666,-223.983,165.742,41.8728,272.639,74.2772,51.6943,-36.6661,-191.355,201.786,-133.45,75.3035,-137.672,59.3496,369.119,107.148,14.3691,61.1282,220.921,-139.89,201.766,-124.934,-525.147,-172.318,76.8151,-366.488,-376.746,340.332,-185.089,503.658,-229.61,-82.6783,72.5477,-433.34,658.808,-166.734,333.978,54.9418,-189.358,-282.138,475.5,305.947,49.7025,216.696,26.3425,-185.88,-357.231,-197.559,-448.236,109.308,126.913,-33.547,15.6801,19.9242,-27.5968,390.614,208.028,870.514,-559.606,213.268,-5.55725,-329.737,92.8124,335.085,-736.911,314.663,175.062,131.975,-152.211,-77.5007,460.322,-151.88,316.496,-154.905,-420.388,142.367,-554.466,167.418,-191.651,-291.154,315.758,40.6932,63.463,-445.089,145.059,-2.86499,141.315,78.5295,-79.3016,305.446,-51.35,380.788,268.96,305.68,259.655,351.484,594.321,-74.6182,196.474,-660.567,-115.018,108.427,-129.66,61.3615,22.172,-408.63,358.566,21.7474,-184.808,-293.601,306.978,-329.257
1.71085,350.541,-50.4178,-311.074,-5.63635,-410.716,-302.082,-246.256,-323.253,-153.117,-126.269,62.182,307.464,-25.322,-637.748,258.582,-196.941,-62.9197,-136.27,-79.0292,-253.405,219.996,6.59265,347.972,91.3235,89.0496,-46.9725,-124.449,128.573,-53.5931,41.2841,-73.2333,-12.6224,237.531,-55.0277,-67.2743,101.516,151.43,-106.538,43.2474,-168.683,-512.363,-170.431,66.3722,-317.81,-335.651,167.439,-205.278,536.067,-185.935,-72.433,40.7996,-353.576,585.468,-207.623,201.74,143.697,-286.618,-109.256,551.376,372.951,143.196,115.97,-58.78,-116.683,-353.893,-293.258,-372.639,109.219,108.224,-4.49365,-82.0085,-49.8065,-39.3171,384.303,204.642,781.496,-575.175,251.252,140.956,-399.047,-28.3107,416.906,-728.898,217.574,278.209,191.079,-289.867,-43.3645,519.695,-168.308,314.01,-158.461,-382.372,296.628,-644.107,150.733,-223.736,-323.33,342.512,30.1075,180.492,-411.211,46.2083,-71.3224,100.944,148.322,33.606,399.61,-0.627197,405.537,355.052,186.339,219.975,455.71,588.526,-144.789,291.289,-584.232,-8.70532,90.3962,-313.838,-37.6328,5.94897,-455.743,348.236,80.6409,-151.028,-365.039,283.618,-249.624
1.71899,276.553,-48.9586,-339.299,-14.3571,-505.579,-405.65,-329.846,-178.167,-239.461,-72.0789,-25.4465,290.985,-25.1504,-673.831,225.753,-92.4014,26.7264,-104.806,-160.711,-260.32,274.25,46.0166,323.233,108.37,148.575,-78.5566,-57.5437,34.0377,47.6327,49.4729,-8.79419,-84.5946,199.414,-75.1989,-108.136,75.6689,81.9395,-110.743,-85.8059,-175.931,-464.887,-132.77,156.6,-376.559,-263.338,36.9698,-225.466,568.476,-142.261,-88.3285,103.68,-273.812,478.621,-143.251,103.616,232.452,-224.092,0.280396,610.184,405.314,156.064,15.2454,-67.785,29.7241,-392.927,-290.934,-363.466,-27.7495,89.5352,24.5598,-107.251,-75.4786,-51.0374,377.993,248.534,600.819,-479.368,283.273,211.352,-356.563,-67.142,420.307,-671.253,200.714,303.325,140.085,-427.523,-55.6294,579.068,-108.959,390.09,-162.017,-270.347,374.871,-607.428,134.048,-322.985,-304.397,344.36,19.5217,111.28,-428.1,-55.7501,-139.78,85.2386,126.667,140.412,493.775,7.15564,370.995,465.87,152.313,155.579,509.386,497.957,-240.489,301.589,-557.391,-18.6296,-11.2549,-382.614,-111.959,-10.2739,-443.485,388.597,81.162,-117.248,-387.708,212.483,-120.489
1.72714,202.566,-47.4994,-367.524,-23.0779,-600.443,-509.217,-413.437,-33.0803,-325.804,-17.8887,-113.075,274.507,-24.9789,-709.914,192.925,12.1384,116.373,-73.3419,-242.393,-267.236,328.504,85.4404,298.494,125.416,208.101,-110.141,9.36182,-60.4976,148.859,57.6617,55.645,-156.567,161.298,-95.37,-148.997,49.8215,12.4489,-114.949,-214.859,-183.179,-417.41,-95.1093,246.828,-435.309,-191.026,26.2859,-245.654,600.885,-98.5864,-104.224,166.56,-194.048,371.774,-78.8792,5.49268,321.207,-161.566,42.2472,668.991,437.677,168.931,-85.4798,-76.7899,176.131,-431.962,-288.609,-354.293,-164.718,70.8462,53.6132,-132.494,-101.151,-62.7577,371.682,292.425,420.142,-383.561,315.295,281.748,-314.078,-105.973,423.707,-613.608,183.853,328.442,89.0902,-565.179,-67.8943,638.44,-49.6095,466.17,-165.573,-158.322,453.115,-570.749,117.364,-422.233,-285.464,346.208,8.93604,42.0679,-444.99,-157.708,-208.237,69.5334,7.46716,247.218,587.94,14.9385,336.453,576.688,118.287,91.1832,563.062,407.388,-336.189,311.889,-530.55,-28.5539,-112.906,-451.391,-186.285,-26.4968,-431.226,428.958,81.6832,-83.4678,-410.378,141.347,8.64575
1.73528,210.395,53.0658,-394.782,-83.325,-750.965,-502.251,-294.739,14.3527,-310.134,47.9216,-29.2123,154.066,-4.67822,-636.233,104.857,62.2501,145.76,-7.82556,-343.146,-281.654,348.111,215.443,295.646,38.1378,209.891,-64.5931,115.105,-105.725,272.344,79.0406,-29.2247,-235.521,164.075,-77.6194,-146.953,-12.4552,-18.8562,-95.6809,-333.833,-68.7557,-369.211,-85.397,305.597,-492.716,-196.757,94.8347,-254.004,503.789,-95.6487,-125.021,144.012,-158.577,396.86,-1.34924,10.4233,326.075,18.6959,-3.06287,700.773,335.085,137.887,-172.949,-98.0281,294.964,-533.671,-224.144,-409.75,-276.973,26.9271,28.3568,-218.41,-68.537,-126.746,366.361,308.738,251.177,-267.866,264.825,233.853,-299.542,-89.2579,331.041,-499.093,260.76,258.457,24.3336,-637.453,-85.476,617.807,1.21484,530.465,-243.454,-84.2261,502.853,-503.368,246.373,-487.9,-219.683,339.236,7.78894,-39.3134,-430.15,-181.984,-272.445,44.5785,-142.215,272.673,572.396,23.7949,282.853,631.356,124.252,137.493,518.272,288.738,-477.096,241.901,-542.891,-136.034,-164.385,-423.314,-179.411,35.3657,-327.79,440.277,12.3662,-69.9305,-347.703,49.8068,75.9041
