2H chemical shift (ppm),FA_20240729_2H_yeast_1.5.ser#1,FA_20240729_2H_yeast_1.5.ser#2,FA_20240729_2H_yeast_1.5.ser#3,FA_20240729_2H_yeast_1.5.ser#4,FA_20240729_2H_yeast_1.5.ser#5,FA_20240729_2H_yeast_1.5.ser#6,FA_20240729_2H_yeast_1.5.ser#7,FA_20240729_2H_yeast_1.5.ser#8,FA_20240729_2H_yeast_1.5.ser#9,FA_20240729_2H_yeast_1.5.ser#10,FA_20240729_2H_yeast_1.5.ser#11,FA_20240729_2H_yeast_1.5.ser#12,FA_20240729_2H_yeast_1.5.ser#13,FA_20240729_2H_yeast_1.5.ser#14,FA_20240729_2H_yeast_1.5.ser#15,FA_20240729_2H_yeast_1.5.ser#16,FA_20240729_2H_yeast_1.5.ser#17,FA_20240729_2H_yeast_1.5.ser#18,FA_20240729_2H_yeast_1.5.ser#19,FA_20240729_2H_yeast_1.5.ser#20,FA_20240729_2H_yeast_1.5.ser#21,FA_20240729_2H_yeast_1.5.ser#22,FA_20240729_2H_yeast_1.5.ser#23,FA_20240729_2H_yeast_1.5.ser#24,FA_20240729_2H_yeast_1.5.ser#25,FA_20240729_2H_yeast_1.5.ser#26,FA_20240729_2H_yeast_1.5.ser#27,FA_20240729_2H_yeast_1.5.ser#28,FA_20240729_2H_yeast_1.5.ser#29,FA_20240729_2H_yeast_1.5.ser#30,FA_20240729_2H_yeast_1.5.ser#31,FA_20240729_2H_yeast_1.5.ser#32,FA_20240729_2H_yeast_1.5.ser#33,FA_20240729_2H_yeast_1.5.ser#34,FA_20240729_2H_yeast_1.5.ser#35,FA_20240729_2H_yeast_1.5.ser#36,FA_20240729_2H_yeast_1.5.ser#37,FA_20240729_2H_yeast_1.5.ser#38,FA_20240729_2H_yeast_1.5.ser#39,FA_20240729_2H_yeast_1.5.ser#40,FA_20240729_2H_yeast_1.5.ser#41,FA_20240729_2H_yeast_1.5.ser#42,FA_20240729_2H_yeast_1.5.ser#43,FA_20240729_2H_yeast_1.5.ser#44,FA_20240729_2H_yeast_1.5.ser#45,FA_20240729_2H_yeast_1.5.ser#46,FA_20240729_2H_yeast_1.5.ser#47,FA_20240729_2H_yeast_1.5.ser#48,FA_20240729_2H_yeast_1.5.ser#49,FA_20240729_2H_yeast_1.5.ser#50,FA_20240729_2H_yeast_1.5.ser#51,FA_20240729_2H_yeast_1.5.ser#52,FA_20240729_2H_yeast_1.5.ser#53,FA_20240729_2H_yeast_1.5.ser#54,FA_20240729_2H_yeast_1.5.ser#55,FA_20240729_2H_yeast_1.5.ser#56,FA_20240729_2H_yeast_1.5.ser#57,FA_20240729_2H_yeast_1.5.ser#58,FA_20240729_2H_yeast_1.5.ser#59,FA_20240729_2H_yeast_1.5.ser#60,FA_20240729_2H_yeast_1.5.ser#61,FA_20240729_2H_yeast_1.5.ser#62,FA_20240729_2H_yeast_1.5.ser#63,FA_20240729_2H_yeast_1.5.ser#64,FA_20240729_2H_yeast_1.5.ser#65,FA_20240729_2H_yeast_1.5.ser#66,FA_20240729_2H_yeast_1.5.ser#67,FA_20240729_2H_yeast_1.5.ser#68,FA_20240729_2H_yeast_1.5.ser#69,FA_20240729_2H_yeast_1.5.ser#70,FA_20240729_2H_yeast_1.5.ser#71,FA_20240729_2H_yeast_1.5.ser#72,FA_20240729_2H_yeast_1.5.ser#73,FA_20240729_2H_yeast_1.5.ser#74,FA_20240729_2H_yeast_1.5.ser#75,FA_20240729_2H_yeast_1.5.ser#76,FA_20240729_2H_yeast_1.5.ser#77,FA_20240729_2H_yeast_1.5.ser#78,FA_20240729_2H_yeast_1.5.ser#79,FA_20240729_2H_yeast_1.5.ser#80,FA_20240729_2H_yeast_1.5.ser#81,FA_20240729_2H_yeast_1.5.ser#82,FA_20240729_2H_yeast_1.5.ser#83,FA_20240729_2H_yeast_1.5.ser#84,FA_20240729_2H_yeast_1.5.ser#85,FA_20240729_2H_yeast_1.5.ser#86,FA_20240729_2H_yeast_1.5.ser#87,FA_20240729_2H_yeast_1.5.ser#88,FA_20240729_2H_yeast_1.5.ser#89,FA_20240729_2H_yeast_1.5.ser#90,FA_20240729_2H_yeast_1.5.ser#91,FA_20240729_2H_yeast_1.5.ser#92,FA_20240729_2H_yeast_1.5.ser#93,FA_20240729_2H_yeast_1.5.ser#94,FA_20240729_2H_yeast_1.5.ser#95,FA_20240729_2H_yeast_1.5.ser#96,FA_20240729_2H_yeast_1.5.ser#97,FA_20240729_2H_yeast_1.5.ser#98,FA_20240729_2H_yeast_1.5.ser#99,FA_20240729_2H_yeast_1.5.ser#100,FA_20240729_2H_yeast_1.5.ser#101,FA_20240729_2H_yeast_1.5.ser#102,FA_20240729_2H_yeast_1.5.ser#103,FA_20240729_2H_yeast_1.5.ser#104,FA_20240729_2H_yeast_1.5.ser#105,FA_20240729_2H_yeast_1.5.ser#106,FA_20240729_2H_yeast_1.5.ser#107,FA_20240729_2H_yeast_1.5.ser#108,FA_20240729_2H_yeast_1.5.ser#109,FA_20240729_2H_yeast_1.5.ser#110,FA_20240729_2H_yeast_1.5.ser#111,FA_20240729_2H_yeast_1.5.ser#112,FA_20240729_2H_yeast_1.5.ser#113,FA_20240729_2H_yeast_1.5.ser#114,FA_20240729_2H_yeast_1.5.ser#115,FA_20240729_2H_yeast_1.5.ser#116,FA_20240729_2H_yeast_1.5.ser#117,FA_20240729_2H_yeast_1.5.ser#118,FA_20240729_2H_yeast_1.5.ser#119,FA_20240729_2H_yeast_1.5.ser#120,FA_20240729_2H_yeast_1.5.ser#121,FA_20240729_2H_yeast_1.5.ser#122,FA_20240729_2H_yeast_1.5.ser#123,FA_20240729_2H_yeast_1.5.ser#124,FA_20240729_2H_yeast_1.5.ser#125,FA_20240729_2H_yeast_1.5.ser#126,FA_20240729_2H_yeast_1.5.ser#127,FA_20240729_2H_yeast_1.5.ser#128,FA_20240729_2H_yeast_1.5.ser#129,FA_20240729_2H_yeast_1.5.ser#130
0.309853,-665.501,-426.949,590.939,20.5548,-266.046,537.14,-277.133,-430.844,82.3463,577.083,-266.171,-115.303,793.034,-445.655,264.404,-36.498,-105.353,575.719,-371.911,-515.694,-29.6314,410.993,541.415,29.8546,207.131,-2.5176,-185.102,130.037,199.897,131.381,440.444,-229.606,584.289,-1.73824,669.108,-92.5063,49.7261,136.659,-192.245,-23.0269,182.126,-622.21,7.79714,-70.8787,204.687,322.646,-163.841,27.9751,-143.057,-212.859,246.39,334.147,-332.23,-577.784,189.983,259.265,153.334,85.238,-295.16,117.223,-249.764,-36.1421,-592.82,34.3924,-216.17,-235.468,69.7133,-354.027,-226.809,-449.673,150.466,-171.194,83.3405,198.681,-19.5169,16.7462,-133.949,-67.1419,-130.625,-604.782,-333.612,355.177,211.458,487.062,54.3055,29.3234,31.0599,-178.795,325.356,100.961,-481.346,-146.493,343.397,153.128,-294.36,-390.171,-176.267,-456.535,-4.82017,-80.0442,-246.16,411.066,39.5927,538.364,-81.1282,-222.836,123.971,316.915,-405.277,-301.927,-161.227,-4.41329,-436.736,-457.186,8.74277,-238.155,118.671,680.354,364.652,-414.279,245.568,-141.404,-84.471,-328.448,-46.3296,-345.074,596.593,599.412,-47.5351,-45.7406
0.317998,-679.231,-370.433,524.121,19.7191,-281.841,479.19,-300.832,-506.852,106.34,606.689,-269.087,-87.2857,685.676,-405.777,343.797,-30.6844,-114.896,712.497,-391.871,-501.971,32.9116,333.645,580.722,92.1194,168.52,-48.7803,-140.787,131.604,178.298,97.9867,530.007,-279.005,713.558,36.8772,621.076,-53.5529,126.131,277.508,-171.709,-53.9037,208.444,-591.863,60.4141,-130.186,166.761,505.055,-170.558,83.5504,-131.835,-98.1096,180.988,387.381,-366.733,-611.576,152.016,271.958,206.056,49.0259,-185.372,18.2086,-349.745,48.0094,-575.787,49.67,-199.985,-266.291,74.5174,-449.308,-214.128,-460.952,197.969,-266.907,85.3313,144.603,-0.965282,-8.43936,-108.928,-100.517,-106.737,-744.415,-301.389,309.512,255.002,352.377,58.5052,74.6733,103.701,-202.458,282.151,54.825,-412.594,-134.999,297.968,214.8,-285.221,-368.678,-118.889,-453.384,62.9482,-48.7288,-218.508,497.401,56.971,505.284,-139.284,-323.12,108.423,285.278,-334.939,-187.934,-64.8238,36.0346,-327.396,-483.435,2.55055,-346.15,111.092,603.354,285.706,-446.225,101.88,-133.693,-69.3725,-313.925,90.2143,-483.703,599.611,531.674,70.4473,-10.5857
0.326143,-607.604,-312.984,457.772,36.4678,-282.206,469.589,-297.497,-522.037,159.613,550.119,-276.68,-61.9348,597.059,-331.095,376.981,-26.9746,-67.2497,804.543,-401.071,-468.19,63.4335,248.561,578.477,158.916,191.605,-58.3469,-138.977,133.699,123.742,97.4537,538.365,-284.38,803.499,83.3234,559.483,-49.7306,198.452,413.903,-152.031,-26.9828,225.381,-553.242,110.407,-156.705,140.257,617.377,-232.705,166.119,-140.79,24.1086,61.6305,451.89,-326.847,-627.732,136.216,252.74,280.525,-1.82258,-106.314,-95.1159,-427.424,102.076,-522.464,37.4596,-158.434,-287.503,99.8414,-504.539,-221.389,-509.496,192.788,-331.885,60.6988,158.116,-11.2386,-13.3871,-99.0166,-159.022,-46.3603,-817.089,-314.475,227.008,238.144,201.86,80.9017,112.15,190.033,-234.517,230.817,26.2747,-303.774,-130.596,269.152,288.254,-265.916,-343.753,-80.6565,-356.399,157.722,11.202,-108.529,560.192,86.5607,448.344,-171.688,-354.096,100.685,305.906,-225.811,-65.9153,4.79014,24.446,-190.738,-455.306,36.6194,-488.779,116.924,518.609,201.852,-449.335,4.89351,-88.0805,-66.4107,-249.463,192.781,-561.723,567.857,482.024,176.037,18.167
0.334288,-427.809,-292.501,430.988,35.55,-273.126,494.131,-285.668,-478.219,182.403,427.926,-285.465,-15.5454,506.037,-260.165,368.57,-27.7188,16.9991,854.938,-406.036,-393.275,93.5306,168.488,543.509,192.055,298.069,-6.88178,-181.027,136.155,121.246,119.688,478.673,-243.109,822.578,133.55,516.937,-37.0264,262.573,533.669,-135.065,26.631,234.772,-524.894,126.201,-92.8808,95.2858,643.369,-355.039,271.788,-158.343,151.689,-78.254,479.446,-244.815,-600.204,163.441,219.913,357.608,-58.3681,-109.319,-208.445,-446.925,136.797,-443.062,-32.2126,-115.563,-283.005,136.705,-531.677,-225.206,-533.323,162.655,-343.347,25.9966,241.919,-12.7359,13.9862,-134.494,-235.777,18.118,-788.478,-346.91,98.1949,200.307,22.2399,102.791,122.433,242.803,-252.303,211.035,41.6202,-192.746,-128.765,264.237,368.957,-251.239,-299.656,-98.63,-188.74,262.91,47.8002,50.2577,592.878,116.503,341.805,-168.983,-304.471,119.667,356.722,-114.177,13.2738,46.1744,-47.5135,-91.1147,-383.174,113.723,-599.018,141.785,431.462,161.598,-432.009,-14.2977,-34.5322,-53.8396,-142.226,264.343,-514.719,517.474,446.952,218.485,82.5462
0.342433,-187.58,-301.633,409.056,-11.3662,-259.38,535.916,-285.513,-401.776,140.829,309.418,-299.36,37.4293,393.104,-220.58,303.846,-44.029,97.0214,885.917,-432.667,-296.168,144.241,130.842,514.13,207.773,413.533,87.4782,-235.136,123.378,203.655,146.614,372.419,-179.293,776.208,165.407,496.762,12.7083,293.783,606.092,-110.037,92.3282,234.167,-507.501,77.1109,53.7303,5.93425,592.354,-478.437,383.445,-161.509,282.873,-197.551,435.588,-172.705,-526.414,210.749,203.278,410.779,-120.971,-175.569,-283.5,-397.253,138.834,-338.153,-129.511,-81.4197,-275.106,175.309,-530.495,-213.846,-475.096,116.708,-297.789,-37.9726,339.425,7.03582,44.8077,-233.077,-268.642,53.9704,-675.762,-354.963,-44.9008,201.013,-198.655,112.192,71.5676,224.684,-220.583,228.051,90.1274,-92.3698,-121.974,285.314,433.451,-203.084,-237.784,-146.875,-29.3215,344.711,22.3921,175.531,595.188,144.142,186.067,-145.006,-184.53,146.698,392.391,-36.4792,83.2698,52.5365,-144.24,-81.681,-242.086,215.181,-643.712,168.897,319.57,149.83,-416.77,-13.0227,4.44417,-24.5829,-27.953,302.209,-392.497,467.173,403.856,205.528,166.423
0.350578,15.398,-321.55,319.008,-84.6531,-233.882,565.608,-278.575,-311.448,54.3862,227.302,-316.172,69.7645,268.339,-205.708,204.668,-64.1349,140.051,908.47,-490.601,-222.191,178.071,156.029,520.896,250.196,451.569,201.02,-262.943,99.8215,312.655,151.628,268.832,-134.461,674.051,161.521,478.408,58.6725,329.233,598.55,-41.1911,139.894,227.204,-497.265,-2.9318,261.293,-115.692,486.925,-530.697,478.072,-178.972,398.287,-272.643,346.341,-124.306,-435.822,216.493,237.764,418.485,-187.418,-235.656,-270.355,-308.519,76.2367,-208.613,-180.269,-76.8428,-260.284,175.297,-502.499,-203.464,-337.833,47.6432,-245.724,-131.205,370.243,23.2168,60.6508,-355.185,-198.094,46.6058,-529.621,-296.724,-156.494,269.615,-413.408,131.165,-53.3119,152.213,-139.652,253.501,118.925,10.4248,-88.9214,305.402,454.593,-105.687,-189.442,-181.101,50.26,371.836,-48.968,220.285,571.866,181.519,24.1707,-118.901,-49.5294,171.442,400.579,7.26624,173.514,42.0867,-228.602,-158.141,-36.6764,295.97,-657.736,170.438,197.85,95.7685,-426.2,-35.3759,32.5403,25.7456,58.5737,308.979,-271.849,416.047,348.169,165.867,185.84
0.358723,105.809,-356.335,171.381,-151.014,-165.315,545.736,-250.372,-241.513,-16.2041,155.681,-326.591,92.1654,148.905,-176.536,118.584,-88.1607,117.59,904.56,-535.422,-186.381,157.506,209.214,551.889,305.661,394.825,299.366,-260.43,92.7771,390.674,112.676,227.987,-112.965,521.026,121.821,459.279,52.0573,392.851,508.553,74.9883,155.83,240.85,-501.032,-77.2312,502.432,-218.889,370.049,-484.453,523.538,-257.226,483.902,-307.485,252.36,-87.3821,-349.812,162.259,314.167,390.295,-224.057,-253.868,-168.62,-200.142,-49.883,-96.187,-157.853,-112.285,-205.439,117.522,-460.45,-190.97,-150.962,-60.7066,-254.503,-219.923,314.423,-4.62111,61.7712,-434.745,-16.4816,16.1134,-399.523,-157.418,-224.016,375.447,-564.318,186.972,-227.639,79.3843,-64.7484,255.309,96.9268,109.387,-17.7227,305.546,436.072,-5.9078,-181.01,-192.268,60.9039,330.199,-107.788,208.478,542.703,232.482,-107.863,-92.7431,43.9665,209.399,417.743,28.3815,254.114,44.0723,-245.011,-245.007,168.287,307.37,-682.924,156.731,103.078,-15.1656,-466.827,-68.0773,76.1995,87.5623,118.098,316.801,-182.122,362.076,294.019,117.497,126.658
0.366868,105.097,-405.648,41.2484,-209.902,-54.1076,475.335,-222.47,-217.248,-22.7814,88.8025,-312.611,139.56,60.132,-126.984,50.1036,-125.769,60.8537,842.163,-538.885,-157.752,98.9152,250.719,575.833,327.753,297.497,376.247,-250.149,105.187,432.158,19.5845,249.498,-96.6507,347.446,46.3783,452.07,15.1189,433.847,374.463,203.492,160.862,280.39,-520.92,-152.841,716.76,-287.736,286.145,-355.191,458.013,-376.021,535.623,-309.555,179.026,-64.0192,-239.426,107.815,411.465,344.487,-186.935,-255.022,-54.6124,-72.3786,-186.667,-59.4465,-116.816,-173.914,-130.574,20.3912,-394.837,-150.938,32.6002,-220.924,-314.7,-268.355,220.797,-80.2291,49.6512,-472.403,223.524,14.5234,-292.156,23.077,-232.48,440.641,-636.884,275.971,-407.712,31.2624,-40.9691,196.692,46.145,176.117,68.7999,310.604,402.713,35.1436,-217.511,-186.66,46.4037,236.858,-132.618,173.623,500.051,290.686,-205.898,-50.7722,96.3197,244.075,440.783,54.0586,280.974,47.0355,-150.475,-272.827,312.308,250.413,-701.917,149.954,35.5014,-118.216,-500.034,-76.714,137.558,155.212,169.751,343.325,-110.101,318.128,278.16,51.4193,51.2524
0.375013,79.9269,-436.526,-44.73,-265.059,30.2419,389.763,-207.947,-229.084,43.636,27.6927,-261.939,219.775,19.5502,-87.7719,-32.3477,-159.7,39.0428,735.782,-516.555,-100.736,5.89212,255.329,568.344,306.098,196.488,449.648,-234.683,132.078,435.128,-118.306,279.938,-77.2289,190.301,-38.7178,459.217,-9.69689,407.435,240.674,300.841,171.542,333.461,-532.698,-246.112,855.432,-344.853,243.813,-200.882,276.274,-485.307,542.269,-291.211,134.094,-51.3393,-86.7615,103.667,516.76,279.76,-78.3795,-276.951,-14.4586,68.3346,-271.937,-86.954,-101.554,-256.183,-106.585,-80.5714,-300.871,-83.837,144.351,-387.76,-387.531,-270.401,120.914,-166.306,33.994,-499.683,436.633,72.3559,-204.402,177.229,-167.258,425.583,-638.394,370.332,-540.025,-26.9866,-67.2723,75.9923,14.1576,187.053,122,341.733,370.935,2.66897,-275.716,-149.201,13.792,150.128,-141.71,121.46,396.996,328.333,-296.056,-8.42416,147.294,264.407,421.78,127.13,243.625,34.6227,32.0395,-240.88,390.012,165.659,-685.409,134.015,-22.7016,-178.317,-484.493,-46.5293,187.916,228.437,213.777,385.036,-36.0906,312.019,315.291,-18.8847,-9.19598
0.383158,58.0665,-437.744,-114.23,-299.768,29.2742,350.765,-208.352,-243.341,146.484,-33.1128,-192.584,301.857,21.8726,-77.7739,-138.216,-188.379,53.2022,635.415,-489.303,-42.764,-137.814,226.365,517.055,270.057,76.6675,497.281,-177.867,179.799,398.573,-274.745,296.299,-36.4558,49.172,-77.2292,479.496,-15.7126,312.545,130.867,321.723,188.134,388.292,-519.85,-351.851,896.965,-382.226,205.384,-83.6385,70.4508,-538.52,466.308,-284.876,119.852,-20.0902,67.331,134.05,605.802,203.984,44.8886,-312.519,-46.5658,217.229,-290.869,-98.6455,-93.1159,-350.45,-171.085,-141.702,-228.89,-19.6487,180.026,-479.323,-475.454,-238.107,-3.73028,-195.973,15.6058,-524.089,551.454,160.575,-131.843,272.96,-63.9281,364.036,-575.493,439.085,-572.159,-128.253,-119.239,-51.4643,57.8265,163.502,119.553,372.182,347.248,-74.6262,-330.053,-78.0167,-51.3506,128.586,-141.101,64.1553,246.438,325.529,-372.221,-19.0786,206.557,281.825,330.387,243.854,189.539,15.5313,235.984,-182.585,421.818,81.8351,-637.347,99.9253,-62.3835,-203.254,-417.553,-3.95146,215.832,282.416,235.714,445.337,21.4078,367.507,360.504,-23.5337,-59.0042
