2H chemical shift (ppm),FA_20240729_2H_yeast_1.10.ser#1,FA_20240729_2H_yeast_1.10.ser#2,FA_20240729_2H_yeast_1.10.ser#3,FA_20240729_2H_yeast_1.10.ser#4,FA_20240729_2H_yeast_1.10.ser#5,FA_20240729_2H_yeast_1.10.ser#6,FA_20240729_2H_yeast_1.10.ser#7,FA_20240729_2H_yeast_1.10.ser#8,FA_20240729_2H_yeast_1.10.ser#9,FA_20240729_2H_yeast_1.10.ser#10,FA_20240729_2H_yeast_1.10.ser#11,FA_20240729_2H_yeast_1.10.ser#12,FA_20240729_2H_yeast_1.10.ser#13,FA_20240729_2H_yeast_1.10.ser#14,FA_20240729_2H_yeast_1.10.ser#15,FA_20240729_2H_yeast_1.10.ser#16,FA_20240729_2H_yeast_1.10.ser#17,FA_20240729_2H_yeast_1.10.ser#18,FA_20240729_2H_yeast_1.10.ser#19,FA_20240729_2H_yeast_1.10.ser#20,FA_20240729_2H_yeast_1.10.ser#21,FA_20240729_2H_yeast_1.10.ser#22,FA_20240729_2H_yeast_1.10.ser#23,FA_20240729_2H_yeast_1.10.ser#24,FA_20240729_2H_yeast_1.10.ser#25,FA_20240729_2H_yeast_1.10.ser#26,FA_20240729_2H_yeast_1.10.ser#27,FA_20240729_2H_yeast_1.10.ser#28,FA_20240729_2H_yeast_1.10.ser#29,FA_20240729_2H_yeast_1.10.ser#30,FA_20240729_2H_yeast_1.10.ser#31,FA_20240729_2H_yeast_1.10.ser#32,FA_20240729_2H_yeast_1.10.ser#33,FA_20240729_2H_yeast_1.10.ser#34,FA_20240729_2H_yeast_1.10.ser#35,FA_20240729_2H_yeast_1.10.ser#36,FA_20240729_2H_yeast_1.10.ser#37,FA_20240729_2H_yeast_1.10.ser#38,FA_20240729_2H_yeast_1.10.ser#39,FA_20240729_2H_yeast_1.10.ser#40,FA_20240729_2H_yeast_1.10.ser#41,FA_20240729_2H_yeast_1.10.ser#42,FA_20240729_2H_yeast_1.10.ser#43,FA_20240729_2H_yeast_1.10.ser#44,FA_20240729_2H_yeast_1.10.ser#45,FA_20240729_2H_yeast_1.10.ser#46,FA_20240729_2H_yeast_1.10.ser#47,FA_20240729_2H_yeast_1.10.ser#48,FA_20240729_2H_yeast_1.10.ser#49,FA_20240729_2H_yeast_1.10.ser#50,FA_20240729_2H_yeast_1.10.ser#51,FA_20240729_2H_yeast_1.10.ser#52,FA_20240729_2H_yeast_1.10.ser#53,FA_20240729_2H_yeast_1.10.ser#54,FA_20240729_2H_yeast_1.10.ser#55,FA_20240729_2H_yeast_1.10.ser#56,FA_20240729_2H_yeast_1.10.ser#57,FA_20240729_2H_yeast_1.10.ser#58,FA_20240729_2H_yeast_1.10.ser#59,FA_20240729_2H_yeast_1.10.ser#60,FA_20240729_2H_yeast_1.10.ser#61,FA_20240729_2H_yeast_1.10.ser#62,FA_20240729_2H_yeast_1.10.ser#63,FA_20240729_2H_yeast_1.10.ser#64,FA_20240729_2H_yeast_1.10.ser#65,FA_20240729_2H_yeast_1.10.ser#66,FA_20240729_2H_yeast_1.10.ser#67,FA_20240729_2H_yeast_1.10.ser#68,FA_20240729_2H_yeast_1.10.ser#69,FA_20240729_2H_yeast_1.10.ser#70,FA_20240729_2H_yeast_1.10.ser#71,FA_20240729_2H_yeast_1.10.ser#72,FA_20240729_2H_yeast_1.10.ser#73,FA_20240729_2H_yeast_1.10.ser#74,FA_20240729_2H_yeast_1.10.ser#75,FA_20240729_2H_yeast_1.10.ser#76,FA_20240729_2H_yeast_1.10.ser#77,FA_20240729_2H_yeast_1.10.ser#78,FA_20240729_2H_yeast_1.10.ser#79,FA_20240729_2H_yeast_1.10.ser#80,FA_20240729_2H_yeast_1.10.ser#81,FA_20240729_2H_yeast_1.10.ser#82,FA_20240729_2H_yeast_1.10.ser#83,FA_20240729_2H_yeast_1.10.ser#84,FA_20240729_2H_yeast_1.10.ser#85,FA_20240729_2H_yeast_1.10.ser#86,FA_20240729_2H_yeast_1.10.ser#87,FA_20240729_2H_yeast_1.10.ser#88,FA_20240729_2H_yeast_1.10.ser#89,FA_20240729_2H_yeast_1.10.ser#90,FA_20240729_2H_yeast_1.10.ser#91,FA_20240729_2H_yeast_1.10.ser#92,FA_20240729_2H_yeast_1.10.ser#93,FA_20240729_2H_yeast_1.10.ser#94,FA_20240729_2H_yeast_1.10.ser#95,FA_20240729_2H_yeast_1.10.ser#96,FA_20240729_2H_yeast_1.10.ser#97,FA_20240729_2H_yeast_1.10.ser#98,FA_20240729_2H_yeast_1.10.ser#99,FA_20240729_2H_yeast_1.10.ser#100,FA_20240729_2H_yeast_1.10.ser#101,FA_20240729_2H_yeast_1.10.ser#102,FA_20240729_2H_yeast_1.10.ser#103,FA_20240729_2H_yeast_1.10.ser#104,FA_20240729_2H_yeast_1.10.ser#105,FA_20240729_2H_yeast_1.10.ser#106,FA_20240729_2H_yeast_1.10.ser#107,FA_20240729_2H_yeast_1.10.ser#108,FA_20240729_2H_yeast_1.10.ser#109,FA_20240729_2H_yeast_1.10.ser#110,FA_20240729_2H_yeast_1.10.ser#111,FA_20240729_2H_yeast_1.10.ser#112,FA_20240729_2H_yeast_1.10.ser#113,FA_20240729_2H_yeast_1.10.ser#114,FA_20240729_2H_yeast_1.10.ser#115,FA_20240729_2H_yeast_1.10.ser#116,FA_20240729_2H_yeast_1.10.ser#117,FA_20240729_2H_yeast_1.10.ser#118,FA_20240729_2H_yeast_1.10.ser#119,FA_20240729_2H_yeast_1.10.ser#120,FA_20240729_2H_yeast_1.10.ser#121,FA_20240729_2H_yeast_1.10.ser#122,FA_20240729_2H_yeast_1.10.ser#123,FA_20240729_2H_yeast_1.10.ser#124,FA_20240729_2H_yeast_1.10.ser#125,FA_20240729_2H_yeast_1.10.ser#126,FA_20240729_2H_yeast_1.10.ser#127,FA_20240729_2H_yeast_1.10.ser#128,FA_20240729_2H_yeast_1.10.ser#129,FA_20240729_2H_yeast_1.10.ser#130
3.18907,-218.258,-138.609,-73.2749,156.267,236.343,122.534,-133.123,-101.243,-167.542,40.4916,-125.953,-107.511,-371.454,-180.263,185.743,-82.8635,29.6477,-71.6011,-2.05721,-54.2514,66.9853,-196.439,77.2666,119.089,-118.781,112.039,-100.348,49.8135,-124.509,74.8407,276.636,28.5305,-78.0647,64.1727,-68.4024,-100.101,-83.7935,-84.7005,25.073,-21.6626,59.6152,153.6,-147.351,-435.018,-317.876,-0.94352,282.037,74.0586,-23.2176,48.2181,13.2502,-142.636,218.103,-63.1946,-105.118,165.071,138.007,126.223,126.589,182.569,248.619,12.9944,-89.91,89.47,-95.5119,-17.0768,-433.695,-170.304,71,126.265,6.42934,-167.358,-91.0273,-98.1779,-96.5624,-163.236,159.168,264.295,97.3494,-24.8026,12.1723,-144.604,23.9638,4.17768,-68.0165,-36.6031,-23.9697,-152.597,141.089,-54.6687,200.661,169.62,-278.061,480.129,201.485,85.3973,320.839,-110.088,-169.619,-80.6548,-149.645,199.957,31.958,91.3619,-26.5876,-338.835,-234.832,70.3138,41.6823,67.6239,-97.4677,-123.479,215.378,38.1327,-5.25087,-321.416,76.7817,34.3159,-160.883,-227.988,54.3216,85.6109,58.5674,-76.0567,113.259,207.734,-126.664,-154.125,35.3209,30.2437
3.19314,-272.232,-104.521,-80.8378,184.751,227.248,122.031,-112.698,-113.026,-154.049,18.9675,-107.253,-106.212,-350.237,-178.873,200.038,-88.782,36.6008,-52.9557,-5.83283,-30.058,72.7297,-193.056,89.0669,136.409,-114.757,106.587,-108.935,58.9464,-105.511,83.7651,268.214,29.9533,-58.341,41.0472,-71.9069,-131.813,-65.8703,-93.7411,33.3195,-20.5285,46.1499,158.593,-157.59,-417.25,-337.676,4.7749,282.477,58.7535,-5.49283,57.0057,11.772,-103.829,206.942,-42.8956,-134.204,170.496,125.399,126.781,107.529,160.092,268.353,15.119,-96.7167,93.8685,-110.801,-71.0877,-424.702,-168.046,63.3439,160.633,5.09785,-174.737,-99.6196,-116.614,-79.6849,-158.816,125.917,284.812,106.02,-18.6223,7.1407,-149.711,8.87394,12.2642,-74.7527,-61.7894,-23.801,-152.479,148.964,-69.3752,257.954,176.418,-264.099,462.371,193.274,98.5261,318.902,-106.29,-156.936,-81.7434,-170.385,192.757,31.4422,89.319,-8.87662,-334.983,-238.952,91.1415,49.0212,58.3328,-107.25,-134.07,201.173,14.0194,18.6948,-315.025,59.5059,67.3001,-176.755,-221.728,55.4592,82.2852,48.3482,-78.1351,90.629,242.017,-123.032,-153.312,41.829,39.1876
3.19722,-317.117,-77.1746,-82.8467,202.274,216.186,119.588,-92.1171,-118.043,-133.356,2.23882,-86.4174,-109.474,-318.868,-169.056,201.678,-96.8108,42.6716,-34.6537,-10.7239,1.06629,69.3269,-186.648,100.06,148.608,-110.48,99.3036,-124.811,67.7215,-91.0501,87.874,254.922,34.6351,-42.1836,8.34017,-70.2588,-160.321,-49.1791,-101.987,39.2563,-14.5223,27.268,161.689,-165.811,-386.342,-346.451,12.9841,278.905,44.9925,7.91325,61.9672,11.9996,-68.764,194.538,-26.3408,-162.666,182.136,110.091,125.461,93.3292,130.517,282.199,19.6885,-91.797,96.9537,-124.185,-126.425,-404.581,-164.557,59.0721,190.509,-1.26969,-181.4,-107.952,-125.546,-61.7009,-152.468,93.5559,307.935,113.078,-9.32573,-2.61582,-157.471,-1.6504,21.2221,-85.2279,-83.7033,-29.737,-144.322,148.853,-78.3268,304.489,167.687,-233.637,439.321,185.3,106.266,317.255,-99.2853,-141.49,-78.9921,-184.209,188.326,31.4307,86.9456,6.90818,-316.958,-238.562,104.587,52.6695,47.1751,-116.829,-142.4,185.991,-10.6806,43.8873,-302.31,40.64,97.2707,-198.739,-215.987,53.6014,71.4487,40.1829,-76.2264,69.6544,271.944,-111.361,-148.565,51.6007,44.5298
3.20129,-348.134,-57.5897,-79.219,205.277,203.603,113.062,-78.6854,-117.278,-105.576,-5.83739,-63.5781,-115.593,-280.227,-151.508,189.412,-106.063,45.2137,-16.5627,-19.7963,34.3543,57.6636,-178.375,108.263,154.926,-103.309,91.7106,-148.005,75.6907,-86.7601,85.2565,239.284,41.6458,-29.6753,-31.917,-66.9542,-182.985,-32.4102,-111.635,42.2788,-5.11495,4.25523,159.734,-169.392,-345.089,-343.801,22.2611,271.855,33.7759,16.5932,64.6947,9.72426,-38.401,183.455,-13.5541,-185.539,201.653,94.5753,124.646,85.8097,94.4997,286.172,25.6096,-76.5368,95.6775,-134.755,-178.769,-371.58,-160.671,58.3642,216.891,-13.6,-184.723,-117.835,-125.287,-42.7814,-141.834,66.415,330.434,120.496,-2.34025,-15.5286,-167.514,-4.31687,29.4008,-97.3652,-95.9966,-40.4638,-126.631,141.452,-80.2277,334.644,146.465,-190.404,410.205,175.558,107.944,316.743,-90.4548,-125.634,-73.8472,-186.905,189.434,29.0712,85.2915,20.8025,-286.3,-234.748,110.3,54.8464,33.5515,-126.449,-146.551,171.435,-32.7167,68.9116,-286.276,22.8639,123.152,-222.15,-212.438,47.4126,57.0552,34.4435,-69.7197,52.0861,294.071,-92.8908,-139.968,60.7697,46.2309
3.20536,-363.731,-46.297,-70.4991,191.413,188.682,100.752,-77.176,-112.308,-72.0348,-3.12252,-38.7241,-122.99,-237.642,-127.814,164.341,-114.745,42.1572,1.35693,-35.191,64.7756,40.5843,-170.272,112.18,154.607,-91.5224,84.9106,-176.745,81.3343,-96.1053,75.646,223.468,49.1215,-18.4285,-76.2555,-64.7953,-198.206,-14.15,-123.904,42.1842,6.14639,-21.7813,150.585,-167.402,-297.657,-330.287,31.7708,261.626,24.5139,19.5484,67.5827,1.35037,-12.7971,175.904,-4.5347,-198.965,227.644,80.721,125.649,84.3296,53.4709,278.812,31.0725,-53.6352,87.8573,-141.387,-224.403,-327.104,-155.385,60.5678,240.027,-31.6675,-183.514,-128.687,-117.922,-22.9673,-126.051,47.567,348.047,128.93,-1.48576,-28.9642,-177.835,3.30635,36.0817,-108.072,-94.6893,-53.5811,-100.318,129.344,-74.1836,347.32,118.213,-139.911,376.31,161.891,104.088,317.018,-81.6195,-111.758,-69.1191,-177.575,197.764,22.3927,85.861,33.7286,-245.948,-228.639,108.753,56.5944,18.5091,-135.921,-144.748,158.157,-49.2632,92.0086,-269.882,9.47694,145.188,-242.066,-210.317,36.3769,43.9974,30.0944,-58.4838,38.7306,305.38,-70.3724,-128.597,66.289,45.1869
3.20943,-365.416,-43.8066,-58.3175,161.143,170.213,82.8008,-87.541,-104.651,-34.8722,9.89387,-12.681,-130.944,-194.896,-100.5,129.669,-120.721,32.8718,18.902,-57.5983,87.5452,21.2462,-165.383,111.556,147.148,-74.8633,79.3057,-209.025,83.7091,-118.745,60.1949,208.536,54.7559,-4.9455,-120.565,-64.8788,-205.779,6.47586,-138.464,38.784,17.6705,-49.994,133.591,-160.289,-248.189,-307.884,40.9105,247.928,15.9365,16.4519,72.9989,-14.3134,9.3344,173.048,0.747454,-200.32,256.149,69.4609,128.271,86.2846,9.35416,262.241,35.3137,-26.1081,73.0132,-143.186,-260.978,-276.481,-146.656,63.4609,258.721,-54.1574,-178.322,-136.935,-107.701,-3.05249,-105.909,37.9452,357.024,138.473,-8.25923,-39.4654,-184.875,21.6556,40.8861,-114.469,-80.0357,-66.82,-68.8464,115.674,-60.1155,344.778,88.2063,-87.3952,340.116,143.349,95.614,317.043,-74.36,-102.409,-67.8758,-159.28,212.94,10.5764,89.5633,46.8474,-199.926,-221.504,101.159,58.3104,3.98498,-144.233,-135.862,146.566,-57.8547,111.608,-255.003,3.66695,164.396,-254.62,-206.803,20.476,36.2857,26.4865,-42.6207,30.179,304.196,-47.395,-115.909,66.683,42.7048
3.21351,-356.222,-50.1454,-45.0233,118.841,147.932,61.8353,-105.678,-95.2677,3.63126,30.2389,12.5496,-139.568,-156.092,-72.6856,89.9181,-122.223,18.1308,35.5748,-86.6525,98.7356,1.63688,-166.725,106.818,132.795,-54.3644,74.3524,-243.393,83.7064,-150.636,40.7286,193.961,56.4613,13.1136,-161.093,-66.7772,-206.825,29.6921,-153.673,31.696,28.3687,-79.0067,109.637,-148.927,-200.153,-279.725,48.2603,230.325,7.42917,8.64972,82.4165,-35.3257,30.4342,175.113,2.82207,-188.457,282.259,61.0659,131.275,88.131,-35.567,240.787,39.4214,3.06901,52.2563,-140.259,-287.93,-227.357,-132.486,63.4317,270.376,-79.12,-170.93,-137.663,-100.031,15.1312,-83.5038,36.6004,355.169,149.462,-22.0644,-43.7275,-184.755,48.9294,43.1702,-115.42,-55.6849,-78.8821,-37.2419,102.653,-39.0721,330.234,59.451,-36.704,303.9,120.912,83.2551,316.167,-69.1827,-99.905,-71.5481,-137.402,232.498,-6.6396,96.3152,60.9989,-152.659,-214.635,89.4009,60.4288,-8.49836,-149.961,-120.123,137.351,-57.2755,126.384,-242.239,7.65101,181.869,-258.012,-198.443,0.356789,35.6131,24.3076,-22.8642,27.1653,290.737,-27.5424,-102.973,62.0703,39.7372
3.21758,-339.511,-64.2836,-33.078,71.9337,122.879,42.427,-126.519,-84.6659,41.5064,53.5365,34.593,-149.471,-125.245,-46.9186,49.6421,-118.139,-0.996666,50.4375,-121.16,96.2755,-17.5538,-175.339,98.2551,113.24,-31.9933,69.0347,-278.23,83.7016,-185.912,19.2903,178.273,53.0308,35.415,-195.367,-69.3652,-203.271,54.8442,-167.438,20.7241,38.265,-105.878,80.8766,-134.071,-156.192,-249.205,51.1808,208.743,-0.686376,-1.31747,95.9397,-57.5288,53.0408,181.475,2.90109,-164.422,301.904,55.6384,133.178,86.6007,-78.537,218.287,45.145,30.5565,27.3578,-134.017,-305.971,-186.432,-111.952,57.1099,272.196,-104.441,-163.313,-127.854,-99.5517,29.2162,-61.8808,41.5449,341.976,162.319,-40.8213,-39.6209,-175.212,81.6703,42.1813,-112.029,-25.8892,-89.6334,-10.426,91.0699,-13.0626,306.096,32.9465,9.98248,268.955,97.233,67.8654,314.526,-65.1928,-105.652,-79.0137,-116.792,252.947,-29.2917,105.417,76.2852,-108.317,-208.853,75.3003,63.8954,-18.4757,-152.306,-99.351,131.295,-48.5221,135.275,-231.265,21.621,197.79,-252.368,-182.885,-22.1781,41.2386,25.1767,-1.00456,30.2661,267.06,-13.6062,-89.9451,53.8939,36.5009
3.22165,-318.684,-84.058,-24.9177,28.5787,96.4555,29.6619,-147.055,-73.1889,76.8465,75.6508,52.1066,-161.24,-105.401,-23.963,11.9862,-107.983,-24.2967,62.3576,-158.859,80.4113,-36.0621,-189.4,86.0281,91.7994,-10.2942,62.8155,-311,86.2085,-219.329,-1.81501,160.495,44.8157,59.2122,-222.81,-71.5975,-196.891,80.2196,-178.287,6.52183,48.2743,-126.498,50.2625,-116.331,-117.797,-219.205,46.5513,183.293,-8.05046,-11.053,112.283,-76.6138,78.5559,190.089,2.36848,-131.893,313.212,53.465,132.483,79.8551,-116.302,196.208,52.9766,52.7211,-0.0206042,-126.684,-315.993,-156.462,-85.8272,43.4026,263.063,-128.189,-156.889,-108.731,-108.623,37.2576,-44.1637,50.1325,318.431,176.469,-61.4811,-26.7597,-156.78,115.647,37.6532,-107.091,6.79428,-99.5848,8.33493,80.7608,15.5351,273.296,9.31545,51.7606,235.733,75.4362,51.3824,312.571,-61.0263,-119.667,-87.7579,-100.002,271.158,-57.0752,115.945,92.1326,-70.1612,-203.749,59.8039,70.1604,-26.2018,-151.832,-76.3358,128.687,-34.5182,137.648,-221.127,43.0267,210.882,-238.52,-160.125,-44.3023,50.8232,30.3921,20.1114,39.4932,236.452,-6.68743,-76.098,44.1828,32.8139
3.22572,-296.885,-106.461,-23.0361,-4.60662,69.4847,27.3206,-167.285,-60.9854,107.441,94.0056,65.4746,-174.713,-97.6163,-2.78457,-22.1824,-92.0967,-52.3926,70.6729,-196.447,53.1887,-53.1325,-205.429,70.9812,72.447,7.97459,55.9981,-338.668,92.8053,-247.616,-20.3223,140.786,34.1265,80.9849,-244.651,-73.0048,-188.842,103.666,-185.86,-9.13113,59.1085,-137.776,20.6803,-96.3448,-85.2478,-191.623,32.1967,153.887,-15.1154,-18.9872,128.948,-90.123,106.993,197.154,2.13081,-96.2328,317.117,54.8281,127.531,68.0302,-145.901,173.487,61.4399,66.4278,-28.2046,-120.315,-318.245,-135.397,-56.4337,24.2323,244.727,-148.942,-152.458,-85.2915,-126.718,38.3816,-32.0738,58.7807,286.935,189.763,-80.658,-6.73575,-132.488,147.01,29.9157,-104.15,41.8718,-109.208,18.2539,71.0727,44.8455,231.83,-10.391,87.9548,204.368,57.5761,37.3114,310.34,-56.3666,-140.554,-95.951,-87.6853,285.075,-89.5089,126.95,108.08,-39.8904,-197.372,43.1083,80.2803,-31.8258,-149.993,-54.0146,128.725,-18.8192,133.473,-210.426,67.0923,219.049,-216.864,-132.697,-63.3327,61.2851,39.5507,36.7755,54.2863,202.592,-5.57133,-60.8564,34.4494,28.675
