,FA_20240206_2H_yeast_1.3.ser#1,FA_20240206_2H_yeast_1.3.ser#2,FA_20240206_2H_yeast_1.3.ser#3,FA_20240206_2H_yeast_1.3.ser#4,FA_20240206_2H_yeast_1.3.ser#5,FA_20240206_2H_yeast_1.3.ser#6,FA_20240206_2H_yeast_1.3.ser#7,FA_20240206_2H_yeast_1.3.ser#8,FA_20240206_2H_yeast_1.3.ser#9,FA_20240206_2H_yeast_1.3.ser#10,FA_20240206_2H_yeast_1.3.ser#11,FA_20240206_2H_yeast_1.3.ser#12,FA_20240206_2H_yeast_1.3.ser#13,FA_20240206_2H_yeast_1.3.ser#14,FA_20240206_2H_yeast_1.3.ser#15,FA_20240206_2H_yeast_1.3.ser#16,FA_20240206_2H_yeast_1.3.ser#17,FA_20240206_2H_yeast_1.3.ser#18,FA_20240206_2H_yeast_1.3.ser#19,FA_20240206_2H_yeast_1.3.ser#20,FA_20240206_2H_yeast_1.3.ser#21,FA_20240206_2H_yeast_1.3.ser#22,FA_20240206_2H_yeast_1.3.ser#23,FA_20240206_2H_yeast_1.3.ser#24,FA_20240206_2H_yeast_1.3.ser#25,FA_20240206_2H_yeast_1.3.ser#26,FA_20240206_2H_yeast_1.3.ser#27,FA_20240206_2H_yeast_1.3.ser#28,FA_20240206_2H_yeast_1.3.ser#29,FA_20240206_2H_yeast_1.3.ser#30,FA_20240206_2H_yeast_1.3.ser#31,FA_20240206_2H_yeast_1.3.ser#32,FA_20240206_2H_yeast_1.3.ser#33,FA_20240206_2H_yeast_1.3.ser#34,FA_20240206_2H_yeast_1.3.ser#35,FA_20240206_2H_yeast_1.3.ser#36,FA_20240206_2H_yeast_1.3.ser#37,FA_20240206_2H_yeast_1.3.ser#38,FA_20240206_2H_yeast_1.3.ser#39,FA_20240206_2H_yeast_1.3.ser#40,FA_20240206_2H_yeast_1.3.ser#41,FA_20240206_2H_yeast_1.3.ser#42,FA_20240206_2H_yeast_1.3.ser#43,FA_20240206_2H_yeast_1.3.ser#44,FA_20240206_2H_yeast_1.3.ser#45,FA_20240206_2H_yeast_1.3.ser#46,FA_20240206_2H_yeast_1.3.ser#47,FA_20240206_2H_yeast_1.3.ser#48,FA_20240206_2H_yeast_1.3.ser#49,FA_20240206_2H_yeast_1.3.ser#50,FA_20240206_2H_yeast_1.3.ser#51,FA_20240206_2H_yeast_1.3.ser#52,FA_20240206_2H_yeast_1.3.ser#53,FA_20240206_2H_yeast_1.3.ser#54,FA_20240206_2H_yeast_1.3.ser#55,FA_20240206_2H_yeast_1.3.ser#56,FA_20240206_2H_yeast_1.3.ser#57,FA_20240206_2H_yeast_1.3.ser#58,FA_20240206_2H_yeast_1.3.ser#59,FA_20240206_2H_yeast_1.3.ser#60,FA_20240206_2H_yeast_1.3.ser#61,FA_20240206_2H_yeast_1.3.ser#62,FA_20240206_2H_yeast_1.3.ser#63,FA_20240206_2H_yeast_1.3.ser#64,FA_20240206_2H_yeast_1.3.ser#65,FA_20240206_2H_yeast_1.3.ser#66,FA_20240206_2H_yeast_1.3.ser#67,FA_20240206_2H_yeast_1.3.ser#68,FA_20240206_2H_yeast_1.3.ser#69,FA_20240206_2H_yeast_1.3.ser#70,FA_20240206_2H_yeast_1.3.ser#71,FA_20240206_2H_yeast_1.3.ser#72,FA_20240206_2H_yeast_1.3.ser#73,FA_20240206_2H_yeast_1.3.ser#74,FA_20240206_2H_yeast_1.3.ser#75,FA_20240206_2H_yeast_1.3.ser#76,FA_20240206_2H_yeast_1.3.ser#77,FA_20240206_2H_yeast_1.3.ser#78,FA_20240206_2H_yeast_1.3.ser#79,FA_20240206_2H_yeast_1.3.ser#80,FA_20240206_2H_yeast_1.3.ser#81,FA_20240206_2H_yeast_1.3.ser#82,FA_20240206_2H_yeast_1.3.ser#83,FA_20240206_2H_yeast_1.3.ser#84,FA_20240206_2H_yeast_1.3.ser#85,FA_20240206_2H_yeast_1.3.ser#86,FA_20240206_2H_yeast_1.3.ser#87,FA_20240206_2H_yeast_1.3.ser#88,FA_20240206_2H_yeast_1.3.ser#89,FA_20240206_2H_yeast_1.3.ser#90,FA_20240206_2H_yeast_1.3.ser#91,FA_20240206_2H_yeast_1.3.ser#92,FA_20240206_2H_yeast_1.3.ser#93,FA_20240206_2H_yeast_1.3.ser#94,FA_20240206_2H_yeast_1.3.ser#95,FA_20240206_2H_yeast_1.3.ser#96,FA_20240206_2H_yeast_1.3.ser#97,FA_20240206_2H_yeast_1.3.ser#98,FA_20240206_2H_yeast_1.3.ser#99,FA_20240206_2H_yeast_1.3.ser#100,FA_20240206_2H_yeast_1.3.ser#101,FA_20240206_2H_yeast_1.3.ser#102,FA_20240206_2H_yeast_1.3.ser#103,FA_20240206_2H_yeast_1.3.ser#104,FA_20240206_2H_yeast_1.3.ser#105,FA_20240206_2H_yeast_1.3.ser#106,FA_20240206_2H_yeast_1.3.ser#107,FA_20240206_2H_yeast_1.3.ser#108,FA_20240206_2H_yeast_1.3.ser#109,FA_20240206_2H_yeast_1.3.ser#110,FA_20240206_2H_yeast_1.3.ser#111,FA_20240206_2H_yeast_1.3.ser#112,FA_20240206_2H_yeast_1.3.ser#113,FA_20240206_2H_yeast_1.3.ser#114,FA_20240206_2H_yeast_1.3.ser#115,FA_20240206_2H_yeast_1.3.ser#116,FA_20240206_2H_yeast_1.3.ser#117,FA_20240206_2H_yeast_1.3.ser#118,FA_20240206_2H_yeast_1.3.ser#119,FA_20240206_2H_yeast_1.3.ser#120,FA_20240206_2H_yeast_1.3.ser#121,FA_20240206_2H_yeast_1.3.ser#122,FA_20240206_2H_yeast_1.3.ser#123,FA_20240206_2H_yeast_1.3.ser#124,FA_20240206_2H_yeast_1.3.ser#125,FA_20240206_2H_yeast_1.3.ser#126,FA_20240206_2H_yeast_1.3.ser#127,FA_20240206_2H_yeast_1.3.ser#128,FA_20240206_2H_yeast_1.3.ser#129,FA_20240206_2H_yeast_1.3.ser#130
-0.744885,22.6770,15.9011,71.9167,323.789,-116.008,93.4916,-328.234,-64.8615,-347.864,56.8102,96.2862,-72.9708,-7.51721,198.580,242.006,88.3240,-210.640,-102.995,64.0457,40.5202,49.8479,96.3627,239.548,-16.4003,120.416,-152.342,-114.227,-44.5292,-201.892,-25.7579,448.663,-113.348,-34.1934,478.281,99.2026,-360.106,171.392,-78.6470,58.3340,-260.570,-175.982,-72.6534,45.8013,160.531,12.3401,-27.5438,258.159,-138.852,-88.7545,85.5983,413.785,105.335,33.4068,-281.206,-42.7777,266.665,180.463,-239.036,124.188,353.802,-322.743,156.898,-77.4420,390.709,-250.352,-4.14886,17.4115,-133.710,13.8862,-194.276,-94.2933,281.463,-8.87463,-306.406,44.7973,225.829,-42.8123,57.8992,177.145,-293.703,-202.517,139.965,256.134,-41.5413,-248.699,-52.7178,-228.372,11.6909,-45.9305,65.3344,108.505,48.1033,87.7902,139.676,-340.918,-143.517,9.54639,-65.7631,10.0003,-43.4716,171.478,-60.5857,230.821,190.524,-171.995,99.8177,11.0734,35.8052,217.839,161.638,59.2195,-234.421,-317.409,-360.032,-206.423,371.923,-200.357,232.091,28.9103,65.8058,210.421,41.9941,277.922,-77.2286,-274.198,177.919,-476.117,-117.531,-176.911,148.197
-0.740813,42.3195,-33.6776,40.1117,303.694,-121.392,67.4021,-358.828,-135.843,-406.323,122.471,142.397,-41.5437,4.93091,187.747,193.646,58.8706,-261.339,-106.983,26.0329,15.2957,-8.28168,143.195,238.008,-41.0849,161.223,-133.907,-114.039,-37.0183,-164.405,-51.3743,441.072,-121.840,-56.1003,486.892,68.7412,-327.849,162.749,-24.9506,95.1929,-268.855,-98.2801,-86.6726,56.9776,186.414,-1.81970,-50.5437,205.453,-154.856,-47.9251,49.4233,375.144,61.6074,9.69849,-274.622,-27.0790,287.056,244.912,-225.049,83.2382,358.963,-290.971,147.647,-64.2945,409.475,-224.299,-15.4045,-53.2181,-143.021,53.9943,-226.939,-100.049,321.365,-74.6450,-289.490,37.8456,210.582,-65.6786,26.0449,182.400,-289.334,-226.724,83.1002,249.726,-28.9568,-246.304,-38.2535,-258.220,3.81152,-64.6492,108.607,126.528,28.0163,23.7704,87.8799,-322.484,-140.170,-17.6141,-36.0909,38.9985,-86.8774,130.053,-31.8251,199.677,195.376,-214.354,73.4064,22.6144,1.69025,196.496,172.336,118.052,-263.497,-258.795,-344.070,-195.795,411.210,-205.739,197.900,17.0417,66.8052,163.778,93.5392,271.690,-112.327,-247.095,137.498,-491.680,-124.582,-206.777,127.718
-0.736740,61.9621,-83.2563,8.30658,283.600,-126.776,41.3126,-389.421,-172.110,-444.060,188.132,154.577,-10.1165,17.3790,176.915,145.286,29.4172,-273.338,-110.972,-11.9799,-9.92889,-66.4112,190.027,236.469,-65.7696,202.029,-115.472,-113.850,-29.5074,-126.919,-76.9907,433.481,-130.333,-78.0071,466.273,38.2798,-295.591,154.105,28.7457,132.052,-277.140,-20.5782,-100.692,68.1539,212.297,-15.9795,-73.5436,152.747,-170.860,-7.09576,13.2484,336.502,17.8802,-14.0098,-268.039,-11.3804,307.448,309.360,-211.062,42.2885,364.124,-259.199,138.396,-20.7563,401.302,-198.246,-26.6602,-123.848,-152.333,94.1024,-259.603,-105.804,330.010,-140.415,-272.574,30.8939,195.334,-88.5451,-5.80951,187.655,-284.965,-221.166,41.9647,243.317,-16.3723,-243.908,-23.7893,-322.498,-4.06787,-83.3677,151.880,144.551,7.92926,-40.2493,36.0835,-304.050,-136.824,-81.5960,-6.41882,67.9967,-130.283,88.6288,-3.06451,168.532,200.229,-256.712,46.9952,34.1554,-32.4247,175.152,183.035,147.201,-292.573,-200.181,-328.109,-185.167,416.336,-211.121,163.709,-11.7224,67.8046,117.134,145.084,265.458,-115.336,-219.992,97.0779,-475.069,-131.633,-236.643,107.239
-0.732668,57.5449,-110.181,-23.4985,263.505,-82.6812,15.2231,-420.015,-179.304,-445.098,255.943,145.127,21.3107,29.8271,166.083,96.9255,36.4323,-242.606,-114.961,-49.9927,-4.06305,-123.387,234.578,219.135,-55.0191,242.835,-58.5017,-113.662,11.2986,-122.382,-102.607,425.891,-113.187,-70.2150,411.552,-39.2574,-235.442,145.462,80.5964,168.911,-285.424,58.8142,-88.0607,105.106,213.417,-70.1494,-73.6182,100.041,-186.864,33.7336,-22.9266,297.861,20.4099,-37.7181,-217.792,4.31824,301.097,345.910,-197.075,-15.9506,369.285,-191.383,127.079,37.9772,352.720,-170.456,-37.9158,-180.852,-133.545,134.210,-292.266,-111.559,318.728,-173.702,-227.125,-7.27960,180.086,-111.411,-37.6638,192.910,-248.318,-178.774,24.7507,192.568,23.6498,-241.513,-9.32507,-376.016,-11.9473,-102.086,181.721,162.574,-10.2333,-106.529,-15.7130,-285.617,-95.6121,-137.523,-6.87787,79.5936,-155.159,81.8695,25.6960,170.695,205.081,-268.907,3.21759,45.6964,-27.3929,153.809,228.004,157.428,-287.255,-141.566,-278.447,-174.539,383.743,-201.711,131.632,-66.5337,66.6720,102.792,196.629,259.225,-82.9112,-192.889,56.6577,-418.575,-138.684,-212.399,72.6457
-0.728595,53.1276,-137.105,-55.3036,243.411,-38.5862,-10.8665,-450.608,-151.784,-446.137,323.755,135.677,52.7379,42.2753,155.250,48.5652,43.4474,-211.875,-118.950,-88.0054,1.80286,-180.362,279.129,165.700,-44.2686,283.641,-1.53131,-113.473,52.1046,-117.845,-128.224,418.300,-96.0414,-62.4229,356.832,-116.795,-175.293,136.819,132.447,205.770,-293.709,138.207,-75.4295,142.059,214.538,-124.319,-73.6929,47.3346,-202.868,74.5629,-59.1015,259.219,22.9396,-61.4263,-167.546,20.0169,266.219,382.459,-183.087,-74.1896,374.446,-123.568,115.763,96.7106,259.240,-142.667,-49.1714,-237.856,-114.757,174.319,-324.930,-117.315,307.446,-206.989,-181.676,-45.4531,164.838,-134.278,-69.5181,198.165,-211.671,-136.382,38.9950,141.818,63.6719,-239.118,5.13910,-412.319,-19.8267,-120.805,177.983,180.597,-28.3958,-172.808,-67.5095,-267.183,-54.4003,-175.040,-7.33685,60.9274,-180.034,75.1103,54.4566,172.857,209.933,-281.102,-40.5600,57.2374,13.0927,132.465,272.973,167.654,-281.937,-82.9521,-228.786,-163.912,351.150,-192.300,99.5549,-121.345,65.5394,88.4501,248.174,252.993,-50.4866,-165.786,16.2374,-329.905,-145.735,-188.156,38.0519
-0.724523,34.6755,-174.412,-40.2155,202.174,31.1320,-7.06873,-439.710,-106.471,-438.110,384.685,129.620,21.6776,22.2059,139.486,37.5339,55.3250,-161.794,-172.732,-99.0217,16.9959,-216.567,314.176,97.9752,-24.2901,301.687,40.3130,-129.604,99.8470,-127.037,-136.233,387.670,-47.1675,-57.1057,300.285,-183.151,-144.198,145.351,151.692,224.598,-320.156,188.579,-57.8013,189.214,196.055,-177.489,-65.6481,27.0717,-223.905,97.3549,-60.8997,240.766,66.2652,-34.8105,-102.017,4.99036,208.758,394.016,-172.540,-97.1296,366.395,-83.1608,129.919,170.639,136.014,-139.772,-59.8750,-285.776,-91.2861,185.714,-366.741,-111.371,287.959,-232.156,-94.0219,-76.1464,158.334,-134.609,-73.2571,239.199,-153.640,-118.174,75.1946,119.336,87.4030,-252.937,-5.35449,-417.419,-20.5262,-160.734,143.604,174.421,-63.4940,-202.935,-78.5087,-227.423,-32.1212,-181.488,-12.6922,28.6429,-177.887,106.988,45.8646,185.382,216.957,-299.707,-51.0521,41.8992,48.4080,135.450,292.953,185.673,-247.957,-33.4193,-170.699,-141.009,322.116,-205.431,59.7280,-156.093,60.8534,61.3220,282.936,242.724,-21.4047,-147.994,-28.2366,-234.533,-150.092,-153.090,7.15491
-0.720450,16.2234,-211.720,-25.1275,160.938,100.850,-3.27100,-428.811,-61.1595,-430.082,445.616,123.563,-9.38257,2.13641,123.723,26.5026,67.2026,-111.713,-226.514,-110.038,32.1889,-215.846,312.727,30.2501,-4.31165,319.732,53.3458,-145.734,147.589,-136.229,-144.243,357.040,1.70642,-51.7885,243.737,-249.508,-113.102,153.883,141.406,243.427,-346.603,238.951,-40.1732,236.369,177.572,-230.658,-57.6034,28.4376,-244.942,120.147,-62.6980,222.313,109.591,-8.19470,-36.4891,-10.0362,151.298,405.573,-161.993,-120.070,358.344,-42.7533,144.075,244.568,12.7886,-136.877,-70.5786,-333.696,-67.8149,197.109,-408.552,-105.428,268.472,-257.322,-6.36761,-106.840,151.829,-134.940,-76.9960,280.234,-95.6083,-99.9659,111.394,96.8541,111.134,-266.756,-15.8481,-388.087,-21.2256,-200.662,109.224,168.246,-98.5921,-233.062,-89.5079,-187.663,-9.84204,-187.937,-18.0475,-3.64172,-175.740,138.866,37.2725,197.907,223.981,-318.312,-61.5443,26.5611,83.7232,138.436,312.933,203.691,-213.978,16.1135,-112.612,-118.106,293.081,-252.373,53.7177,-190.841,22.0554,34.1939,317.698,232.456,7.67719,-130.201,-72.7105,-139.160,-154.449,-118.024,8.52020
-0.716378,21.8312,-226.373,-10.0395,141.293,135.226,0.526672,-417.913,-55.3354,-401.331,475.584,117.506,-40.4428,-17.9330,107.959,15.4713,79.0803,-100.331,-280.295,-121.054,28.7277,-172.814,281.244,-39.7312,15.6667,337.778,28.9235,-161.865,162.037,-145.421,-152.253,310.612,50.5803,-76.1702,189.017,-249.959,-109.897,162.416,118.201,228.599,-373.051,262.274,-24.2107,270.637,134.326,-227.814,-62.4541,52.3334,-265.979,105.295,-64.4962,203.859,152.916,18.4211,29.0394,-25.0627,92.0541,370.630,-151.446,-114.194,350.293,-38.3887,158.232,303.302,-80.6917,-133.982,-81.2822,-354.365,-109.909,208.505,-450.362,-83.4408,230.231,-282.488,52.7535,-106.311,145.324,-135.270,-50.7453,336.881,-56.9439,-123.429,149.560,74.3720,107.427,-280.576,-26.3418,-342.616,-21.9252,-200.443,72.7455,162.070,-133.690,-202.935,-100.507,-147.904,12.4371,-193.235,-5.32422,-17.3901,-111.825,170.744,28.6804,172.684,231.005,-306.753,-37.3038,11.2230,85.8006,141.421,298.643,221.709,-179.998,37.7036,-110.693,-95.2036,264.047,-295.089,66.0246,-191.798,-28.1132,9.08466,316.880,222.188,34.7534,-145.515,-117.184,-73.9516,-185.748,-99.1912,45.5084
-0.712305,27.4388,-241.026,5.04852,121.649,169.602,4.32440,-407.014,-49.5112,-372.581,471.149,111.449,-71.5030,-38.0024,92.1949,4.43988,90.9578,-88.9497,-334.077,-132.070,25.2664,-92.8556,231.513,-109.713,35.6452,355.823,-12.7858,-177.995,176.484,-154.613,-160.263,264.183,99.4542,-100.552,134.297,-250.409,-106.692,170.948,94.9962,213.771,-399.498,285.598,-8.24823,279.128,91.0811,-224.970,-44.3796,76.2293,-287.017,90.4438,-66.2944,185.406,196.242,45.0369,94.5677,-40.0892,32.8106,335.688,-140.899,-108.318,342.241,-34.0242,172.388,331.645,-147.233,-131.088,-91.9859,-375.034,-152.004,219.900,-492.173,-61.4537,191.989,-307.654,111.875,-105.783,138.820,-135.601,-24.4945,393.528,-18.2795,-146.893,187.726,51.8899,103.721,-294.395,-36.8354,-297.145,-22.6247,-163.864,36.2672,155.894,-168.788,-172.808,-111.506,-108.144,34.7162,-198.532,7.39917,-0.875488,-47.9111,202.622,20.0883,147.461,238.029,-295.194,-13.0634,-4.11511,87.8779,144.406,284.352,239.728,-146.018,59.2937,-108.773,-72.3009,235.012,-337.805,112.148,-192.755,-78.2819,-16.0246,283.839,211.919,61.8297,-160.828,-161.658,-8.74304,-217.047,-80.3584,82.4966
-0.708233,43.8546,-229.928,-7.03754,117.635,194.811,-2.53619,-381.375,-60.6104,-329.758,429.059,115.862,-63.3513,-48.5095,80.6177,-1.46881,56.7180,-95.3051,-332.731,-100.049,48.1107,-16.5515,186.819,-150.785,25.4022,351.521,-44.4561,-134.437,185.816,-156.533,-150.116,240.917,140.636,-137.231,93.6965,-246.262,-88.9609,146.869,54.9883,185.232,-408.954,298.920,-9.39337,259.326,37.8728,-178.864,0.441223,89.0573,-230.066,75.5433,-24.7949,202.324,229.730,56.4751,122.437,-60.3646,-4.85266,282.837,-126.625,-105.639,290.563,-69.4100,181.898,338.322,-172.839,-149.723,-116.766,-367.068,-211.331,217.461,-512.450,-30.6091,147.057,-319.370,109.991,-92.5499,123.320,-120.951,-3.59344,422.812,-7.48022,-197.936,201.233,19.5696,117.984,-275.263,-38.7640,-282.608,-47.8995,-86.5694,0.339722,117.403,-184.497,-123.852,-117.081,-60.2446,60.7178,-238.662,1.38470,36.3032,26.8607,234.229,53.6624,101.652,213.745,-277.037,8.14709,5.40076,73.5672,121.363,264.885,246.986,-134.610,91.8863,-114.401,-47.7285,208.424,-349.615,162.234,-164.893,-94.1608,-50.9337,239.552,205.393,49.5451,-184.418,-182.022,45.2797,-259.206,-71.4598,128.265
